Fx	Fy	Fz	Mx	My	Mz	Xmm	Ymm	Zmm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
0	0	-0	-0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-317.450000000001	3.77708333333334	-19.3229166666667	-0.409120833333334	-10.8623958333334	0.529520833333334	0	0	0	0.833333333333335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-634.9	7.55416666666667	-38.6458333333333	-0.818241666666667	-21.7247916666667	1.05904166666667	0	0	0	1.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-952.35	11.33125	-57.96875	-1.2273625	-32.5871875	1.5885625	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1269.8	15.1083333333333	-77.2916666666666	-1.63648333333333	-43.4495833333333	2.11808333333333	0	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1587.25	18.8854166666667	-96.6145833333334	-2.04560416666667	-54.3119791666667	2.64760416666667	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1904.7	22.6625	-115.9375	-2.454725	-65.174375	3.177125	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2222.15	26.4395833333333	-135.260416666667	-2.86384583333333	-76.0367708333333	3.70664583333333	0	0	0	5.83333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2539.6	30.2166666666667	-154.583333333333	-3.27296666666667	-86.8991666666666	4.23616666666666	0	0	0	6.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2857.05	33.99375	-173.90625	-3.6820875	-97.7615625	4.7656875	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3174.5	37.7708333333333	-193.229166666667	-4.09120833333333	-108.623958333333	5.29520833333333	0	0	0	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3491.95	41.5479166666667	-212.552083333333	-4.50032916666667	-119.486354166667	5.82472916666667	0	0	0	9.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3809.4	45.325	-231.875	-4.90945	-130.34875	6.35425	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3491.95	41.5479166666667	-212.552083333333	-4.50032916666667	-119.486354166667	5.82472916666666	0	0	0	9.16666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3174.5	37.7708333333333	-193.229166666667	-4.09120833333333	-108.623958333333	5.29520833333333	0	0	0	8.33333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2857.05	33.99375	-173.90625	-3.6820875	-97.7615625	4.7656875	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2539.6	30.2166666666667	-154.583333333333	-3.27296666666667	-86.8991666666666	4.23616666666666	0	0	0	6.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2222.15	26.4395833333333	-135.260416666667	-2.86384583333333	-76.0367708333334	3.70664583333333	0	0	0	5.83333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1904.7	22.6625	-115.9375	-2.454725	-65.174375	3.177125	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1587.25	18.8854166666667	-96.6145833333333	-2.04560416666667	-54.3119791666667	2.64760416666667	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1269.8	15.1083333333333	-77.2916666666667	-1.63648333333333	-43.4495833333334	2.11808333333333	0	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-952.35	11.33125	-57.96875	-1.2273625	-32.5871875	1.5885625	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-634.899999999999	7.55416666666666	-38.6458333333333	-0.818241666666666	-21.7247916666666	1.05904166666667	0	0	0	1.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-317.450000000002	3.77708333333336	-19.3229166666668	-0.409120833333336	-10.8623958333334	0.529520833333337	0	0	0	0.833333333333339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	-0	-0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317.450000000002	-3.77708333333336	19.3229166666668	0.409120833333336	10.8623958333334	-0.529520833333337	0	0	0	-0.833333333333339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
634.900000000001	-7.55416666666668	38.6458333333334	0.818241666666668	21.7247916666667	-1.05904166666667	0	0	0	-1.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
952.350000000002	-11.33125	57.9687500000001	1.2273625	32.5871875000001	-1.5885625	0	0	0	-2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1269.8	-15.1083333333333	77.2916666666667	1.63648333333333	43.4495833333334	-2.11808333333333	0	0	0	-3.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1587.25	-18.8854166666667	96.6145833333334	2.04560416666667	54.3119791666667	-2.64760416666667	0	0	0	-4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1904.7	-22.6625	115.9375	2.454725	65.174375	-3.177125	0	0	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2222.15	-26.4395833333333	135.260416666667	2.86384583333333	76.0367708333334	-3.70664583333333	0	0	0	-5.83333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2539.6	-30.2166666666667	154.583333333333	3.27296666666667	86.8991666666667	-4.23616666666667	0	0	0	-6.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2857.05	-33.99375	173.90625	3.6820875	97.7615625	-4.7656875	0	0	0	-7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
