Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4121	37.3927	5352.6302	0.8	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	30.90169944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4119	37.3939	5352.4652	0.8002	0	0	0	0	1.545084972	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	58.77852523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4116	37.3928	5352.4448	0.8004	0	0	0	0	2.938926261	0	0
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	80.90169944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.412	37.3921	5352.3989	0.8006	0	0	0	0	4.045084972	0	0
0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	95.10565163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4135	37.3925	5352.4657	0.8008	0	0	0	0	4.755282581	0	0
0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4137	37.3922	5352.5213	0.801	0	0	0	0	5	0	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	95.10565163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4138	37.3918	5352.5903	0.8012	0	0	0	0	4.755282581	0	0
0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	80.90169944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4136	37.3913	5352.5405	0.8014	0	0	0	0	4.045084972	0	0
0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	58.77852523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4123	37.3923	5352.5898	0.8016	0	0	0	0	2.938926261	0	0
0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	30.90169944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.413	37.3924	5352.7657	0.8018	0	0	0	0	1.545084972	0	0
0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1.22515E-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4132	37.3925	5352.7362	0.802	0	0	0	0	6.12574E-16	0	0
0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	-30.90169944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4137	37.3915	5352.7994	0.8022	0	0	0	0	-1.545084972	0	0
0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	-58.77852523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4131	37.3912	5352.8083	0.8024	0	0	0	0	-2.938926261	0	0
0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	-80.90169944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4142	37.3913	5352.8597	0.8026	0	0	0	0	-4.045084972	0	0
0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	-95.10565163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4142	37.3911	5352.8614	0.8028	0	0	0	0	-4.755282581	0	0
0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4134	37.3916	5352.8774	0.803	0	0	0	0	-5	0	0
