Fx	Fy	Fz	Mx	My	Mz	Xmm	Ymm	Zmm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
0	0	-249.3607	0	0	0	0	0	-1.4868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4121	37.3927	5352.6302	0.8	0	0	0	0	0	0	0
0	0	-250.1836	0.4	0	0	0	0	-1.4893	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4119	37.3939	5352.4652	0.8002	0	0	0	0	0	0	0
0	0	-248.9654	0.8	0	0	0	0	-1.485	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4116	37.3928	5352.4448	0.8004	0	0	0	0	0	0	0
0	0	-250.0718	1.2	0	0	0	0	-1.4898	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.412	37.3921	5352.3989	0.8006	0	0	0	0	0	0	0
0	0	-251.0454	1.6	0	0	0	0	-1.4894	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4135	37.3925	5352.4657	0.8008	0	0	0	0	0	0	0
0	0	-250.2357	2	0	0	0	0	-1.4901	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4137	37.3922	5352.5213	0.801	0	0	0	0	0	0	0
0	0	-251.215	2.4	0	0	0	0	-1.4916	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4138	37.3918	5352.5903	0.8012	0	0	0	0	0	0	0
0	0	-250.796	2.8	0	0	0	0	-1.4908	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4136	37.3913	5352.5405	0.8014	0	0	0	0	0	0	0
0	0	-250.278	3.2	0	0	0	0	-1.4912	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4123	37.3923	5352.5898	0.8016	0	0	0	0	0	0	0
0	0	-249.9675	3.6	0	0	0	0	-1.4901	-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.413	37.3924	5352.7657	0.8018	0	0	0	0	0	0	0
0	0	-251.4279	4	0	0	0	0	-1.4884	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4132	37.3925	5352.7362	0.802	0	0	0	0	0	0	0
0	0	-249.467	3.6	0	0	0	0	-1.4875	-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4137	37.3915	5352.7994	0.8022	0	0	0	0	0	0	0
0	0	-251.6864	3.2	0	0	0	0	-1.4861	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4131	37.3912	5352.8083	0.8024	0	0	0	0	0	0	0
0	0	-249.8441	2.8	0	0	0	0	-1.4877	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4142	37.3913	5352.8597	0.8026	0	0	0	0	0	0	0
0	0	-251.0436	2.4	0	0	0	0	-1.4842	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4142	37.3911	5352.8614	0.8028	0	0	0	0	0	0	0
0	0	-250.84	2	0	0	0	0	-1.4861	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4134	37.3916	5352.8774	0.803	0	0	0	0	0	0	0
0	0	-250.8517	1.6	0	0	0	0	-1.4856	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4119	37.3928	5352.7422	0.8032	0	0	0	0	0	0	0
0	0	-251.0842	1.2	0	0	0	0	-1.4899	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4119	37.3931	5352.8508	0.8034	0	0	0	0	0	0	0
0	0	-249.6262	0.8	0	0	0	0	-1.4869	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4121	37.3915	5352.9088	0.8036	0	0	0	0	0	0	0
0	0	-250.7574	0.4	0	0	0	0	-1.4919	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4132	37.3914	5353.0375	0.8038	0	0	0	0	0	0	0
0	0	-251.054	0	0	0	0	0	-1.4862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4141	37.3912	5352.9846	0.804	0	0	0	0	0	0	0
0	0	-251.1667	-0.4	0	0	0	0	-1.4886	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4141	37.3901	5353.0812	0.8042	0	0	0	0	0	0	0
0	0	-250.4694	-0.8	0	0	0	0	-1.4936	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4139	37.3894	5353.013	0.8044	0	0	0	0	0	0	0
0	0	-250.4626	-1.2	0	0	0	0	-1.4904	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4144	37.3891	5353.0684	0.8046	0	0	0	0	0	0	0
0	0	-249.5231	-1.6	0	0	0	0	-1.4927	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.4134	37.3897	5353.0394	0.8048	0	0	0	0	0	0	0
