Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 2 6, 2025 -- 12: 47: 52: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-0.9438	-6.7028	-0.5183	 0.4470	 0.0819	 0.1775	 0.3631	-0.9805	 0.1082	 0.5125	 0.2237	-0.0377	 0.3950	-1.0092	 0.0961	 0.5115	 0.4778	 0.0117	 0.0387	-0.0364	-0.0168	-0.0046	 0.3105	 0.0593	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3714	37.5108	5365.9581	 0.0004	 0.0000	-0.9438	-6.7028	-0.5183	 0.4470	 0.0819	 0.1775
-0.8706	-6.6739	-1.3152	 0.4457	 0.1387	 0.1646	 0.3646	-0.9874	 0.1063	 0.5158	 0.2352	-0.0355	 0.4012	-1.0162	 0.0919	 0.5081	 0.5285	 0.0206	 0.0373	-0.0296	-0.0149	-0.0079	 0.2989	 0.0571	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3720	37.5110	5365.9742	 0.0008	 0.0000	-0.8706	-6.6739	-1.3152	 0.4457	 0.1387	 0.1646
-1.1124	-6.3688	-0.2386	 0.4269	 0.0510	 0.1713	 0.3614	-0.9809	 0.1066	 0.5050	 0.2390	-0.0358	 0.4018	-1.0168	 0.0915	 0.5079	 0.5334	 0.0215	 0.0404	-0.0360	-0.0151	 0.0029	 0.2951	 0.0574	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3724	37.5121	5366.0325	 0.0012	 0.0000	-1.1124	-6.3688	-0.2386	 0.4269	 0.0510	 0.1713
-1.0329	-6.6055	-0.5978	 0.4538	 0.0919	 0.1677	 0.3646	-0.9778	 0.1075	 0.5211	 0.2406	-0.0362	 0.4018	-1.0169	 0.0914	 0.5078	 0.5339	 0.0216	 0.0373	-0.0391	-0.0161	-0.0133	 0.2933	 0.0578	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3718	37.5113	5365.9677	 0.0016	 0.0000	-1.0329	-6.6055	-0.5978	 0.4538	 0.0919	 0.1677
-1.1689	-6.5946	-1.6855	 0.4525	 0.1236	 0.1711	 0.3608	-0.9790	 0.1039	 0.5114	 0.2421	-0.0408	 0.4018	-1.0168	 0.0913	 0.5077	 0.5339	 0.0216	 0.0410	-0.0379	-0.0125	-0.0037	 0.2918	 0.0624	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3724	37.5111	5365.9889	 0.0020	 0.0000	-1.1689	-6.5946	-1.6855	 0.4525	 0.1236	 0.1711
-1.2002	-6.4790	-1.2829	 0.4421	 0.0919	 0.1754	 0.3682	-0.9786	 0.1044	 0.5015	 0.2455	-0.0386	 0.4018	-1.0168	 0.0913	 0.5077	 0.5337	 0.0216	 0.0336	-0.0382	-0.0132	 0.0062	 0.2883	 0.0603	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3739	37.5106	5366.0238	 0.0024	 0.0000	-1.2002	-6.4790	-1.2829	 0.4421	 0.0919	 0.1754
-1.2994	-6.6726	-1.6277	 0.4532	 0.0955	 0.1837	 0.3660	-0.9789	 0.1074	 0.5053	 0.2440	-0.0325	 0.4018	-1.0167	 0.0912	 0.5076	 0.5336	 0.0216	 0.0358	-0.0378	-0.0162	 0.0023	 0.2896	 0.0541	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3738	37.5093	5366.0249	 0.0028	 0.0000	-1.2994	-6.6726	-1.6277	 0.4532	 0.0955	 0.1837
-1.2432	-6.5994	-1.6412	 0.4550	 0.1177	 0.1753	 0.3665	-0.9773	 0.1076	 0.5041	 0.2550	-0.0336	 0.4018	-1.0167	 0.0911	 0.5074	 0.5334	 0.0216	 0.0353	-0.0394	-0.0165	 0.0033	 0.2785	 0.0552	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3731	37.5091	5365.9825	 0.0032	 0.0000	-1.2432	-6.5994	-1.6412	 0.4550	 0.1177	 0.1753
-1.3313	-6.4577	-0.2504	 0.4480	 0.0564	 0.1876	 0.3657	-0.9781	 0.1077	 0.5209	 0.2586	-0.0285	 0.4018	-1.0166	 0.0909	 0.5073	 0.5332	 0.0216	 0.0361	-0.0385	-0.0168	-0.0136	 0.2746	 0.0501	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3733	37.5089	5366.0796	 0.0036	 0.0000	-1.3313	-6.4577	-0.2504	 0.4480	 0.0564	 0.1876
