Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 2 6, 2025 -- 13: 0: 13: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
 0.1948	-1.5499	-4.3160	 0.2137	-0.0270	 0.0047	 0.3717	-0.9844	 0.1087	 0.5163	 0.5312	 0.0111	 0.3719	-0.9845	 0.1087	 0.5163	 0.5312	 0.0112	 0.0301	-0.0325	-0.0172	-0.0084	 0.0029	 0.0105	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4074	37.4897	5367.7083	 0.0004	 0.0000	 0.1948	-1.5499	-4.3160	 0.2137	-0.0270	 0.0047
 0.1394	-1.8581	-5.4076	 0.2393	-0.0014	 0.0040	 0.3721	-0.9795	 0.1089	 0.5139	 0.5312	 0.0086	 0.4037	-1.0185	 0.0907	 0.5073	 0.5338	 0.0228	 0.0297	-0.0375	-0.0174	-0.0060	 0.0029	 0.0131	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4059	37.4894	5367.6784	 0.0008	 0.0000	 0.1394	-1.8581	-5.4076	 0.2393	-0.0014	 0.0040
 0.1818	-1.7670	-4.8396	 0.2452	-0.0152	 0.0152	 0.3712	-0.9809	 0.1069	 0.4983	 0.5395	 0.0044	 0.4021	-1.0171	 0.0913	 0.5078	 0.5340	 0.0217	 0.0307	-0.0360	-0.0155	 0.0096	-0.0055	 0.0172	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4067	37.4896	5367.7011	 0.0012	 0.0000	 0.1818	-1.7670	-4.8396	 0.2452	-0.0152	 0.0152
 0.2122	-1.7511	-4.2478	 0.2585	-0.0558	 0.0193	 0.3751	-0.9820	 0.1073	 0.5047	 0.5324	 0.0050	 0.4019	-1.0169	 0.0914	 0.5078	 0.5340	 0.0216	 0.0268	-0.0348	-0.0159	 0.0031	 0.0015	 0.0166	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4064	37.4902	5367.7730	 0.0016	 0.0000	 0.2122	-1.7511	-4.2478	 0.2585	-0.0558	 0.0193
 0.1964	-1.9503	-5.6810	 0.2335	 0.0106	 0.0083	 0.3696	-0.9806	 0.1077	 0.5037	 0.5365	 0.0105	 0.4018	-1.0168	 0.0913	 0.5077	 0.5339	 0.0216	 0.0322	-0.0362	-0.0163	 0.0041	-0.0027	 0.0111	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4059	37.4905	5367.7856	 0.0020	 0.0000	 0.1964	-1.9503	-5.6810	 0.2335	 0.0106	 0.0083
 0.0675	-2.0558	-4.6728	 0.2649	-0.0513	 0.0285	 0.3773	-0.9803	 0.1064	 0.4964	 0.5361	 0.0116	 0.4018	-1.0168	 0.0913	 0.5077	 0.5337	 0.0216	 0.0245	-0.0365	-0.0151	 0.0112	-0.0023	 0.0100	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4060	37.4905	5367.8071	 0.0024	 0.0000	 0.0675	-2.0558	-4.6728	 0.2649	-0.0513	 0.0285
 0.2298	-1.9044	-5.0280	 0.2533	-0.0022	 0.0093	 0.3692	-0.9885	 0.1083	 0.4817	 0.5384	 0.0008	 0.4018	-1.0167	 0.0912	 0.5076	 0.5336	 0.0216	 0.0326	-0.0282	-0.0171	 0.0259	-0.0048	 0.0208	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4055	37.4908	5367.9302	 0.0028	 0.0000	 0.2298	-1.9044	-5.0280	 0.2533	-0.0022	 0.0093
 0.3537	-1.7399	-4.8137	 0.2311	-0.0006	 0.0013	 0.3723	-0.9814	 0.1047	 0.4962	 0.5397	 0.0154	 0.4018	-1.0167	 0.0911	 0.5074	 0.5334	 0.0216	 0.0295	-0.0353	-0.0136	 0.0112	-0.0063	 0.0062	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4048	37.4905	5367.9161	 0.0032	 0.0000	 0.3537	-1.7399	-4.8137	 0.2311	-0.0006	 0.0013
 0.3314	-1.9530	-5.0164	 0.2548	 0.0309	 0.0021	 0.3715	-0.9810	 0.1052	 0.5064	 0.5356	 0.0158	 0.4018	-1.0166	 0.0909	 0.5073	 0.5332	 0.0216	 0.0303	-0.0356	-0.0142	 0.0009	-0.0024	 0.0058	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.4044	37.4903	5367.8102	 0.0036	 0.0000	 0.3314	-1.9530	-5.0164	 0.2548	 0.0309	 0.0021
