Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.3681	0.8905	-204.9059	0.1673	0.1571	-0.0034	0.4376	-0.8819	-1.2237	-2.3474	2.0238	-2.1884	0.4101	-0.8738	-1.2269	-2.338	1.9462	-2.1526	-0.0275	0.0082	-0.0033	0.0094	-0.0776	0.0358	0	0	0	0	0	0	0	0	0	0	0	0	36.7896	37.9809	5361.885	0.0229	0	-0.3681	0.8905	-204.9059	0.1673	0.1571	-0.0034
-0.5741	0.8351	-204.2189	0.1591	0.1135	0.0187	0.429	-0.8959	-1.2232	-2.3296	2.0234	-2.1612	0.4078	-0.8736	-1.2268	-2.3349	1.9459	-2.1154	-0.0212	0.0223	-0.0036	-0.0052	-0.0775	0.0458	0	0	0	0	0	0	0	0	0	0	0	0	36.7901	37.9799	5361.9497	0.0235	0	-0.5741	0.8351	-204.2189	0.1591	0.1135	0.0187
-0.3505	1.25	-204.4873	0.1492	0.1143	0.0149	0.4297	-0.8888	-1.2233	-2.3318	2.0174	-2.1257	0.4055	-0.8734	-1.2266	-2.3317	1.9456	-2.0778	-0.0242	0.0154	-0.0033	0.0001	-0.0718	0.048	0	0	0	0	0	0	0	0	0	0	0	0	36.7895	37.9792	5361.8881	0.0242	0	-0.3505	1.25	-204.4873	0.1492	0.1143	0.0149
-0.2561	1.032	-204.7751	0.165	0.1398	0.0284	0.4284	-0.8844	-1.2253	-2.3375	2.0201	-2.0833	0.4032	-0.8732	-1.2264	-2.3285	1.9453	-2.0398	-0.0252	0.0112	-0.0011	0.009	-0.0748	0.0434	0	0	0	0	0	0	0	0	0	0	0	0	36.7886	37.9802	5361.8682	0.0249	0	-0.2561	1.032	-204.7751	0.165	0.1398	0.0284
-0.1772	0.7092	-205.5037	0.2075	0.1806	0.0236	0.4298	-0.8848	-1.2222	-2.3208	2.0228	-2.036	0.4008	-0.873	-1.2262	-2.3253	1.945	-2.0014	-0.029	0.0118	-0.004	-0.0044	-0.0778	0.0346	0	0	0	0	0	0	0	0	0	0	0	0	36.7901	37.9813	5361.8593	0.0255	0	-0.1772	0.7092	-205.5037	0.2075	0.1806	0.0236
-0.4149	0.4536	-204.2492	0.2082	0.1558	0.0481	0.4215	-0.8911	-1.2251	-2.3287	2.0228	-2.0033	0.3984	-0.8727	-1.2259	-2.322	1.9447	-1.9626	-0.0231	0.0184	-0.0009	0.0067	-0.0781	0.0407	0	0	0	0	0	0	0	0	0	0	0	0	36.7899	37.9816	5361.7642	0.0262	0	-0.4149	0.4536	-204.2492	0.2082	0.1558	0.0481
-0.4936	0.5779	-204.2751	0.1509	0.1694	0.0451	0.4158	-0.8922	-1.2276	-2.3206	2.0251	-1.9657	0.3959	-0.8725	-1.2257	-2.3188	1.9444	-1.9235	-0.0199	0.0197	0.0019	0.0019	-0.0807	0.0423	0	0	0	0	0	0	0	0	0	0	0	0	36.7898	37.9822	5361.6632	0.0268	0	-0.4936	0.5779	-204.2751	0.1509	0.1694	0.0451
-0.237	0.6218	-205.3557	0.1715	0.1865	0.052	0.4147	-0.89	-1.2252	-2.3198	2.0234	-1.9302	0.3935	-0.8722	-1.2255	-2.3155	1.944	-1.8839	-0.0212	0.0179	-0.0003	0.0044	-0.0793	0.0463	0	0	0	0	0	0	0	0	0	0	0	0	36.7892	37.9815	5361.6357	0.0275	0	-0.237	0.6218	-205.3557	0.1715	0.1865	0.052
-0.2128	0.9467	-203.5742	0.1368	0.1144	0.0798	0.4169	-0.8853	-1.2249	-2.317	2.0261	-1.8834	0.3909	-0.8718	-1.2252	-2.3121	1.9437	-1.8438	-0.026	0.0134	-0.0003	0.0049	-0.0824	0.0395	0	0	0	0	0	0	0	0	0	0	0	0	36.7889	37.9816	5361.5687	0.0282	0	-0.2128	0.9467	-203.5742	0.1368	0.1144	0.0798
-0.1247	1.0924	-204.0171	0.1372	0.1303	0.0921	0.4166	-0.8803	-1.2214	-2.3094	2.0243	-1.8343	0.3884	-0.8715	-1.225	-2.3088	1.9433	-1.8035	-0.0282	0.0088	-0.0035	0.0006	-0.081	0.0307	0	0	0	0	0	0	0	0	0	0	0	0	36.7889	37.9811	5361.5227	0.0288	0	-0.1247	1.0924	-204.0171	0.1372	0.1303	0.0921
-0.278	0.7611	-204.3396	0.1617	0.1752	0.088	0.4108	-0.8807	-1.2271	-2.3217	2.0285	-1.7994	0.3858	-0.8711	-1.2247	-2.3054	1.943	-1.7628	-0.0249	0.0095	0.0024	0.0163	-0.0856	0.0366	0	0	0	0	0	0	0	0	0	0	0	0	36.7888	37.9798	5361.5102	0.0295	0	-0.278	0.7611	-204.3396	0.1617	0.1752	0.088
-0.4985	0.6302	-204.2297	0.1739	0.1601	0.1092	0.4039	-0.8871	-1.2225	-2.3171	2.0282	-1.7749	0.3832	-0.8707	-1.2244	-2.302	1.9426	-1.7216	-0.0206	0.0164	-0.0019	0.0151	-0.0856	0.0533	0	0	0	0	0	0	0	0	0	0	0	0	36.7888	37.9802	5361.4795	0.0301	0	-0.4985	0.6302	-204.2297	0.1739	0.1601	0.1092
-0.4536	0.7555	-204.0511	0.1634	0.127	0.1157	0.4024	-0.8932	-1.2226	-2.3011	2.029	-1.7283	0.3806	-0.8703	-1.2241	-2.2986	1.9422	-1.6802	-0.0218	0.0229	-0.0015	0.0025	-0.0868	0.0481	0	0	0	0	0	0	0	0	0	0	0	0	36.7881	37.98	5361.4437	0.0308	0	-0.4536	0.7555	-204.0511	0.1634	0.127	0.1157
-0.4229	0.8252	-204.5863	0.1589	0.1601	0.1181	0.4012	-0.8818	-1.2218	-2.2931	2.0239	-1.6763	0.3779	-0.8698	-1.2238	-2.2952	1.9418	-1.6384	-0.0233	0.012	-0.002	-0.002	-0.0821	0.0379	0	0	0	0	0	0	0	0	0	0	0	0	36.7869	37.981	5361.4568	0.0315	0	-0.4229	0.8252	-204.5863	0.1589	0.1601	0.1181
-0.0943	0.694	-205.8035	0.1843	0.2063	0.125	0.3995	-0.8753	-1.2209	-2.2926	2.0252	-1.6347	0.3752	-0.8693	-1.2235	-2.2917	1.9414	-1.5961	-0.0243	0.006	-0.0026	0.0009	-0.0838	0.0387	0	0	0	0	0	0	0	0	0	0	0	0	36.787	37.9798	5361.4819	0.0321	0	-0.0943	0.694	-205.8035	0.1843	0.2063	0.125
-0.1267	0.9224	-204.6267	0.1327	0.1369	0.1411	0.4065	-0.881	-1.2253	-2.3077	2.025	-1.6008	0.3725	-0.8688	-1.2231	-2.2882	1.941	-1.5535	-0.034	0.0122	0.0022	0.0195	-0.084	0.0472	0	0	0	0	0	0	0	0	0	0	0	0	36.7869	37.98	5361.6057	0.0328	0	-0.1267	0.9224	-204.6267	0.1327	0.1369	0.1411
-0.6802	0.6413	-203.1833	0.1396	0.1415	0.1669	0.3913	-0.8869	-1.2249	-2.2924	2.0277	-1.5635	0.3698	-0.8683	-1.2228	-2.2847	1.9406	-1.5106	-0.0215	0.0187	0.0021	0.0077	-0.0872	0.0528	0	0	0	0	0	0	0	0	0	0	0	0	36.7874	37.9797	5361.6215	0.0334	0	-0.6802	0.6413	-203.1833	0.1396	0.1415	0.1669
