Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-3.2591	0.6069	-220.4754	0.0546	0.0482	3.1917	0.7797	-0.6789	-0.7127	-0.927	1.6794	7.6939	0.8022	-0.6928	-0.7225	-0.9529	1.6783	7.6597	0.0226	-0.0139	-0.0098	-0.026	-0.0012	-0.0342	0	0	0	0	0	0	0	0	0	0	0	0	36.7831	37.98	5361.4826	0.3622	0	-3.2591	0.6069	-220.4754	0.0546	0.0482	3.1917
-3.5293	0.3742	-219.0471	0.0563	-0.0001	3.1875	0.7758	-0.685	-0.7162	-0.9374	1.6789	7.6827	0.8006	-0.6925	-0.7236	-0.956	1.6783	7.6515	0.0247	-0.0075	-0.0074	-0.0186	-0.0006	-0.0312	0	0	0	0	0	0	0	0	0	0	0	0	36.7822	37.98	5361.4733	0.3629	0	-3.5293	0.3742	-219.0471	0.0563	-0.0001	3.1875
-3.3332	0.4886	-218.0416	0.0261	0.047	3.1655	0.7708	-0.684	-0.7154	-0.9529	1.6806	7.6686	0.7989	-0.6921	-0.7246	-0.9591	1.6783	7.6431	0.0281	-0.0081	-0.0092	-0.0062	-0.0023	-0.0255	0	0	0	0	0	0	0	0	0	0	0	0	36.7828	37.9804	5361.4196	0.3635	0	-3.3332	0.4886	-218.0416	0.0261	0.047	3.1655
-3.1562	0.3559	-218.3407	0.0529	0.0546	3.1589	0.7745	-0.6819	-0.7197	-0.9538	1.6788	7.657	0.7972	-0.6918	-0.7257	-0.9622	1.6783	7.6347	0.0227	-0.0099	-0.006	-0.0084	-0.0005	-0.0222	0	0	0	0	0	0	0	0	0	0	0	0	36.7832	37.9808	5361.4982	0.3642	0	-3.1562	0.3559	-218.3407	0.0529	0.0546	3.1589
-3.2468	0.5286	-217.892	0.0268	0.0235	3.1584	0.7797	-0.6801	-0.717	-0.9625	1.6813	7.6644	0.7955	-0.6914	-0.7268	-0.9653	1.6784	7.6262	0.0158	-0.0113	-0.0099	-0.0028	-0.003	-0.0382	0	0	0	0	0	0	0	0	0	0	0	0	36.7845	37.9805	5361.5228	0.3649	0	-3.2468	0.5286	-217.892	0.0268	0.0235	3.1584
-3.144	0.4184	-219.0918	0.074	0.0895	3.1423	0.7676	-0.6792	-0.7168	-0.96	1.6797	7.6518	0.7938	-0.691	-0.7279	-0.9685	1.6784	7.6176	0.0262	-0.0118	-0.0111	-0.0085	-0.0013	-0.0342	0	0	0	0	0	0	0	0	0	0	0	0	36.7849	37.9808	5361.6279	0.3655	0	-3.144	0.4184	-219.0918	0.074	0.0895	3.1423
-3.3642	0.3446	-218.5406	0.0523	0.0725	3.1309	0.7692	-0.6796	-0.7167	-0.9612	1.677	7.6417	0.792	-0.6907	-0.7291	-0.9717	1.6784	7.6089	0.0228	-0.0111	-0.0123	-0.0105	0.0014	-0.0328	0	0	0	0	0	0	0	0	0	0	0	0	36.7843	37.9802	5361.6918	0.3662	0	-3.3642	0.3446	-218.5406	0.0523	0.0725	3.1309
-3.3097	0.4012	-218.8911	0.0672	0.0454	3.1233	0.7696	-0.6803	-0.7169	-0.9668	1.6771	7.6377	0.7902	-0.6903	-0.7302	-0.9749	1.6784	7.6001	0.0207	-0.01	-0.0133	-0.0081	0.0013	-0.0375	0	0	0	0	0	0	0	0	0	0	0	0	36.7825	37.9804	5361.6561	0.3668	0	-3.3097	0.4012	-218.8911	0.0672	0.0454	3.1233
-3.228	0.5713	-219.4913	0.0725	0.0527	3.114	0.7647	-0.6813	-0.7201	-0.9703	1.6738	7.6303	0.7884	-0.6899	-0.7313	-0.9782	1.6785	7.5912	0.0238	-0.0086	-0.0112	-0.0079	0.0046	-0.0391	0	0	0	0	0	0	0	0	0	0	0	0	36.7819	37.9804	5361.6475	0.3675	0	-3.228	0.5713	-219.4913	0.0725	0.0527	3.114
-3.2213	0.7997	-219.9948	0.0624	0.0075	3.1089	0.7661	-0.6788	-0.7229	-0.9718	1.6737	7.6228	0.7866	-0.6895	-0.7325	-0.9815	1.6785	7.5822	0.0205	-0.0108	-0.0096	-0.0097	0.0048	-0.0405	0	0	0	0	0	0	0	0	0	0	0	0	36.7826	37.9798	5361.625	0.3682	0	-3.2213	0.7997	-219.9948	0.0624	0.0075	3.1089
