Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 17, 2024 -- 13: 39: 23: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
 4.8255	-1.1454	-68.2027	 0.4259	 0.2108	-0.4969	 0.4039	-0.8321	-1.2584	-2.4488	 1.7171	-3.2009	 0.4039	-0.8321	-1.2584	-2.4488	 1.7171	-3.2009	 0.0575	-0.0377	 0.0304	 0.0193	 0.2350	 0.0174	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7851	38.0464	5354.4503	 0.0006	 0.0000	 4.8255	-1.1454	-68.2027	 0.4259	 0.2108	-0.4969
 4.7968	-1.0404	-67.7973	 0.4188	 0.1978	-0.4891	 0.4056	-0.8330	-1.2627	-2.4496	 1.7211	-3.1954	 0.4646	-0.8718	-1.2262	-2.4278	 1.9665	-3.1822	 0.0558	-0.0367	 0.0347	 0.0201	 0.2310	 0.0122	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7840	38.0465	5354.3959	 0.0013	 0.0000	 4.7968	-1.0404	-67.7973	 0.4188	 0.1978	-0.4891
 4.9046	-1.0598	-68.6490	 0.4195	 0.2265	-0.5025	 0.4102	-0.8315	-1.2634	-2.4453	 1.7140	-3.1912	 0.4614	-0.8697	-1.2280	-2.4293	 1.9522	-3.1826	 0.0511	-0.0383	 0.0355	 0.0158	 0.2381	 0.0085	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7840	38.0473	5354.2942	 0.0020	 0.0000	 4.9046	-1.0598	-68.6490	 0.4195	 0.2265	-0.5025
 4.8868	-1.0166	-68.7633	 0.4181	 0.2327	-0.4987	 0.4080	-0.8343	-1.2604	-2.4327	 1.7140	-3.1911	 0.4613	-0.8697	-1.2280	-2.4294	 1.9520	-3.1819	 0.0534	-0.0354	 0.0325	 0.0033	 0.2380	 0.0092	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7831	38.0478	5354.2311	 0.0026	 0.0000	 4.8868	-1.0166	-68.7633	 0.4181	 0.2327	-0.4987
 4.5929	-1.0353	-67.6226	 0.4295	 0.1513	-0.4867	 0.4079	-0.8400	-1.2632	-2.4394	 1.7180	-3.1930	 0.4613	-0.8698	-1.2280	-2.4293	 1.9521	-3.1809	 0.0534	-0.0298	 0.0352	 0.0101	 0.2341	 0.0120	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7842	38.0482	5354.1015	 0.0033	 0.0000	 4.5929	-1.0353	-67.6226	 0.4295	 0.1513	-0.4867
 4.7602	-0.8565	-68.0698	 0.4139	 0.2115	-0.4895	 0.4074	-0.8349	-1.2589	-2.4533	 1.7191	-3.1940	 0.4613	-0.8698	-1.2280	-2.4292	 1.9521	-3.1796	 0.0539	-0.0349	 0.0309	 0.0242	 0.2330	 0.0143	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7852	38.0476	5354.1731	 0.0039	 0.0000	 4.7602	-0.8565	-68.0698	 0.4139	 0.2115	-0.4895
 4.6929	-0.8787	-68.9139	 0.4324	 0.2149	-0.4918	 0.4055	-0.8283	-1.2627	-2.4435	 1.7201	-3.2041	 0.4612	-0.8698	-1.2280	-2.4290	 1.9521	-3.1781	 0.0557	-0.0415	 0.0347	 0.0145	 0.2320	 0.0260	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7852	38.0474	5354.1437	 0.0046	 0.0000	 4.6929	-0.8787	-68.9139	 0.4324	 0.2149	-0.4918
 4.8414	-0.8569	-67.5268	 0.4032	 0.2067	-0.4864	 0.4090	-0.8288	-1.2629	-2.4472	 1.7193	-3.2004	 0.4612	-0.8698	-1.2280	-2.4289	 1.9521	-3.1763	 0.0522	-0.0410	 0.0350	 0.0183	 0.2327	 0.0241	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7853	38.0474	5354.0820	 0.0053	 0.0000	 4.8414	-0.8569	-67.5268	 0.4032	 0.2067	-0.4864
 4.7571	-1.0087	-68.1896	 0.3982	 0.1961	-0.4960	 0.4115	-0.8354	-1.2634	-2.4595	 1.7184	-3.1967	 0.4611	-0.8698	-1.2280	-2.4287	 1.9520	-3.1742	 0.0496	-0.0344	 0.0354	 0.0308	 0.2337	 0.0225	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7855	38.0459	5354.0333	 0.0059	 0.0000	 4.7571	-1.0087	-68.1896	 0.3982	 0.1961	-0.4960
 4.9799	-1.0595	-68.9752	 0.4229	 0.2499	-0.5044	 0.4084	-0.8360	-1.2612	-2.4356	 1.7218	-3.1978	 0.4610	-0.8699	-1.2280	-2.4284	 1.9520	-3.1718	 0.0526	-0.0339	 0.0332	 0.0071	 0.2302	 0.0259	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7858	38.0441	5353.9914	 0.0066	 0.0000	 4.9799	-1.0595	-68.9752	 0.4229	 0.2499	-0.5044
 4.7409	-0.9243	-67.8797	 0.3930	 0.1947	-0.4884	 0.4093	-0.8348	-1.2661	-2.4575	 1.7177	-3.1922	 0.4609	-0.8699	-1.2280	-2.4282	 1.9520	-3.1692	 0.0516	-0.0351	 0.0381	 0.0293	 0.2343	 0.0230	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7860	38.0446	5354.0299	 0.0072	 0.0000	 4.7409	-0.9243	-67.8797	 0.3930	 0.1947	-0.4884
 4.8495	-1.0483	-68.3991	 0.4202	 0.2260	-0.4951	 0.4108	-0.8416	-1.2581	-2.4437	 1.7155	-3.1917	 0.4608	-0.8699	-1.2280	-2.4279	 1.9520	-3.1662	 0.0500	-0.0283	 0.0301	 0.0158	 0.2365	 0.0255	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7866	38.0442	5354.0709	 0.0079	 0.0000	 4.8495	-1.0483	-68.3991	 0.4202	 0.2260	-0.4951
 4.6760	-0.8360	-68.1172	 0.3928	 0.1796	-0.4837	 0.4082	-0.8386	-1.2610	-2.4391	 1.7207	-3.1931	 0.4606	-0.8699	-1.2280	-2.4276	 1.9520	-3.1630	 0.0524	-0.0313	 0.0329	 0.0115	 0.2313	 0.0301	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7858	38.0450	5354.1319	 0.0086	 0.0000	 4.6760	-0.8360	-68.1172	 0.3928	 0.1796	-0.4837
 4.8678	-1.0869	-68.7990	 0.4242	 0.2326	-0.4958	 0.4102	-0.8391	-1.2586	-2.4405	 1.7175	-3.1909	 0.4605	-0.8700	-1.2280	-2.4273	 1.9520	-3.1594	 0.0503	-0.0309	 0.0306	 0.0132	 0.2344	 0.0314	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7855	38.0458	5354.1822	 0.0092	 0.0000	 4.8678	-1.0869	-68.7990	 0.4242	 0.2326	-0.4958
 4.8168	-1.0059	-68.5388	 0.4256	 0.2143	-0.4832	 0.4107	-0.8378	-1.2600	-2.4369	 1.7194	-3.1904	 0.4603	-0.8700	-1.2280	-2.4270	 1.9520	-3.1556	 0.0496	-0.0322	 0.0320	 0.0099	 0.2326	 0.0348	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7852	38.0464	5354.0668	 0.0099	 0.0000	 4.8168	-1.0059	-68.5388	 0.4256	 0.2143	-0.4832
 5.1049	-1.1552	-69.4865	 0.4365	 0.2774	-0.4926	 0.4147	-0.8386	-1.2603	-2.4243	 1.7237	-3.1832	 0.4601	-0.8700	-1.2280	-2.4266	 1.9519	-3.1514	 0.0454	-0.0314	 0.0322	-0.0023	 0.2282	 0.0318	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7851	38.0474	5353.9997	 0.0105	 0.0000	 5.1049	-1.1552	-69.4865	 0.4365	 0.2774	-0.4926
 4.9488	-0.8735	-67.9536	 0.3915	 0.2048	-0.4867	 0.4155	-0.8378	-1.2623	-2.4340	 1.7233	-3.1765	 0.4599	-0.8701	-1.2280	-2.4262	 1.9519	-3.1469	 0.0444	-0.0322	 0.0343	 0.0078	 0.2287	 0.0296	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7856	38.0468	5353.9046	 0.0112	 0.0000	 4.9488	-0.8735	-67.9536	 0.3915	 0.2048	-0.4867
 4.7884	-0.8494	-67.7593	 0.4129	 0.1549	-0.4743	 0.4248	-0.8356	-1.2609	-2.4328	 1.7254	-3.1763	 0.4597	-0.8701	-1.2280	-2.4257	 1.9519	-3.1420	 0.0349	-0.0345	 0.0329	 0.0071	 0.2265	 0.0342	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7846	38.0467	5353.8887	 0.0119	 0.0000	 4.7884	-0.8494	-67.7593	 0.4129	 0.1549	-0.4743
 4.9767	-0.9892	-68.2635	 0.4321	 0.2076	-0.4786	 0.4251	-0.8331	-1.2596	-2.4367	 1.7229	-3.1735	 0.4594	-0.8701	-1.2280	-2.4253	 1.9519	-3.1369	 0.0344	-0.0370	 0.0316	 0.0114	 0.2290	 0.0366	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7848	38.0472	5353.9040	 0.0125	 0.0000	 4.9767	-0.9892	-68.2635	 0.4321	 0.2076	-0.4786
 4.8806	-1.1634	-68.4558	 0.4309	 0.2012	-0.4852	 0.4294	-0.8403	-1.2637	-2.4320	 1.7231	-3.1683	 0.4592	-0.8702	-1.2280	-2.4248	 1.9518	-3.1314	 0.0297	-0.0298	 0.0356	 0.0072	 0.2287	 0.0370	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7860	38.0475	5353.9933	 0.0132	 0.0000	 4.8806	-1.1634	-68.4558	 0.4309	 0.2012	-0.4852
 4.9649	-0.8756	-68.3128	 0.3952	 0.1984	-0.4803	 0.4247	-0.8377	-1.2631	-2.4292	 1.7230	-3.1742	 0.4589	-0.8702	-1.2280	-2.4243	 1.9518	-3.1255	 0.0342	-0.0325	 0.0351	 0.0049	 0.2288	 0.0487	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7857	38.0482	5353.9562	 0.0138	 0.0000	 4.9649	-0.8756	-68.3128	 0.3952	 0.1984	-0.4803
 4.9276	-1.2487	-67.9624	 0.4282	 0.2006	-0.4821	 0.4291	-0.8412	-1.2575	-2.4369	 1.7190	-3.1637	 0.4586	-0.8702	-1.2280	-2.4237	 1.9518	-3.1193	 0.0295	-0.0290	 0.0295	 0.0132	 0.2327	 0.0444	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7848	38.0482	5354.0283	 0.0145	 0.0000	 4.9276	-1.2487	-67.9624	 0.4282	 0.2006	-0.4821
 4.8587	-1.1455	-67.7629	 0.4024	 0.2138	-0.4754	 0.4301	-0.8419	-1.2595	-2.4318	 1.7261	-3.1656	 0.4583	-0.8702	-1.2280	-2.4231	 1.9517	-3.1127	 0.0281	-0.0284	 0.0315	 0.0087	 0.2256	 0.0529	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7845	38.0490	5354.0542	 0.0152	 0.0000	 4.8587	-1.1455	-67.7629	 0.4024	 0.2138	-0.4754
 4.8073	-1.1189	-67.4048	 0.3958	 0.2211	-0.4674	 0.4242	-0.8381	-1.2576	-2.4361	 1.7217	-3.1576	 0.4579	-0.8703	-1.2280	-2.4225	 1.9517	-3.1058	 0.0337	-0.0322	 0.0296	 0.0136	 0.2300	 0.0518	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7850	38.0483	5354.0388	 0.0158	 0.0000	 4.8073	-1.1189	-67.4048	 0.3958	 0.2211	-0.4674
 4.5852	-1.0159	-67.6336	 0.3919	 0.1860	-0.4648	 0.4252	-0.8412	-1.2577	-2.4309	 1.7234	-3.1487	 0.4575	-0.8703	-1.2280	-2.4219	 1.9516	-3.0984	 0.0323	-0.0291	 0.0297	 0.0090	 0.2283	 0.0503	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7863	38.0488	5354.0014	 0.0165	 0.0000	 4.5852	-1.0159	-67.6336	 0.3919	 0.1860	-0.4648
 4.6112	-1.0790	-66.6270	 0.3947	 0.1774	-0.4600	 0.4212	-0.8472	-1.2544	-2.4219	 1.7262	-3.1339	 0.4571	-0.8703	-1.2280	-2.4212	 1.9516	-3.0908	 0.0360	-0.0232	 0.0264	 0.0008	 0.2254	 0.0432	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7858	38.0482	5353.9398	 0.0171	 0.0000	 4.6112	-1.0790	-66.6270	 0.3947	 0.1774	-0.4600
 4.5050	-1.0878	-67.3709	 0.4024	 0.1936	-0.4571	 0.4213	-0.8458	-1.2567	-2.4285	 1.7307	-3.1372	 0.4567	-0.8704	-1.2280	-2.4205	 1.9516	-3.0827	 0.0354	-0.0246	 0.0287	 0.0080	 0.2209	 0.0545	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7851	38.0481	5353.7262	 0.0178	 0.0000	 4.5050	-1.0878	-67.3709	 0.4024	 0.1936	-0.4571
 4.7170	-1.2189	-67.2997	 0.4130	 0.2285	-0.4618	 0.4192	-0.8379	-1.2587	-2.4301	 1.7195	-3.1296	 0.4563	-0.8704	-1.2280	-2.4197	 1.9515	-3.0742	 0.0371	-0.0324	 0.0308	 0.0104	 0.2320	 0.0554	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7845	38.0482	5353.7142	 0.0185	 0.0000	 4.7170	-1.2189	-67.2997	 0.4130	 0.2285	-0.4618
 4.6660	-1.2429	-67.1789	 0.4074	 0.2234	-0.4545	 0.4261	-0.8412	-1.2540	-2.4268	 1.7236	-3.1148	 0.4558	-0.8704	-1.2279	-2.4189	 1.9515	-3.0653	 0.0298	-0.0292	 0.0261	 0.0079	 0.2279	 0.0495	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7839	38.0493	5353.7951	 0.0191	 0.0000	 4.6660	-1.2429	-67.1789	 0.4074	 0.2234	-0.4545
 4.3463	-1.0732	-66.9401	 0.4037	 0.1832	-0.4492	 0.4231	-0.8420	-1.2556	-2.4312	 1.7280	-3.1085	 0.4553	-0.8704	-1.2279	-2.4181	 1.9514	-3.0560	 0.0322	-0.0284	 0.0277	 0.0131	 0.2234	 0.0525	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7840	38.0480	5353.7525	 0.0198	 0.0000	 4.3463	-1.0732	-66.9401	 0.4037	 0.1832	-0.4492
 4.3632	-1.0235	-66.5285	 0.3937	 0.1945	-0.4407	 0.4224	-0.8400	-1.2583	-2.4425	 1.7257	-3.0979	 0.4548	-0.8704	-1.2279	-2.4173	 1.9513	-3.0463	 0.0324	-0.0305	 0.0304	 0.0252	 0.2256	 0.0516	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7833	38.0475	5353.7105	 0.0204	 0.0000	 4.3632	-1.0235	-66.5285	 0.3937	 0.1945	-0.4407
 4.3739	-1.0315	-67.0711	 0.3962	 0.2089	-0.4383	 0.4257	-0.8405	-1.2555	-2.4431	 1.7276	-3.0820	 0.4542	-0.8704	-1.2279	-2.4164	 1.9513	-3.0362	 0.0286	-0.0300	 0.0277	 0.0268	 0.2237	 0.0458	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7841	38.0466	5353.8054	 0.0211	 0.0000	 4.3739	-1.0315	-67.0711	 0.3962	 0.2089	-0.4383
 4.3448	-1.1837	-67.1938	 0.4257	 0.2201	-0.4422	 0.4264	-0.8407	-1.2580	-2.4454	 1.7286	-3.0770	 0.4537	-0.8704	-1.2278	-2.4155	 1.9512	-3.0257	 0.0273	-0.0298	 0.0302	 0.0300	 0.2226	 0.0513	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7852	38.0479	5353.9048	 0.0218	 0.0000	 4.3448	-1.1837	-67.1938	 0.4257	 0.2201	-0.4422
 4.1312	-1.2033	-67.7304	 0.4342	 0.2321	-0.4442	 0.4245	-0.8402	-1.2596	-2.4362	 1.7315	-3.0692	 0.4531	-0.8704	-1.2278	-2.4145	 1.9511	-3.0147	 0.0286	-0.0302	 0.0318	 0.0217	 0.2196	 0.0545	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7864	38.0479	5353.8818	 0.0224	 0.0000	 4.1312	-1.2033	-67.7304	 0.4342	 0.2321	-0.4442
 3.9282	-0.9660	-66.3841	 0.4025	 0.2075	-0.4282	 0.4178	-0.8418	-1.2561	-2.4384	 1.7277	-3.0558	 0.4524	-0.8704	-1.2278	-2.4135	 1.9511	-3.0033	 0.0346	-0.0286	 0.0283	 0.0249	 0.2234	 0.0524	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7855	38.0490	5353.8243	 0.0231	 0.0000	 3.9282	-0.9660	-66.3841	 0.4025	 0.2075	-0.4282
 4.1474	-1.1541	-66.7398	 0.4379	 0.2389	-0.4202	 0.4170	-0.8399	-1.2583	-2.4274	 1.7322	-3.0510	 0.4518	-0.8704	-1.2277	-2.4125	 1.9510	-2.9915	 0.0347	-0.0305	 0.0306	 0.0149	 0.2188	 0.0596	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7846	38.0496	5353.7565	 0.0237	 0.0000	 4.1474	-1.1541	-66.7398	 0.4379	 0.2389	-0.4202
 4.3474	-1.3921	-67.9155	 0.4376	 0.2901	-0.4398	 0.4172	-0.8393	-1.2547	-2.4282	 1.7231	-3.0333	 0.4511	-0.8704	-1.2277	-2.4114	 1.9509	-2.9792	 0.0338	-0.0311	 0.0270	 0.0168	 0.2278	 0.0541	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7835	38.0493	5353.8120	 0.0244	 0.0000	 4.3474	-1.3921	-67.9155	 0.4376	 0.2901	-0.4398
 4.1326	-1.1165	-66.9650	 0.4215	 0.2435	-0.4254	 0.4257	-0.8436	-1.2576	-2.4135	 1.7282	-3.0157	 0.4503	-0.8704	-1.2277	-2.4103	 1.9508	-2.9664	 0.0246	-0.0268	 0.0299	 0.0031	 0.2226	 0.0492	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7850	38.0483	5354.0916	 0.0251	 0.0000	 4.1326	-1.1165	-66.9650	 0.4215	 0.2435	-0.4254
 3.9221	-0.9864	-66.4528	 0.3972	 0.2349	-0.4095	 0.4241	-0.8428	-1.2569	-2.4174	 1.7320	-2.9962	 0.4496	-0.8704	-1.2276	-2.4092	 1.9507	-2.9532	 0.0254	-0.0276	 0.0293	 0.0082	 0.2187	 0.0430	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7856	38.0483	5354.0107	 0.0257	 0.0000	 3.9221	-0.9864	-66.4528	 0.3972	 0.2349	-0.4095
 3.8876	-1.0379	-66.5250	 0.3952	 0.2494	-0.4081	 0.4173	-0.8399	-1.2560	-2.4044	 1.7309	-2.9895	 0.4488	-0.8703	-1.2276	-2.4080	 1.9506	-2.9395	 0.0315	-0.0304	 0.0285	-0.0036	 0.2197	 0.0500	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7876	38.0478	5354.1206	 0.0264	 0.0000	 3.8876	-1.0379	-66.5250	 0.3952	 0.2494	-0.4081
 3.5595	-1.0353	-65.4938	 0.4003	 0.1965	-0.3977	 0.4196	-0.8439	-1.2578	-2.4170	 1.7263	-2.9783	 0.4480	-0.8703	-1.2275	-2.4068	 1.9505	-2.9254	 0.0284	-0.0264	 0.0303	 0.0102	 0.2242	 0.0529	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7878	38.0471	5354.1299	 0.0270	 0.0000	 3.5595	-1.0353	-65.4938	 0.4003	 0.1965	-0.3977
 3.5031	-1.2675	-65.9012	 0.4125	 0.2250	-0.3929	 0.4126	-0.8455	-1.2515	-2.4180	 1.7350	-2.9687	 0.4471	-0.8702	-1.2274	-2.4056	 1.9504	-2.9108	 0.0346	-0.0248	 0.0241	 0.0124	 0.2154	 0.0579	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7874	38.0463	5354.0824	 0.0277	 0.0000	 3.5031	-1.2675	-65.9012	 0.4125	 0.2250	-0.3929
 3.6937	-1.2464	-65.6137	 0.3967	 0.2433	-0.4010	 0.4073	-0.8427	-1.2548	-2.4157	 1.7339	-2.9603	 0.4462	-0.8702	-1.2274	-2.4043	 1.9503	-2.8957	 0.0390	-0.0275	 0.0274	 0.0114	 0.2164	 0.0646	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7870	38.0467	5354.0675	 0.0284	 0.0000	 3.6937	-1.2464	-65.6137	 0.3967	 0.2433	-0.4010
 3.5449	-1.2380	-65.5269	 0.3920	 0.2348	-0.3895	 0.4163	-0.8457	-1.2571	-2.4145	 1.7273	-2.9444	 0.4453	-0.8701	-1.2273	-2.4030	 1.9502	-2.8801	 0.0291	-0.0244	 0.0298	 0.0115	 0.2228	 0.0643	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7870	38.0472	5353.9153	 0.0290	 0.0000	 3.5449	-1.2380	-65.5269	 0.3920	 0.2348	-0.3895
 3.4677	-1.1818	-65.7191	 0.3981	 0.2315	-0.3738	 0.4145	-0.8426	-1.2625	-2.4284	 1.7298	-2.9239	 0.4444	-0.8700	-1.2272	-2.4016	 1.9500	-2.8641	 0.0298	-0.0275	 0.0353	 0.0268	 0.2202	 0.0599	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7864	38.0463	5353.8190	 0.0297	 0.0000	 3.4677	-1.1818	-65.7191	 0.3981	 0.2315	-0.3738
