Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.6658	-1.4034	-57.5515	0.3014	0.4959	-0.0071	0.4221	-0.8884	-1.2213	-2.3379	2.0289	-2.0862	0.4032	-0.8732	-1.2264	-2.3285	1.9453	-2.0398	-0.019	0.0152	-0.0051	0.0094	-0.0835	0.0464	0	0	0	0	0	0	0	0	0	0	0	0	36.796	38.0505	5355.6409	0.0249	0	-0.6658	-1.4034	-57.5515	0.3014	0.4959	-0.0071
-0.8861	-1.1214	-56.2833	0.2739	0.4277	0.013	0.4247	-0.8822	-1.2204	-2.3473	2.0286	-2.0381	0.4008	-0.873	-1.2262	-2.3253	1.945	-2.0014	-0.0239	0.0092	-0.0058	0.022	-0.0836	0.0366	0	0	0	0	0	0	0	0	0	0	0	0	36.7958	38.0498	5355.5607	0.0255	0	-0.8861	-1.1214	-56.2833	0.2739	0.4277	0.013
-0.7816	-1.3609	-58.1705	0.3122	0.5114	-0.0107	0.4229	-0.8788	-1.218	-2.3344	2.0217	-1.9892	0.3984	-0.8727	-1.2259	-2.322	1.9447	-1.9626	-0.0245	0.0061	-0.008	0.0124	-0.077	0.0266	0	0	0	0	0	0	0	0	0	0	0	0	36.796	38.0512	5355.5346	0.0262	0	-0.7816	-1.3609	-58.1705	0.3122	0.5114	-0.0107
-1.1821	-1.199	-57.5416	0.3019	0.448	0.0005	0.4155	-0.8807	-1.2232	-2.3297	2.0245	-1.9591	0.3959	-0.8725	-1.2257	-2.3188	1.9444	-1.9235	-0.0196	0.0082	-0.0025	0.0109	-0.0801	0.0356	0	0	0	0	0	0	0	0	0	0	0	0	36.7959	38.0514	5355.6158	0.0268	0	-1.1821	-1.199	-57.5416	0.3019	0.448	0.0005
-1.3434	-1.1698	-57.0441	0.2903	0.4098	0.03	0.4128	-0.8876	-1.22	-2.3289	2.024	-1.9278	0.3935	-0.8722	-1.2255	-2.3155	1.944	-1.8839	-0.0194	0.0154	-0.0055	0.0134	-0.08	0.0439	0	0	0	0	0	0	0	0	0	0	0	0	36.795	38.0507	5355.6419	0.0275	0	-1.3434	-1.1698	-57.0441	0.2903	0.4098	0.03
-1.1247	-1.2557	-57.9034	0.2749	0.487	0.0087	0.4147	-0.8829	-1.221	-2.3141	2.0233	-1.8866	0.3909	-0.8718	-1.2252	-2.3121	1.9437	-1.8438	-0.0237	0.011	-0.0043	0.002	-0.0796	0.0427	0	0	0	0	0	0	0	0	0	0	0	0	36.7953	38.0508	5355.6422	0.0282	0	-1.1247	-1.2557	-57.9034	0.2749	0.487	0.0087
-1.2589	-1.2413	-57.3498	0.3032	0.4656	0.0121	0.4114	-0.8822	-1.221	-2.3189	2.0251	-1.83	0.3884	-0.8715	-1.225	-2.3088	1.9433	-1.8035	-0.023	0.0107	-0.004	0.0102	-0.0817	0.0265	0	0	0	0	0	0	0	0	0	0	0	0	36.7964	38.0519	5355.6295	0.0288	0	-1.2589	-1.2413	-57.3498	0.3032	0.4656	0.0121
-1.2553	-1.5869	-57.7992	0.3215	0.5029	0.0012	0.4021	-0.883	-1.2243	-2.3178	2.0242	-1.7941	0.3858	-0.8711	-1.2247	-2.3054	1.943	-1.7628	-0.0163	0.0119	-0.0004	0.0124	-0.0812	0.0313	0	0	0	0	0	0	0	0	0	0	0	0	36.7964	38.0524	5355.5854	0.0295	0	-1.2553	-1.5869	-57.7992	0.3215	0.5029	0.0012
-1.3242	-1.6453	-58.7368	0.3237	0.5234	0.0238	0.4004	-0.8902	-1.2241	-2.317	2.0239	-1.7665	0.3832	-0.8707	-1.2244	-2.302	1.9426	-1.7216	-0.0172	0.0195	-0.0003	0.0149	-0.0813	0.0449	0	0	0	0	0	0	0	0	0	0	0	0	36.7969	38.0527	5355.5907	0.0301	0	-1.3242	-1.6453	-58.7368	0.3237	0.5234	0.0238
-1.4758	-1.4425	-57.0179	0.3107	0.4772	0.0285	0.4054	-0.8795	-1.2262	-2.3036	2.0253	-1.7205	0.3806	-0.8703	-1.2241	-2.2986	1.9422	-1.6802	-0.0248	0.0092	0.0021	0.005	-0.0831	0.0403	0	0	0	0	0	0	0	0	0	0	0	0	36.7974	38.0522	5355.6379	0.0308	0	-1.4758	-1.4425	-57.0179	0.3107	0.4772	0.0285
-1.4132	-1.3593	-57.7402	0.2889	0.5252	0.0131	0.4007	-0.8697	-1.2254	-2.2992	2.0251	-1.6702	0.3779	-0.8698	-1.2238	-2.2952	1.9418	-1.6384	-0.0228	-0.0001	0.0016	0.004	-0.0833	0.0318	0	0	0	0	0	0	0	0	0	0	0	0	36.7963	38.0512	5355.7364	0.0315	0	-1.4132	-1.3593	-57.7402	0.2889	0.5252	0.0131
-1.595	-1.7383	-57.8178	0.3181	0.5138	0.0304	0.3899	-0.8785	-1.2261	-2.303	2.0273	-1.6381	0.3752	-0.8693	-1.2235	-2.2917	1.9414	-1.5961	-0.0147	0.0092	0.0026	0.0113	-0.0859	0.042	0	0	0	0	0	0	0	0	0	0	0	0	36.7943	38.0517	5355.6549	0.0321	0	-1.595	-1.7383	-57.8178	0.3181	0.5138	0.0304
-1.5582	-1.5684	-56.6765	0.2773	0.5053	0.049	0.3936	-0.8844	-1.2281	-2.3066	2.0262	-1.608	0.3725	-0.8688	-1.2231	-2.2882	1.941	-1.5535	-0.0211	0.0156	0.005	0.0183	-0.0852	0.0545	0	0	0	0	0	0	0	0	0	0	0	0	36.7937	38.0517	5355.6027	0.0328	0	-1.5582	-1.5684	-56.6765	0.2773	0.5053	0.049
-1.6912	-1.5698	-57.418	0.2829	0.509	0.0399	0.3934	-0.8773	-1.2271	-2.3112	2.0286	-1.5481	0.3698	-0.8683	-1.2228	-2.2847	1.9406	-1.5106	-0.0236	0.009	0.0043	0.0265	-0.088	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	36.7938	38.0516	5355.5868	0.0334	0	-1.6912	-1.5698	-57.418	0.2829	0.509	0.0399
-1.8584	-1.5905	-57.2776	0.2912	0.5243	0.0212	0.3833	-0.875	-1.2275	-2.3006	2.027	-1.4944	0.367	-0.8677	-1.2224	-2.2812	1.9401	-1.4673	-0.0163	0.0073	0.0051	0.0194	-0.0869	0.0272	0	0	0	0	0	0	0	0	0	0	0	0	36.7949	38.0513	5355.6532	0.0341	0	-1.8584	-1.5905	-57.2776	0.2912	0.5243	0.0212
-1.8028	-1.6503	-57.5023	0.2942	0.5504	0.053	0.3816	-0.8787	-1.2261	-2.294	2.0288	-1.4694	0.3642	-0.8671	-1.222	-2.2777	1.9397	-1.4237	-0.0174	0.0116	0.004	0.0163	-0.0892	0.0458	0	0	0	0	0	0	0	0	0	0	0	0	36.7958	38.0507	5355.6778	0.0348	0	-1.8028	-1.6503	-57.5023	0.2942	0.5504	0.053
-2.0606	-1.4842	-57.564	0.2905	0.481	0.0767	0.3825	-0.8831	-1.2272	-2.2912	2.026	-1.431	0.3614	-0.8664	-1.2216	-2.2741	1.9392	-1.3798	-0.0211	0.0166	0.0056	0.0171	-0.0868	0.0512	0	0	0	0	0	0	0	0	0	0	0	0	36.796	38.0503	5355.6379	0.0354	0	-2.0606	-1.4842	-57.564	0.2905	0.481	0.0767
-1.9435	-1.4902	-56.8967	0.2862	0.5165	0.0625	0.3763	-0.8714	-1.2284	-2.2825	2.0276	-1.3732	0.3586	-0.8658	-1.2212	-2.2705	1.9387	-1.3355	-0.0177	0.0056	0.0072	0.012	-0.0889	0.0377	0	0	0	0	0	0	0	0	0	0	0	0	36.7954	38.0517	5355.5878	0.0361	0	-1.9435	-1.4902	-56.8967	0.2862	0.5165	0.0625
-2.3412	-1.4019	-56.1869	0.2729	0.4512	0.0724	0.3719	-0.8664	-1.23	-2.2687	2.0216	-1.3268	0.3557	-0.8651	-1.2208	-2.2669	1.9382	-1.2909	-0.0162	0.0013	0.0092	0.0018	-0.0834	0.036	0	0	0	0	0	0	0	0	0	0	0	0	36.7954	38.0512	5355.617	0.0367	0	-2.3412	-1.4019	-56.1869	0.2729	0.4512	0.0724
-2.21	-1.6744	-56.4517	0.2544	0.4967	0.0914	0.3718	-0.8802	-1.2281	-2.2712	2.0242	-1.2916	0.3528	-0.8644	-1.2204	-2.2633	1.9377	-1.246	-0.019	0.0159	0.0077	0.0079	-0.0866	0.0456	0	0	0	0	0	0	0	0	0	0	0	0	36.7949	38.0508	5355.5115	0.0374	0	-2.21	-1.6744	-56.4517	0.2544	0.4967	0.0914
-2.1563	-1.8622	-56.0717	0.2673	0.5176	0.092	0.3681	-0.8848	-1.2297	-2.2509	2.0289	-1.2526	0.35	-0.8636	-1.2199	-2.2597	1.9372	-1.2007	-0.0181	0.0212	0.0098	-0.0087	-0.0918	0.0518	0	0	0	0	0	0	0	0	0	0	0	0	36.7954	38.0517	5355.3858	0.0381	0	-2.1563	-1.8622	-56.0717	0.2673	0.5176	0.092
-2.4778	-1.8103	-56.9115	0.2688	0.5178	0.0952	0.3638	-0.8767	-1.2245	-2.2601	2.0261	-1.1934	0.3471	-0.8628	-1.2195	-2.256	1.9366	-1.1552	-0.0168	0.0138	0.005	0.0041	-0.0895	0.0382	0	0	0	0	0	0	0	0	0	0	0	0	36.7962	38.0514	5355.1895	0.0387	0	-2.4778	-1.8103	-56.9115	0.2688	0.5178	0.0952
-2.4991	-1.8977	-56.494	0.2821	0.5269	0.0891	0.3674	-0.8687	-1.2311	-2.2456	2.0266	-1.1496	0.3441	-0.862	-1.219	-2.2524	1.9361	-1.1095	-0.0232	0.0067	0.0121	-0.0067	-0.0905	0.0401	0	0	0	0	0	0	0	0	0	0	0	0	36.7965	38.0518	5355.1102	0.0394	0	-2.4991	-1.8977	-56.494	0.2821	0.5269	0.0891
-2.5871	-1.9394	-56.2543	0.264	0.5132	0.101	0.3655	-0.8685	-1.2238	-2.2486	2.0304	-1.1005	0.3412	-0.8612	-1.2185	-2.2487	1.9355	-1.0633	-0.0243	0.0073	0.0053	-0	-0.0949	0.0371	0	0	0	0	0	0	0	0	0	0	0	0	36.796	38.0517	5355.1074	0.04	0	-2.5871	-1.9394	-56.2543	0.264	0.5132	0.101
-2.6731	-2.0852	-55.8785	0.2545	0.5269	0.1089	0.3542	-0.8722	-1.2272	-2.2502	2.0214	-1.0591	0.3383	-0.8603	-1.218	-2.245	1.9349	-1.017	-0.016	0.0119	0.0092	0.0052	-0.0865	0.0421	0	0	0	0	0	0	0	0	0	0	0	0	36.7959	38.0516	5355.0827	0.0407	0	-2.6731	-2.0852	-55.8785	0.2545	0.5269	0.1089
-2.938	-1.9998	-55.0888	0.2353	0.4788	0.1147	0.3428	-0.87	-1.2228	-2.2614	2.025	-1.0268	0.3353	-0.8594	-1.2175	-2.2413	1.9343	-0.9704	-0.0075	0.0107	0.0053	0.0201	-0.0907	0.0565	0	0	0	0	0	0	0	0	0	0	0	0	36.7957	38.0524	5355.1032	0.0414	0	-2.938	-1.9998	-55.0888	0.2353	0.4788	0.1147
-2.6461	-2.2208	-56.8441	0.2848	0.5442	0.1033	0.3496	-0.8709	-1.2266	-2.2498	2.0215	-0.9649	0.3324	-0.8584	-1.2169	-2.2375	1.9337	-0.9234	-0.0172	0.0125	0.0097	0.0122	-0.0878	0.0415	0	0	0	0	0	0	0	0	0	0	0	0	36.7955	38.0523	5355.0893	0.042	0	-2.6461	-2.2208	-56.8441	0.2848	0.5442	0.1033
-2.7991	-1.8374	-56.2837	0.2542	0.5229	0.1208	0.3535	-0.8654	-1.2246	-2.2442	2.0251	-0.9161	0.3294	-0.8575	-1.2164	-2.2338	1.9331	-0.8763	-0.0241	0.008	0.0082	0.0104	-0.0921	0.0398	0	0	0	0	0	0	0	0	0	0	0	0	36.7962	38.0517	5355.0964	0.0427	0	-2.7991	-1.8374	-56.2837	0.2542	0.5229	0.1208
-2.9385	-2.1264	-56.364	0.2843	0.5355	0.1279	0.3498	-0.8677	-1.2264	-2.2412	2.0254	-0.8625	0.3264	-0.8565	-1.2158	-2.23	1.9324	-0.8289	-0.0233	0.0113	0.0106	0.0111	-0.0929	0.0336	0	0	0	0	0	0	0	0	0	0	0	0	36.7962	38.0517	5355.1068	0.0433	0	-2.9385	-2.1264	-56.364	0.2843	0.5355	0.1279
-3.4599	-2.1609	-56.5429	0.2709	0.5015	0.1406	0.3338	-0.8704	-1.226	-2.2287	2.0285	-0.8306	0.3235	-0.8554	-1.2152	-2.2263	1.9318	-0.7813	-0.0103	0.015	0.0108	0.0025	-0.0967	0.0493	0	0	0	0	0	0	0	0	0	0	0	0	36.7958	38.0503	5355.1733	0.044	0	-3.4599	-2.1609	-56.5429	0.2709	0.5015	0.1406
-2.8683	-2.296	-57.5544	0.2757	0.5839	0.1291	0.3392	-0.8637	-1.2246	-2.2305	2.0212	-0.7832	0.3205	-0.8544	-1.2146	-2.2225	1.9311	-0.7334	-0.0187	0.0094	0.01	0.0081	-0.0902	0.0498	0	0	0	0	0	0	0	0	0	0	0	0	36.7965	38.0498	5355.1169	0.0447	0	-2.8683	-2.296	-57.5544	0.2757	0.5839	0.1291
-3.1974	-2.2655	-56.4809	0.2661	0.5408	0.1404	0.3403	-0.8634	-1.223	-2.2218	2.0284	-0.7259	0.3175	-0.8533	-1.214	-2.2187	1.9304	-0.6853	-0.0228	0.0101	0.009	0.0031	-0.0981	0.0406	0	0	0	0	0	0	0	0	0	0	0	0	36.7968	38.0495	5355.1197	0.0453	0	-3.1974	-2.2655	-56.4809	0.2661	0.5408	0.1404
-3.2147	-2.3295	-55.9482	0.2691	0.5801	0.1228	0.3306	-0.8565	-1.2202	-2.2115	2.0285	-0.6804	0.3145	-0.8521	-1.2133	-2.2148	1.9296	-0.637	-0.0161	0.0043	0.0068	-0.0033	-0.0988	0.0434	0	0	0	0	0	0	0	0	0	0	0	0	36.7972	38.0491	5355.1008	0.046	0	-3.2147	-2.3295	-55.9482	0.2691	0.5801	0.1228
