Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
9.6651	-1.1232	-64.4873	0.3168	0.0354	-0.7944	0.4644	-0.7493	-1.214	-2.5876	1.7066	-3.9629	0.4549	-0.7439	-1.2015	-2.5774	1.9895	-3.9694	-0.0095	0.0054	0.0125	0.0102	0.2829	-0.0065	0	0	0	0	0	0	0	0	0	0	0	0	36.7965	38.0522	5353.1926	0.5866	0	9.6651	-1.1232	-64.4873	0.3168	0.0354	-0.7944
9.4791	-0.9615	-65.2501	0.3296	-0.0072	-0.7974	0.4596	-0.7472	-1.2101	-2.5963	1.7079	-4.0127	0.4532	-0.7438	-1.2008	-2.5799	1.9898	-4.0088	-0.0064	0.0034	0.0094	0.0164	0.2819	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	36.7969	38.0515	5353.126	0.5873	0	9.4791	-0.9615	-65.2501	0.3296	-0.0072	-0.7974
9.9466	-1.0495	-66.001	0.3328	0.0573	-0.8163	0.4546	-0.742	-1.2128	-2.5905	1.7139	-4.049	0.4514	-0.7438	-1.2	-2.5823	1.99	-4.048	-0.0032	-0.0018	0.0128	0.0082	0.2761	0.001	0	0	0	0	0	0	0	0	0	0	0	0	36.7953	38.0517	5353.1785	0.5879	0	9.9466	-1.0495	-66.001	0.3328	0.0573	-0.8163
10.0533	-0.803	-65.4848	0.3009	0.004	-0.8263	0.4582	-0.7423	-1.2114	-2.582	1.71	-4.0897	0.4496	-0.7438	-1.1992	-2.5847	1.9903	-4.0869	-0.0086	-0.0014	0.0122	-0.0027	0.2803	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	36.7952	38.0512	5353.18	0.5886	0	10.0533	-0.803	-65.4848	0.3009	0.004	-0.8263
10.347	-1.0246	-66.4917	0.3236	0.0097	-0.843	0.4562	-0.7493	-1.2093	-2.6011	1.707	-4.127	0.4477	-0.7438	-1.1984	-2.587	1.9905	-4.1253	-0.0085	0.0056	0.0109	0.0141	0.2835	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	36.796	38.051	5353.1759	0.5893	0	10.347	-1.0246	-66.4917	0.3236	0.0097	-0.843
10.323	-0.9425	-67.1921	0.3215	-0.0058	-0.8463	0.4566	-0.7467	-1.2079	-2.5969	1.7122	-4.1691	0.4457	-0.7438	-1.1976	-2.5892	1.9907	-4.1636	-0.0109	0.003	0.0103	0.0076	0.2785	0.0056	0	0	0	0	0	0	0	0	0	0	0	0	36.7966	38.0502	5353.2108	0.5899	0	10.323	-0.9425	-67.1921	0.3215	-0.0058	-0.8463
10.5207	-0.881	-66.5798	0.303	0.0169	-0.8596	0.4498	-0.7461	-1.2081	-2.5904	1.708	-4.2047	0.4437	-0.7438	-1.1968	-2.5914	1.9909	-4.2014	-0.0061	0.0023	0.0113	-0.0011	0.2829	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	36.796	38.049	5353.2028	0.5906	0	10.5207	-0.881	-66.5798	0.303	0.0169	-0.8596
10.6668	-1.0862	-65.9302	0.3075	-0.0082	-0.8667	0.4493	-0.7449	-1.2071	-2.6028	1.7095	-4.2423	0.4415	-0.7438	-1.196	-2.5936	1.9911	-4.2389	-0.0078	0.0011	0.0112	0.0092	0.2816	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	36.7946	38.0486	5353.1707	0.5912	0	10.6668	-1.0862	-65.9302	0.3075	-0.0082	-0.8667
10.8438	-1.0169	-66.2011	0.2835	-0.0028	-0.8804	0.4454	-0.7476	-1.2077	-2.5974	1.7106	-4.2776	0.4394	-0.7438	-1.1951	-2.5957	1.9913	-4.2762	-0.006	0.0038	0.0126	0.0018	0.2807	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	36.7944	38.0497	5353.1491	0.5919	0	10.8438	-1.0169	-66.2011	0.2835	-0.0028	-0.8804
10.9332	-1.2566	-64.9909	0.3065	-0.0047	-0.8902	0.4452	-0.7489	-1.2009	-2.6041	1.7122	-4.3094	0.4371	-0.7438	-1.1943	-2.5977	1.9915	-4.3131	-0.008	0.005	0.0066	0.0064	0.2793	-0.0037	0	0	0	0	0	0	0	0	0	0	0	0	36.7938	38.0501	5353.24	0.5926	0	10.9332	-1.2566	-64.9909	0.3065	-0.0047	-0.8902
