Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
1.0941	2.7714	-175.0771	-0.0018	-0.482	0.0175	0.3318	-0.2583	-1.1342	-3.063	1.6055	-1.2267	0.3407	-0.2659	-1.1311	-3.0621	1.745	-1.2277	0.0089	-0.0075	0.0031	0.0008	0.1396	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	36.8148	37.9971	5359.3557	0.966	0	1.0941	2.7714	-175.0771	-0.0018	-0.482	0.0175
1.1466	2.7106	-175.7481	0.0078	-0.4718	0.0107	0.328	-0.2623	-1.135	-3.0478	1.6063	-1.2229	0.3416	-0.2722	-1.1309	-3.0487	1.7476	-1.2262	0.0136	-0.0098	0.004	-0.001	0.1412	-0.0033	0	0	0	0	0	0	0	0	0	0	0	0	36.8152	37.9965	5359.412	0.9667	0	1.1466	2.7106	-175.7481	0.0078	-0.4718	0.0107
1.2484	2.7933	-175.925	0.0154	-0.4398	0.0039	0.3287	-0.2693	-1.1369	-3.0324	1.6114	-1.2229	0.3424	-0.2785	-1.1308	-3.0354	1.7501	-1.2247	0.0137	-0.0092	0.0061	-0.003	0.1387	-0.0018	0	0	0	0	0	0	0	0	0	0	0	0	36.8148	37.997	5359.4009	0.9673	0	1.2484	2.7933	-175.925	0.0154	-0.4398	0.0039
1.2899	2.6682	-176.8122	0.0342	-0.4607	0.0062	0.3349	-0.2698	-1.1354	-3.0292	1.6086	-1.2123	0.3433	-0.2847	-1.1306	-3.0221	1.7526	-1.2232	0.0084	-0.015	0.0047	0.0071	0.144	-0.0109	0	0	0	0	0	0	0	0	0	0	0	0	36.8134	37.9968	5359.3135	0.968	0	1.2899	2.6682	-176.8122	0.0342	-0.4607	0.0062
1.0377	2.8628	-175.1494	0.0208	-0.5153	0.0147	0.3355	-0.2745	-1.135	-3.0175	1.6089	-1.2111	0.3441	-0.291	-1.1304	-3.0089	1.755	-1.2217	0.0086	-0.0164	0.0046	0.0086	0.1461	-0.0106	0	0	0	0	0	0	0	0	0	0	0	0	36.8141	37.9977	5359.4523	0.9687	0	1.0377	2.8628	-175.1494	0.0208	-0.5153	0.0147
0.9988	2.9329	-174.6263	0.0075	-0.492	0.0177	0.3334	-0.2818	-1.1381	-2.9945	1.612	-1.2189	0.3449	-0.2972	-1.1303	-2.9958	1.7575	-1.2202	0.0115	-0.0154	0.0078	-0.0013	0.1454	-0.0013	0	0	0	0	0	0	0	0	0	0	0	0	36.8138	37.9987	5359.5563	0.9693	0	0.9988	2.9329	-174.6263	0.0075	-0.492	0.0177
0.9649	2.7316	-174.5541	0.002	-0.5124	0.0149	0.3281	-0.2905	-1.1335	-2.9849	1.6136	-1.2173	0.3457	-0.3033	-1.1301	-2.9827	1.7599	-1.2187	0.0177	-0.0129	0.0034	0.0022	0.1463	-0.0014	0	0	0	0	0	0	0	0	0	0	0	0	36.814	37.9973	5359.5088	0.97	0	0.9649	2.7316	-174.5541	0.002	-0.5124	0.0149
0.9779	2.8957	-174.699	-0.0091	-0.5273	0.03	0.33	-0.2982	-1.1378	-2.9802	1.6081	-1.2172	0.3465	-0.3095	-1.1299	-2.9697	1.7622	-1.2171	0.0165	-0.0113	0.0079	0.0106	0.1541	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	36.8129	37.9974	5359.5506	0.9706	0	0.9779	2.8957	-174.699	-0.0091	-0.5273	0.03
1.2278	2.8259	-175.3315	0.0384	-0.4921	0.0144	0.3325	-0.3064	-1.1346	-2.9732	1.6104	-1.2087	0.3473	-0.3156	-1.1297	-2.9567	1.7646	-1.2156	0.0148	-0.0092	0.0049	0.0165	0.1542	-0.0069	0	0	0	0	0	0	0	0	0	0	0	0	36.8135	37.9977	5359.4895	0.9713	0	1.2278	2.8259	-175.3315	0.0384	-0.4921	0.0144
1.2946	2.8824	-176.1301	0.0494	-0.5139	0.0228	0.3371	-0.3109	-1.1363	-2.956	1.615	-1.2133	0.3481	-0.3217	-1.1295	-2.9438	1.7669	-1.2141	0.011	-0.0107	0.0068	0.0122	0.1519	-0.0008	0	0	0	0	0	0	0	0	0	0	0	0	36.8134	37.9968	5359.5255	0.972	0	1.2946	2.8824	-176.1301	0.0494	-0.5139	0.0228
