Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
1.4603	1.3758	-168.1917	0.0235	-0.4361	0.1103	0.3171	-0.5904	-1.0565	-2.0059	1.7146	-0.5792	0.333	-0.5808	-1.0575	-2.0038	1.9449	-0.6144	0.0159	0.0096	-0.0009	0.0021	0.2303	-0.0352	0	0	0	0	0	0	0	0	0	0	0	0	36.8159	37.997	5360.2012	0.5146	0	1.4603	1.3758	-168.1917	0.0235	-0.4361	0.1103
1.5327	1.0437	-169.47	-0.0196	-0.3957	0.104	0.318	-0.5883	-1.0616	-2.0385	1.7082	-0.5828	0.3332	-0.5678	-1.0589	-2.029	1.9444	-0.6208	0.0151	0.0204	0.0027	0.0095	0.2363	-0.038	0	0	0	0	0	0	0	0	0	0	0	0	36.8159	37.9976	5360.2609	0.5152	0	1.5327	1.0437	-169.47	-0.0196	-0.3957	0.104
1.3574	1.3608	-169.925	-0.0063	-0.4376	0.1224	0.3122	-0.5706	-1.0659	-2.0573	1.711	-0.5929	0.3333	-0.5549	-1.0603	-2.0542	1.9439	-0.6272	0.0211	0.0156	0.0056	0.0031	0.2329	-0.0343	0	0	0	0	0	0	0	0	0	0	0	0	36.8153	37.9967	5360.3844	0.5159	0	1.3574	1.3608	-169.925	-0.0063	-0.4376	0.1224
1.3262	1.1548	-170.0531	0.0029	-0.4517	0.1175	0.3138	-0.5541	-1.0656	-2.0844	1.711	-0.6023	0.3335	-0.5421	-1.0616	-2.0793	1.9434	-0.6336	0.0197	0.012	0.004	0.005	0.2323	-0.0312	0	0	0	0	0	0	0	0	0	0	0	0	36.815	37.9966	5360.4567	0.5166	0	1.3262	1.1548	-170.0531	0.0029	-0.4517	0.1175
1.595	1.4452	-167.6387	-0.0583	-0.4644	0.1324	0.3165	-0.5358	-1.0664	-2.1012	1.7107	-0.6037	0.3337	-0.5293	-1.063	-2.1043	1.9427	-0.6399	0.0172	0.0065	0.0034	-0.0031	0.232	-0.0362	0	0	0	0	0	0	0	0	0	0	0	0	36.8144	37.9968	5360.4451	0.5172	0	1.595	1.4452	-167.6387	-0.0583	-0.4644	0.1324
1.9042	1.1867	-168.7738	-0.065	-0.4123	0.1166	0.3211	-0.5292	-1.0653	-2.1254	1.708	-0.6059	0.3338	-0.5166	-1.0642	-2.1291	1.9421	-0.6463	0.0127	0.0126	0.0011	-0.0037	0.2341	-0.0404	0	0	0	0	0	0	0	0	0	0	0	0	36.8138	37.9969	5360.3913	0.5179	0	1.9042	1.1867	-168.7738	-0.065	-0.4123	0.1166
1.4979	1.2188	-168.1152	-0.1081	-0.4354	0.1126	0.3236	-0.5215	-1.0666	-2.1591	1.7083	-0.6191	0.3339	-0.504	-1.0655	-2.1539	1.9414	-0.6527	0.0103	0.0175	0.0011	0.0052	0.2331	-0.0336	0	0	0	0	0	0	0	0	0	0	0	0	36.8132	37.9968	5360.2341	0.5185	0	1.4979	1.2188	-168.1152	-0.1081	-0.4354	0.1126
1.392	1.2223	-169.706	-0.1038	-0.4029	0.1075	0.3149	-0.5066	-1.0714	-2.1769	1.7056	-0.6272	0.334	-0.4914	-1.0667	-2.1785	1.9407	-0.6591	0.0192	0.0153	0.0047	-0.0016	0.2351	-0.0318	0	0	0	0	0	0	0	0	0	0	0	0	36.8126	37.9968	5360.2122	0.5192	0	1.392	1.2223	-169.706	-0.1038	-0.4029	0.1075
1.4802	1.2768	-168.8637	-0.1148	-0.4207	0.1218	0.317	-0.5007	-1.0708	-2.2129	1.708	-0.6333	0.3341	-0.4788	-1.0679	-2.203	1.94	-0.6654	0.0172	0.0219	0.0029	0.0099	0.232	-0.0321	0	0	0	0	0	0	0	0	0	0	0	0	36.8136	37.9971	5360.4224	0.5199	0	1.4802	1.2768	-168.8637	-0.1148	-0.4207	0.1218
1.6036	1.4305	-169.2682	-0.1121	-0.4131	0.1164	0.3188	-0.4804	-1.0703	-2.2461	1.7082	-0.631	0.3342	-0.4663	-1.069	-2.2275	1.9392	-0.6718	0.0154	0.0141	0.0012	0.0186	0.2309	-0.0408	0	0	0	0	0	0	0	0	0	0	0	0	36.8124	37.9985	5360.4194	0.5205	0	1.6036	1.4305	-169.2682	-0.1121	-0.4131	0.1164
1.6305	1.3945	-169.0716	-0.1043	-0.3937	0.1156	0.319	-0.4585	-1.0728	-2.2679	1.7069	-0.6458	0.3343	-0.4539	-1.0702	-2.2518	1.9384	-0.6781	0.0153	0.0046	0.0026	0.0162	0.2314	-0.0324	0	0	0	0	0	0	0	0	0	0	0	0	36.8124	37.9993	5360.2698	0.5212	0	1.6305	1.3945	-169.0716	-0.1043	-0.3937	0.1156
1.6157	1.1794	-169.2335	-0.1179	-0.3812	0.1068	0.3193	-0.4551	-1.0751	-2.2938	1.7099	-0.6469	0.3344	-0.4415	-1.0713	-2.276	1.9375	-0.6845	0.0151	0.0136	0.0038	0.0178	0.2276	-0.0376	0	0	0	0	0	0	0	0	0	0	0	0	36.8134	37.9994	5360.2303	0.5218	0	1.6157	1.1794	-169.2335	-0.1179	-0.3812	0.1068
1.4523	1.2631	-170.8594	-0.1221	-0.3852	0.1147	0.3122	-0.4454	-1.0758	-2.3061	1.7111	-0.6561	0.3345	-0.4292	-1.0723	-2.3001	1.9366	-0.6908	0.0223	0.0162	0.0035	0.006	0.2256	-0.0347	0	0	0	0	0	0	0	0	0	0	0	0	36.813	37.9987	5360.186	0.5225	0	1.4523	1.2631	-170.8594	-0.1221	-0.3852	0.1147
1.6655	1.1724	-170.4686	-0.1311	-0.3882	0.0997	0.316	-0.4343	-1.0732	-2.3359	1.7091	-0.665	0.3345	-0.417	-1.0734	-2.3241	1.9357	-0.6971	0.0185	0.0173	-0.0001	0.0118	0.2266	-0.0321	0	0	0	0	0	0	0	0	0	0	0	0	36.8135	37.9983	5360.2849	0.5232	0	1.6655	1.1724	-170.4686	-0.1311	-0.3882	0.0997
1.6842	1.5578	-169.5952	-0.1642	-0.4167	0.1238	0.3235	-0.4181	-1.0762	-2.3535	1.709	-0.6595	0.3346	-0.4048	-1.0744	-2.348	1.9347	-0.7034	0.0111	0.0133	0.0018	0.0055	0.2257	-0.0439	0	0	0	0	0	0	0	0	0	0	0	0	36.8128	37.9992	5360.2242	0.5238	0	1.6842	1.5578	-169.5952	-0.1642	-0.4167	0.1238
1.4619	1.3826	-169.2667	-0.1719	-0.3907	0.1096	0.3196	-0.4097	-1.0744	-2.3711	1.7118	-0.671	0.3346	-0.3926	-1.0754	-2.3718	1.9337	-0.7098	0.0151	0.0171	-0.0009	-0.0007	0.2219	-0.0388	0	0	0	0	0	0	0	0	0	0	0	0	36.8121	37.9996	5360.1653	0.5245	0	1.4619	1.3826	-169.2667	-0.1719	-0.3907	0.1096
1.0454	1.5325	-169.1678	-0.1877	-0.442	0.1293	0.3161	-0.4002	-1.0767	-2.3886	1.7094	-0.6798	0.3346	-0.3805	-1.0763	-2.3955	1.9327	-0.7161	0.0186	0.0196	0.0004	-0.0068	0.2233	-0.0362	0	0	0	0	0	0	0	0	0	0	0	0	36.8125	38.0011	5360.2619	0.5251	0	1.0454	1.5325	-169.1678	-0.1877	-0.442	0.1293
