Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.296	-3.0552	-24.7418	-0.0308	0.1553	-0.0426	0.2935	-0.0163	-1.1357	-3.5805	1.5982	-1.2622	0.3076	-0.0293	-1.1332	-3.5595	1.6519	-1.2731	0.0142	-0.013	0.0025	0.021	0.0536	-0.0109	0	0	0	0	0	0	0	0	0	0	0	0	36.7535	38.0205	5353.2072	0.9436	0	-0.296	-3.0552	-24.7418	-0.0308	0.1553	-0.0426
-0.2057	-3.1625	-25.5742	0.0108	0.1815	-0.0488	0.2917	-0.0264	-1.1346	-3.5648	1.5972	-1.2701	0.3087	-0.0368	-1.1332	-3.5438	1.6546	-1.2719	0.0169	-0.0104	0.0013	0.021	0.0575	-0.0018	0	0	0	0	0	0	0	0	0	0	0	0	36.7541	38.0207	5353.265	0.9442	0	-0.2057	-3.1625	-25.5742	0.0108	0.1815	-0.0488
-0.0961	-2.9535	-24.6291	-0.0191	0.1804	-0.0464	0.2941	-0.0329	-1.1341	-3.5337	1.5949	-1.2662	0.3097	-0.0443	-1.1332	-3.5281	1.6574	-1.2708	0.0156	-0.0114	0.0008	0.0056	0.0625	-0.0045	0	0	0	0	0	0	0	0	0	0	0	0	36.7542	38.0197	5353.2936	0.9449	0	-0.0961	-2.9535	-24.6291	-0.0191	0.1804	-0.0464
-0.1598	-3.0737	-24.5482	-0.0037	0.1669	-0.0544	0.3	-0.0373	-1.1328	-3.5234	1.5946	-1.2643	0.3107	-0.0518	-1.1332	-3.5125	1.6602	-1.2696	0.0107	-0.0145	-0.0004	0.0108	0.0656	-0.0053	0	0	0	0	0	0	0	0	0	0	0	0	36.7537	38.0207	5353.2944	0.9456	0	-0.1598	-3.0737	-24.5482	-0.0037	0.1669	-0.0544
-0.1128	-2.9356	-25.1637	-0.0099	0.1759	-0.0516	0.3009	-0.0423	-1.136	-3.5026	1.5953	-1.2598	0.3117	-0.0593	-1.1332	-3.497	1.6629	-1.2684	0.0108	-0.0169	0.0028	0.0057	0.0676	-0.0085	0	0	0	0	0	0	0	0	0	0	0	0	36.754	38.02	5353.1912	0.9462	0	-0.1128	-2.9356	-25.1637	-0.0099	0.1759	-0.0516
0.0374	-3.1107	-25.9456	-0.0013	0.2273	-0.0581	0.3005	-0.0514	-1.133	-3.4881	1.5954	-1.2588	0.3128	-0.0667	-1.1332	-3.4815	1.6657	-1.2671	0.0122	-0.0153	-0.0002	0.0066	0.0703	-0.0084	0	0	0	0	0	0	0	0	0	0	0	0	36.7546	38.0201	5353.2921	0.9469	0	0.0374	-3.1107	-25.9456	-0.0013	0.2273	-0.0581
0.1474	-3.2251	-25.2409	0.0087	0.2404	-0.0626	0.3002	-0.0628	-1.1377	-3.4799	1.5989	-1.2631	0.3138	-0.0741	-1.1332	-3.4661	1.6685	-1.2659	0.0136	-0.0112	0.0044	0.0138	0.0696	-0.0028	0	0	0	0	0	0	0	0	0	0	0	0	36.7555	38.0192	5353.1795	0.9475	0	0.1474	-3.2251	-25.2409	0.0087	0.2404	-0.0626
-0.1513	-2.922	-24.6606	-0.0116	0.1788	-0.0433	0.2981	-0.0737	-1.1347	-3.4572	1.5972	-1.2613	0.3148	-0.0814	-1.1332	-3.4507	1.6713	-1.2647	0.0167	-0.0077	0.0015	0.0065	0.0741	-0.0034	0	0	0	0	0	0	0	0	0	0	0	0	36.7565	38.02	5353.2437	0.9482	0	-0.1513	-2.922	-24.6606	-0.0116	0.1788	-0.0433
0.083	-3.0843	-25.5085	0.0093	0.2139	-0.0584	0.3034	-0.0746	-1.1318	-3.4428	1.5972	-1.2538	0.3158	-0.0887	-1.1332	-3.4354	1.6741	-1.2634	0.0124	-0.0141	-0.0014	0.0074	0.0769	-0.0097	0	0	0	0	0	0	0	0	0	0	0	0	36.7563	38.02	5353.247	0.9489	0	0.083	-3.0843	-25.5085	0.0093	0.2139	-0.0584
-0.1243	-3.1442	-24.6107	0.0116	0.1738	-0.0536	0.3031	-0.0804	-1.1348	-3.4276	1.5983	-1.2516	0.3168	-0.096	-1.1332	-3.4202	1.6769	-1.2622	0.0137	-0.0156	0.0016	0.0074	0.0786	-0.0106	0	0	0	0	0	0	0	0	0	0	0	0	36.7553	38.0192	5353.2507	0.9495	0	-0.1243	-3.1442	-24.6107	0.0116	0.1738	-0.0536
