Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.9638	-2.5051	-27.3797	0.0114	0.1748	-0.0023	0.3275	-0.6072	-1.0709	-1.9824	1.7114	-0.5603	0.3328	-0.5938	-1.056	-1.9783	1.9454	-0.608	0.0053	0.0134	0.0149	0.004	0.234	-0.0477	0	0	0	0	0	0	0	0	0	0	0	0	36.7474	38.0179	5353.8673	0.5139	0	-0.9638	-2.5051	-27.3797	0.0114	0.1748	-0.0023
-0.9819	-2.5346	-28.2534	-0.0135	0.206	-0.0059	0.3164	-0.5985	-1.079	-2.0157	1.7069	-0.5767	0.333	-0.5808	-1.0575	-2.0038	1.9449	-0.6144	0.0166	0.0177	0.0215	0.012	0.2381	-0.0377	0	0	0	0	0	0	0	0	0	0	0	0	36.748	38.0181	5353.8871	0.5146	0	-0.9819	-2.5346	-28.2534	-0.0135	0.206	-0.0059
-0.9077	-2.7854	-27.6521	0.0184	0.2274	-0.0033	0.314	-0.5875	-1.0756	-2.0421	1.7136	-0.5919	0.3332	-0.5678	-1.0589	-2.029	1.9444	-0.6208	0.0192	0.0197	0.0167	0.0131	0.2308	-0.0289	0	0	0	0	0	0	0	0	0	0	0	0	36.7481	38.0175	5353.8944	0.5152	0	-0.9077	-2.7854	-27.6521	0.0184	0.2274	-0.0033
-0.6888	-2.5487	-27.2671	-0.0162	0.235	-0.0145	0.3176	-0.5697	-1.0808	-2.0584	1.7164	-0.5881	0.3333	-0.5549	-1.0603	-2.0542	1.9439	-0.6272	0.0158	0.0148	0.0205	0.0042	0.2275	-0.0391	0	0	0	0	0	0	0	0	0	0	0	0	36.748	38.0171	5353.8106	0.5159	0	-0.6888	-2.5487	-27.2671	-0.0162	0.235	-0.0145
-0.7586	-2.7178	-27.2515	0.0215	0.2344	-0.0153	0.3233	-0.5484	-1.0765	-2.0821	1.7181	-0.5981	0.3335	-0.5421	-1.0616	-2.0793	1.9434	-0.6336	0.0103	0.0063	0.0149	0.0028	0.2252	-0.0354	0	0	0	0	0	0	0	0	0	0	0	0	36.7483	38.0164	5353.8281	0.5166	0	-0.7586	-2.7178	-27.2515	0.0215	0.2344	-0.0153
-0.7868	-2.7174	-26.7592	-0.021	0.2161	-0.003	0.3204	-0.5426	-1.0783	-2.1109	1.718	-0.6078	0.3337	-0.5293	-1.063	-2.1043	1.9427	-0.6399	0.0132	0.0133	0.0154	0.0067	0.2247	-0.0321	0	0	0	0	0	0	0	0	0	0	0	0	36.7475	38.0161	5353.6889	0.5172	0	-0.7868	-2.7174	-26.7592	-0.021	0.2161	-0.003
-0.8179	-2.7377	-27.5796	-0.018	0.2346	-0.0122	0.3184	-0.5407	-1.0843	-2.1548	1.7204	-0.613	0.3338	-0.5166	-1.0642	-2.1291	1.9421	-0.6463	0.0154	0.024	0.0201	0.0257	0.2217	-0.0333	0	0	0	0	0	0	0	0	0	0	0	0	36.7481	38.0167	5353.6776	0.5179	0	-0.8179	-2.7377	-27.5796	-0.018	0.2346	-0.0122
-1.1761	-2.2734	-25.3693	-0.0563	0.1362	0.0108	0.3214	-0.5192	-1.0805	-2.1817	1.7143	-0.6169	0.3339	-0.504	-1.0655	-2.1539	1.9414	-0.6527	0.0125	0.0153	0.0151	0.0279	0.2272	-0.0358	0	0	0	0	0	0	0	0	0	0	0	0	36.7483	38.0162	5353.7022	0.5185	0	-1.1761	-2.2734	-25.3693	-0.0563	0.1362	0.0108
-0.6324	-2.6504	-27.5455	-0.0001	0.2622	-0.019	0.3256	-0.5047	-1.0835	-2.2014	1.7159	-0.6231	0.334	-0.4914	-1.0667	-2.1785	1.9407	-0.6591	0.0085	0.0133	0.0168	0.0228	0.2248	-0.036	0	0	0	0	0	0	0	0	0	0	0	0	36.7484	38.0163	5353.6728	0.5192	0	-0.6324	-2.6504	-27.5455	-0.0001	0.2622	-0.019
-0.722	-2.5631	-26.6389	-0.0056	0.2461	-0.0071	0.3193	-0.494	-1.0849	-2.2237	1.7211	-0.6307	0.3341	-0.4788	-1.0679	-2.203	1.94	-0.6654	0.0148	0.0152	0.0171	0.0207	0.2188	-0.0347	0	0	0	0	0	0	0	0	0	0	0	0	36.7485	38.017	5353.6758	0.5199	0	-0.722	-2.5631	-26.6389	-0.0056	0.2461	-0.0071
-0.6923	-2.6581	-26.7419	-0.0002	0.2509	-0.0109	0.3172	-0.4883	-1.0829	-2.2257	1.7141	-0.6448	0.3342	-0.4663	-1.069	-2.2275	1.9392	-0.6718	0.017	0.022	0.0138	-0.0018	0.2251	-0.027	0	0	0	0	0	0	0	0	0	0	0	0	36.7498	38.0182	5353.7967	0.5205	0	-0.6923	-2.6581	-26.7419	-0.0002	0.2509	-0.0109
