Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
1.1334	1.8462	-196.7087	0.2984	-0.0447	0.0228	0.3041	-0.8675	-1.1774	-2.2194	1.6706	-0.9045	0.3234	-0.868	-1.1672	-2.2091	1.8678	-0.9058	0.0194	-0.0006	0.0102	0.0103	0.1972	-0.0013	0	0	0	0	0	0	0	0	0	0	0	0	36.7996	37.988	5358.9318	0.0143	0	1.1334	1.8462	-196.7087	0.2984	-0.0447	0.0228
1.4547	1.7002	-197.5476	0.3125	0.0509	0.0086	0.3079	-0.8729	-1.1781	-2.2093	1.6782	-0.9098	0.3268	-0.8675	-1.1669	-2.2078	1.8761	-0.9074	0.019	0.0055	0.0112	0.0015	0.198	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	36.7982	37.9873	5358.8432	0.015	0	1.4547	1.7002	-197.5476	0.3125	0.0509	0.0086
1.1019	1.9831	-196.0767	0.2903	-0.0254	0.0242	0.3151	-0.8686	-1.1767	-2.2145	1.6863	-0.9181	0.3303	-0.8669	-1.1665	-2.2066	1.8846	-0.909	0.0151	0.0017	0.0102	0.0079	0.1982	0.0091	0	0	0	0	0	0	0	0	0	0	0	0	36.798	37.9868	5358.6933	0.0156	0	1.1019	1.9831	-196.0767	0.2903	-0.0254	0.0242
1.0102	1.7453	-197.1568	0.3245	0.015	0.0172	0.3135	-0.8635	-1.1769	-2.2106	1.7013	-0.9221	0.3337	-0.8663	-1.1662	-2.2053	1.8931	-0.9106	0.0202	-0.0027	0.0107	0.0053	0.1918	0.0115	0	0	0	0	0	0	0	0	0	0	0	0	36.7978	37.9872	5358.6021	0.0163	0	1.0102	1.7453	-197.1568	0.3245	0.015	0.0172
1.2355	1.7258	-197.1609	0.3357	0.0681	0.0095	0.3182	-0.8623	-1.1779	-2.2033	1.7113	-0.9193	0.3372	-0.8657	-1.1659	-2.204	1.9017	-0.9123	0.0191	-0.0034	0.012	-0.0007	0.1903	0.007	0	0	0	0	0	0	0	0	0	0	0	0	36.7987	37.987	5358.6054	0.0169	0	1.2355	1.7258	-197.1609	0.3357	0.0681	0.0095
1.0586	1.937	-196.6053	0.2993	0.016	0.0217	0.3206	-0.864	-1.176	-2.1984	1.7093	-0.9158	0.3408	-0.8651	-1.1655	-2.2026	1.9104	-0.9139	0.0202	-0.0011	0.0104	-0.0042	0.2011	0.002	0	0	0	0	0	0	0	0	0	0	0	0	36.7985	37.9877	5358.5811	0.0176	0	1.0586	1.937	-196.6053	0.2993	0.016	0.0217
1.2231	1.8683	-197.0082	0.3145	0.0492	0.0141	0.3264	-0.8621	-1.1802	-2.2155	1.7224	-0.919	0.3444	-0.8645	-1.1651	-2.2013	1.9191	-0.9155	0.018	-0.0024	0.0151	0.0143	0.1968	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	36.7985	37.988	5358.6597	0.0183	0	1.2231	1.8683	-197.0082	0.3145	0.0492	0.0141
1.3329	1.7813	-197.1696	0.3189	0.0794	0.0121	0.3286	-0.864	-1.1781	-2.1924	1.7312	-0.9206	0.348	-0.8639	-1.1648	-2.1999	1.928	-0.9171	0.0193	0.0001	0.0133	-0.0075	0.1968	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	36.7974	37.9892	5358.6963	0.0189	0	1.3329	1.7813	-197.1696	0.3189	0.0794	0.0121
1.1612	1.8916	-196.6981	0.2996	0.059	0.0142	0.332	-0.8598	-1.1794	-2.185	1.7469	-0.9241	0.3516	-0.8633	-1.1644	-2.1986	1.9369	-0.9187	0.0196	-0.0035	0.015	-0.0136	0.19	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	36.7987	37.9896	5358.6604	0.0196	0	1.1612	1.8916	-196.6981	0.2996	0.059	0.0142
1.2998	1.8345	-196.1969	0.3017	0.0735	0.0075	0.3375	-0.8606	-1.1776	-2.18	1.7476	-0.9202	0.3553	-0.8628	-1.1641	-2.1972	1.9459	-0.9203	0.0178	-0.0022	0.0135	-0.0172	0.1983	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	36.7994	37.9887	5358.6663	0.0202	0	1.2998	1.8345	-196.1969	0.3017	0.0735	0.0075
1.0808	1.8141	-196.2243	0.3068	0.0574	0.0137	0.336	-0.8589	-1.1734	-2.1727	1.7564	-0.93	0.359	-0.8622	-1.1637	-2.1958	1.955	-0.9219	0.0229	-0.0033	0.0098	-0.0231	0.1985	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	36.801	37.9888	5358.68	0.0209	0	1.0808	1.8141	-196.2243	0.3068	0.0574	0.0137
0.9766	1.8138	-194.9587	0.2882	0.0405	0.0288	0.3408	-0.8597	-1.1717	-2.1811	1.7719	-0.9322	0.3627	-0.8616	-1.1633	-2.1944	1.9641	-0.9235	0.0219	-0.0019	0.0084	-0.0133	0.1922	0.0087	0	0	0	0	0	0	0	0	0	0	0	0	36.8015	37.9896	5358.7302	0.0216	0	0.9766	1.8138	-194.9587	0.2882	0.0405	0.0288
