Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
0.1713	0.3338	-191.8984	0.187	0.0533	-0.008	0.5792	-0.7454	-1.1571	-2.2071	2.2708	-1.1234	0.5588	-0.7422	-1.1602	-2.21	2.0735	-1.1246	-0.0204	0.0033	-0.0031	-0.003	-0.1973	-0.0012	0	0	0	0	0	0	0	0	0	0	0	0	36.7991	37.9867	5360.5752	0.5152	0	0.1713	0.3338	-191.8984	0.187	0.0533	-0.008
-0.0087	0.4414	-191.662	0.1999	-0.0064	0.0038	0.5789	-0.7485	-1.1594	-2.2263	2.2595	-1.1294	0.554	-0.7424	-1.1607	-2.212	2.0616	-1.1237	-0.025	0.0062	-0.0014	0.0143	-0.1979	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	36.7985	37.9875	5360.6229	0.5159	0	-0.0087	0.4414	-191.662	0.1999	-0.0064	0.0038
-0.1416	0.9576	-192.412	0.166	-0.0735	0.011	0.5768	-0.7459	-1.1638	-2.2025	2.2443	-1.1189	0.5492	-0.7426	-1.1612	-2.2139	2.0497	-1.1228	-0.0276	0.0033	0.0025	-0.0113	-0.1946	-0.0039	0	0	0	0	0	0	0	0	0	0	0	0	36.799	37.9885	5360.7466	0.5166	0	-0.1416	0.9576	-192.412	0.166	-0.0735	0.011
-0.0164	0.8527	-193.2381	0.1952	-0.0209	-0.0044	0.5662	-0.7458	-1.162	-2.2229	2.2355	-1.1135	0.5445	-0.7428	-1.1617	-2.2158	2.0378	-1.1219	-0.0217	0.003	0.0004	0.0071	-0.1977	-0.0084	0	0	0	0	0	0	0	0	0	0	0	0	36.7986	37.988	5360.8651	0.5172	0	-0.0164	0.8527	-193.2381	0.1952	-0.0209	-0.0044
-0.04	0.6489	-192.2444	0.1861	-0.0433	0.0024	0.5596	-0.7425	-1.1638	-2.2161	2.2271	-1.1237	0.5397	-0.7431	-1.1621	-2.2177	2.026	-1.121	-0.0198	-0.0006	0.0017	-0.0016	-0.201	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	36.798	37.9884	5360.8737	0.5179	0	-0.04	0.6489	-192.2444	0.1861	-0.0433	0.0024
-0.298	0.9178	-191.1515	0.169	-0.1227	0.007	0.5556	-0.7385	-1.1604	-2.2218	2.2148	-1.1209	0.535	-0.7433	-1.1625	-2.2196	2.0142	-1.1201	-0.0206	-0.0048	-0.0021	0.0022	-0.2006	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	36.7977	37.989	5360.8261	0.5185	0	-0.298	0.9178	-191.1515	0.169	-0.1227	0.007
0.1424	0.6431	-191.9334	0.1914	-0.0738	-0.0113	0.5539	-0.7441	-1.1579	-2.2106	2.198	-1.1218	0.5303	-0.7436	-1.163	-2.2214	2.0025	-1.1191	-0.0236	0.0004	-0.0051	-0.0109	-0.1955	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	36.7969	37.9889	5360.7022	0.5192	0	0.1424	0.6431	-191.9334	0.1914	-0.0738	-0.0113
0.2272	0.8054	-193.2924	0.1724	-0.1028	0.0033	0.5532	-0.7454	-1.1651	-2.2324	2.1875	-1.1192	0.5256	-0.7439	-1.1634	-2.2233	1.9908	-1.1182	-0.0276	0.0015	0.0018	0.0091	-0.1967	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	36.798	37.9887	5360.6868	0.5199	0	0.2272	0.8054	-193.2924	0.1724	-0.1028	0.0033
-0.0199	0.752	-192.7351	0.1892	-0.1304	-0.0007	0.5444	-0.7476	-1.1633	-2.2357	2.1711	-1.1195	0.521	-0.7442	-1.1638	-2.2251	1.9791	-1.1172	-0.0235	0.0033	-0.0005	0.0106	-0.1919	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	36.7977	37.9873	5360.6029	0.5205	0	-0.0199	0.752	-192.7351	0.1892	-0.1304	-0.0007
0.1965	0.5256	-194.0309	0.2056	-0.075	-0.0157	0.5415	-0.7442	-1.1617	-2.2413	2.1627	-1.1146	0.5163	-0.7445	-1.1642	-2.227	1.9675	-1.1162	-0.0252	-0.0003	-0.0025	0.0144	-0.1952	-0.0016	0	0	0	0	0	0	0	0	0	0	0	0	36.7968	37.9881	5360.6097	0.5212	0	0.1965	0.5256	-194.0309	0.2056	-0.075	-0.0157
