Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.3252	-2.6232	-36.3588	0.2033	0.0237	-0.0581	0.3706	-0.7688	-1.1884	-2.2982	1.6701	-1.0731	0.3488	-0.7651	-1.1713	-2.2883	1.5468	-1.0738	-0.0217	0.0037	0.0171	0.0099	-0.1233	-0.0007	0	0	0	0	0	0	0	0	0	0	0	0	36.7626	38.0335	5353.3619	0.5463	0	-0.3252	-2.6232	-36.3588	0.2033	0.0237	-0.0581
-0.5862	-2.7049	-35.769	0.2234	-0.0394	-0.0506	0.3667	-0.7723	-1.1871	-2.3039	1.6591	-1.0763	0.3446	-0.7659	-1.1713	-2.2897	1.5362	-1.0725	-0.022	0.0065	0.0158	0.0142	-0.1229	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	36.7635	38.0337	5353.3454	0.5469	0	-0.5862	-2.7049	-35.769	0.2234	-0.0394	-0.0506
-0.7811	-2.3379	-35.5559	0.1968	-0.0941	-0.0335	0.3643	-0.7671	-1.1871	-2.3004	1.6416	-1.0694	0.3405	-0.7666	-1.1713	-2.2912	1.5256	-1.0712	-0.0238	0.0005	0.0158	0.0092	-0.1159	-0.0018	0	0	0	0	0	0	0	0	0	0	0	0	36.7632	38.0347	5353.3137	0.5476	0	-0.7811	-2.3379	-35.5559	0.1968	-0.0941	-0.0335
-0.0639	-2.7346	-37.0132	0.2413	0.0613	-0.0727	0.3616	-0.761	-1.188	-2.3033	1.633	-1.0718	0.3363	-0.7673	-1.1713	-2.2926	1.5151	-1.0699	-0.0253	-0.0063	0.0167	0.0107	-0.1179	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	36.7635	38.0343	5353.3367	0.5482	0	-0.0639	-2.7346	-37.0132	0.2413	0.0613	-0.0727
-0.1705	-2.8227	-36.9551	0.2404	0.0383	-0.0736	0.3547	-0.7677	-1.187	-2.2994	1.6165	-1.0706	0.3321	-0.7681	-1.1713	-2.2941	1.5046	-1.0686	-0.0226	-0.0004	0.0156	0.0053	-0.1119	0.002	0	0	0	0	0	0	0	0	0	0	0	0	36.7643	38.0344	5353.3676	0.5489	0	-0.1705	-2.8227	-36.9551	0.2404	0.0383	-0.0736
-0.268	-2.7889	-36.4021	0.2296	0.0108	-0.0761	0.3497	-0.7675	-1.1838	-2.2925	1.6012	-1.0716	0.3279	-0.7689	-1.1713	-2.2955	1.4941	-1.0673	-0.0218	-0.0013	0.0125	-0.003	-0.1071	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	36.7642	38.0344	5353.3851	0.5496	0	-0.268	-2.7889	-36.4021	0.2296	0.0108	-0.0761
-0.368	-2.6399	-35.4127	0.2172	-0.0202	-0.0621	0.3452	-0.7748	-1.1835	-2.2909	1.5941	-1.0661	0.3238	-0.7696	-1.1713	-2.297	1.4836	-1.066	-0.0214	0.0052	0.0122	-0.0061	-0.1105	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	36.7651	38.0346	5353.3389	0.5502	0	-0.368	-2.6399	-35.4127	0.2172	-0.0202	-0.0621
-0.3937	-2.7629	-35.9473	0.2296	-0.0131	-0.0601	0.3406	-0.7735	-1.185	-2.2885	1.5851	-1.0643	0.3196	-0.7704	-1.1713	-2.2984	1.4731	-1.0646	-0.021	0.0031	0.0137	-0.0099	-0.112	-0.0004	0	0	0	0	0	0	0	0	0	0	0	0	36.765	38.0359	5353.3096	0.5509	0	-0.3937	-2.7629	-35.9473	0.2296	-0.0131	-0.0601
-0.4085	-2.9104	-35.5125	0.231	-0.0246	-0.0668	0.3365	-0.7732	-1.1882	-2.2892	1.5803	-1.07	0.3155	-0.7712	-1.1713	-2.2999	1.4627	-1.0633	-0.021	0.002	0.0169	-0.0107	-0.1176	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	36.7649	38.036	5353.3114	0.5515	0	-0.4085	-2.9104	-35.5125	0.231	-0.0246	-0.0668
-0.3672	-2.8928	-35.2037	0.223	-0.0076	-0.0554	0.3378	-0.7752	-1.1831	-2.2807	1.5677	-1.0562	0.3114	-0.772	-1.1712	-2.3013	1.4523	-1.0619	-0.0264	0.0032	0.0118	-0.0207	-0.1154	-0.0058	0	0	0	0	0	0	0	0	0	0	0	0	36.7646	38.0357	5353.243	0.5522	0	-0.3672	-2.8928	-35.2037	0.223	-0.0076	-0.0554
-0.4905	-2.7668	-33.9113	0.1883	-0.046	-0.0519	0.3291	-0.7753	-1.1832	-2.2974	1.5604	-1.0596	0.3072	-0.7728	-1.1712	-2.3027	1.4419	-1.0606	-0.0219	0.0025	0.012	-0.0054	-0.1184	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	36.7646	38.0355	5353.3261	0.5529	0	-0.4905	-2.7668	-33.9113	0.1883	-0.046	-0.0519
-0.4327	-2.8296	-34.5164	0.1982	-0.0476	-0.0598	0.3282	-0.7712	-1.1843	-2.3062	1.5446	-1.0624	0.3031	-0.7736	-1.1711	-2.3042	1.4315	-1.0592	-0.025	-0.0023	0.0131	0.002	-0.1131	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	36.7649	38.0358	5353.4316	0.5535	0	-0.4327	-2.8296	-34.5164	0.1982	-0.0476	-0.0598
-0.4675	-2.7701	-33.8136	0.1987	-0.086	-0.0518	0.3154	-0.7756	-1.1815	-2.3127	1.5373	-1.0621	0.299	-0.7744	-1.1711	-2.3056	1.4212	-1.0578	-0.0164	0.0012	0.0104	0.0071	-0.1161	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	36.7646	38.0353	5353.4675	0.5542	0	-0.4675	-2.7701	-33.8136	0.1987	-0.086	-0.0518
-0.2858	-2.8406	-34.4505	0.1991	-0.0368	-0.0622	0.3095	-0.7748	-1.1813	-2.3157	1.5257	-1.0646	0.2949	-0.7752	-1.171	-2.307	1.4109	-1.0565	-0.0146	-0.0004	0.0103	0.0086	-0.1148	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	36.765	38.0354	5353.5866	0.5548	0	-0.2858	-2.8406	-34.4505	0.1991	-0.0368	-0.0622
-0.1997	-2.947	-34.3431	0.2148	-0.0254	-0.0712	0.3136	-0.779	-1.1822	-2.3044	1.508	-1.0535	0.2909	-0.776	-1.171	-2.3085	1.4006	-1.0551	-0.0227	0.003	0.0112	-0.0041	-0.1075	-0.0015	0	0	0	0	0	0	0	0	0	0	0	0	36.7649	38.0349	5353.7026	0.5555	0	-0.1997	-2.947	-34.3431	0.2148	-0.0254	-0.0712
-0.582	-2.4795	-32.7711	0.166	-0.1422	-0.0447	0.3084	-0.7782	-1.1854	-2.3221	1.5031	-1.0527	0.2868	-0.7769	-1.1709	-2.3099	1.3903	-1.0537	-0.0216	0.0013	0.0145	0.0122	-0.1128	-0.0009	0	0	0	0	0	0	0	0	0	0	0	0	36.7656	38.0344	5353.7208	0.5562	0	-0.582	-2.4795	-32.7711	0.166	-0.1422	-0.0447
-0.1281	-2.8802	-34.3978	0.2093	-0.0299	-0.0647	0.3057	-0.7807	-1.185	-2.3127	1.49	-1.0532	0.2827	-0.7777	-1.1708	-2.3113	1.38	-1.0523	-0.023	0.003	0.0142	0.0014	-0.11	0.001	0	0	0	0	0	0	0	0	0	0	0	0	36.7657	38.0355	5353.7156	0.5568	0	-0.1281	-2.8802	-34.3978	0.2093	-0.0299	-0.0647
-0.3597	-2.9587	-33.9382	0.2058	-0.0613	-0.0656	0.297	-0.7827	-1.1818	-2.3179	1.4794	-1.055	0.2786	-0.7786	-1.1707	-2.3127	1.3698	-1.0509	-0.0183	0.0042	0.0111	0.0052	-0.1096	0.0041	0	0	0	0	0	0	0	0	0	0	0	0	36.7645	38.0358	5353.6428	0.5575	0	-0.3597	-2.9587	-33.9382	0.2058	-0.0613	-0.0656
-0.26	-2.9141	-34.0069	0.208	-0.0445	-0.0704	0.2923	-0.7829	-1.1849	-2.3079	1.4701	-1.06	0.2746	-0.7794	-1.1707	-2.3142	1.3595	-1.0494	-0.0177	0.0035	0.0142	-0.0062	-0.1105	0.0106	0	0	0	0	0	0	0	0	0	0	0	0	36.7631	38.0364	5353.5641	0.5581	0	-0.26	-2.9141	-34.0069	0.208	-0.0445	-0.0704
-0.3235	-2.7337	-33.7836	0.2016	-0.068	-0.0683	0.2898	-0.7803	-1.1835	-2.304	1.4587	-1.0535	0.2705	-0.7803	-1.1706	-2.3156	1.3493	-1.048	-0.0193	0	0.013	-0.0116	-0.1094	0.0055	0	0	0	0	0	0	0	0	0	0	0	0	36.7631	38.0361	5353.4943	0.5588	0	-0.3235	-2.7337	-33.7836	0.2016	-0.068	-0.0683
-0.3487	-2.9041	-33.3623	0.1971	-0.0836	-0.0554	0.2919	-0.7795	-1.1838	-2.3073	1.4502	-1.0481	0.2665	-0.7811	-1.1705	-2.317	1.3391	-1.0466	-0.0254	-0.0017	0.0134	-0.0097	-0.1111	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	36.7628	38.0348	5353.5096	0.5595	0	-0.3487	-2.9041	-33.3623	0.1971	-0.0836	-0.0554
-0.1326	-2.874	-33.7333	0.1912	-0.048	-0.0707	0.2869	-0.7778	-1.1819	-2.3087	1.442	-1.0438	0.2625	-0.782	-1.1704	-2.3184	1.329	-1.0451	-0.0244	-0.0042	0.0115	-0.0097	-0.113	-0.0013	0	0	0	0	0	0	0	0	0	0	0	0	36.762	38.0352	5353.5594	0.5601	0	-0.1326	-2.874	-33.7333	0.1912	-0.048	-0.0707
-0.4212	-3.0234	-33.0568	0.2003	-0.1017	-0.0609	0.2809	-0.7818	-1.1837	-2.3183	1.4294	-1.0436	0.2584	-0.7829	-1.1702	-2.3198	1.3188	-1.0436	-0.0224	-0.0011	0.0135	-0.0016	-0.1105	-0	0	0	0	0	0	0	0	0	0	0	0	0	36.7618	38.0337	5353.4856	0.5608	0	-0.4212	-3.0234	-33.0568	0.2003	-0.1017	-0.0609
-0.5032	-3.031	-33.1126	0.1935	-0.1005	-0.0596	0.2741	-0.7858	-1.1807	-2.3321	1.423	-1.0465	0.2544	-0.7838	-1.1701	-2.3212	1.3087	-1.0422	-0.0197	0.002	0.0105	0.0108	-0.1143	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	36.7619	38.0333	5353.4457	0.5614	0	-0.5032	-3.031	-33.1126	0.1935	-0.1005	-0.0596
-0.2458	-2.9045	-32.5657	0.1778	-0.0857	-0.0638	0.2738	-0.7875	-1.1809	-2.3365	1.4069	-1.0392	0.2504	-0.7847	-1.17	-2.3227	1.2986	-1.0407	-0.0234	0.0029	0.0109	0.0138	-0.1083	-0.0015	0	0	0	0	0	0	0	0	0	0	0	0	36.7636	38.0344	5353.4792	0.5621	0	-0.2458	-2.9045	-32.5657	0.1778	-0.0857	-0.0638
