Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.66	-2.9345	-29.2876	0.1928	-0.0293	-0.0278	-0.0919	-1.0256	-1.1538	-2.3003	0.6145	-0.5389	-0.0693	-1.0159	-1.1545	-2.2973	0.9594	-0.541	0.0226	0.0097	-0.0007	0.0029	0.3449	-0.0021	0	0	0	0	0	0	0	0	0	0	0	0	36.7701	38.0381	5353.1231	0.9429	0	-0.66	-2.9345	-29.2876	0.1928	-0.0293	-0.0278
-0.6144	-3.0042	-28.8362	0.2153	0.0004	-0.0371	-0.0829	-1.0217	-1.1549	-2.2944	0.6361	-0.5356	-0.0635	-1.0132	-1.1554	-2.2962	0.973	-0.547	0.0194	0.0084	-0.0006	-0.0018	0.337	-0.0113	0	0	0	0	0	0	0	0	0	0	0	0	36.7714	38.0377	5353.1582	0.9436	0	-0.6144	-3.0042	-28.8362	0.2153	0.0004	-0.0371
-0.7372	-3.0249	-28.8336	0.2108	-0.0247	-0.0349	-0.0871	-1.0136	-1.153	-2.2874	0.6527	-0.5456	-0.0577	-1.0106	-1.1564	-2.2952	0.9865	-0.5529	0.0294	0.0031	-0.0034	-0.0078	0.3338	-0.0073	0	0	0	0	0	0	0	0	0	0	0	0	36.7726	38.0388	5353.1519	0.9442	0	-0.7372	-3.0249	-28.8336	0.2108	-0.0247	-0.0349
-0.8474	-2.7754	-27.8806	0.1906	-0.0434	-0.0319	-0.0808	-1.0108	-1.1516	-2.294	0.6713	-0.553	-0.052	-1.0079	-1.1573	-2.2942	0.9997	-0.5588	0.0288	0.0028	-0.0056	-0.0002	0.3285	-0.0058	0	0	0	0	0	0	0	0	0	0	0	0	36.7718	38.0381	5353.1943	0.9449	0	-0.8474	-2.7754	-27.8806	0.1906	-0.0434	-0.0319
-0.6221	-2.9837	-29.234	0.1949	0.0059	-0.0328	-0.0659	-1.004	-1.1557	-2.2873	0.6857	-0.5658	-0.0464	-1.0053	-1.1582	-2.2932	1.0129	-0.5647	0.0195	-0.0013	-0.0024	-0.0059	0.3272	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	36.7733	38.0385	5353.2193	0.9456	0	-0.6221	-2.9837	-29.234	0.1949	0.0059	-0.0328
-0.5594	-2.9772	-28.6236	0.1907	0.0252	-0.0422	-0.0664	-1.0038	-1.1533	-2.3044	0.7021	-0.5733	-0.0408	-1.0027	-1.159	-2.2922	1.0258	-0.5705	0.0256	0.0011	-0.0057	0.0122	0.3237	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	36.7729	38.0381	5353.259	0.9462	0	-0.5594	-2.9772	-28.6236	0.1907	0.0252	-0.0422
-0.6944	-2.9121	-29.1069	0.1859	0.0061	-0.0365	-0.0643	-1.0041	-1.1531	-2.3152	0.7202	-0.5717	-0.0353	-1.0002	-1.1598	-2.2912	1.0386	-0.5763	0.029	0.0039	-0.0067	0.024	0.3184	-0.0046	0	0	0	0	0	0	0	0	0	0	0	0	36.7726	38.0369	5353.2331	0.9469	0	-0.6944	-2.9121	-29.1069	0.1859	0.0061	-0.0365
-0.7375	-2.8598	-28.5619	0.198	-0.0201	-0.0339	-0.0635	-1.0085	-1.1565	-2.2966	0.7323	-0.5795	-0.0299	-0.9976	-1.1607	-2.2903	1.0512	-0.582	0.0337	0.0109	-0.0041	0.0064	0.3189	-0.0025	0	0	0	0	0	0	0	0	0	0	0	0	36.7708	38.0364	5353.2251	0.9475	0	-0.7375	-2.8598	-28.5619	0.198	-0.0201	-0.0339
-0.588	-2.8895	-30.5211	0.2332	0.0044	-0.0319	-0.0484	-1.002	-1.1615	-2.2947	0.7466	-0.583	-0.0245	-0.9951	-1.1614	-2.2893	1.0637	-0.5877	0.0239	0.0069	0.0001	0.0054	0.3171	-0.0047	0	0	0	0	0	0	0	0	0	0	0	0	36.77	38.0367	5353.2251	0.9482	0	-0.588	-2.8895	-30.5211	0.2332	0.0044	-0.0319
-0.73	-2.6317	-29.4859	0.1987	-0.0224	-0.032	-0.041	-0.9968	-1.1591	-2.2787	0.7588	-0.5904	-0.0192	-0.9927	-1.1622	-2.2884	1.0759	-0.5933	0.0218	0.0042	-0.0031	-0.0097	0.3171	-0.0029	0	0	0	0	0	0	0	0	0	0	0	0	36.7709	38.0368	5353.3286	0.9489	0	-0.73	-2.6317	-29.4859	0.1987	-0.0224	-0.032
-0.4312	-2.7583	-30.0815	0.2033	0.0426	-0.0442	-0.0394	-0.9848	-1.1578	-2.2787	0.7776	-0.5933	-0.0139	-0.9902	-1.163	-2.2875	1.0881	-0.5989	0.0255	-0.0054	-0.0052	-0.0088	0.3105	-0.0055	0	0	0	0	0	0	0	0	0	0	0	0	36.7694	38.0371	5353.3184	0.9495	0	-0.4312	-2.7583	-30.0815	0.2033	0.0426	-0.0442
-0.7573	-2.7942	-29.1763	0.2074	-0.0076	-0.0309	-0.0318	-0.9876	-1.1566	-2.2778	0.7896	-0.6005	-0.0087	-0.9878	-1.1637	-2.2866	1.1001	-0.6044	0.0231	-0.0002	-0.0071	-0.0088	0.3104	-0.0039	0	0	0	0	0	0	0	0	0	0	0	0	36.7697	38.0364	5353.305	0.9502	0	-0.7573	-2.7942	-29.1763	0.2074	-0.0076	-0.0309
