Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-2.763	-2.526	-217.7361	-0.0194	0.1019	-0.0012	0.7238	-0.5047	-2.6514	-6.1492	-1.3819	-0.2626	0.7099	-0.4987	-2.6524	-6.128	-1.5761	-0.1923	-0.0139	0.006	-0.001	0.0212	-0.1942	0.0703	0	0	0	0	0	0	0	0	0	0	0	0	36.7128	37.8576	5364.2995	0.0262	0	-2.763	-2.526	-217.7361	-0.0194	0.1019	-0.0012
-2.5992	-2.5388	-218.729	-0.0082	0.1299	0.0027	0.7252	-0.5037	-2.6519	-6.1468	-1.3845	-0.2306	0.7125	-0.4991	-2.6524	-6.1295	-1.5768	-0.1546	-0.0127	0.0046	-0.0005	0.0173	-0.1922	0.076	0	0	0	0	0	0	0	0	0	0	0	0	36.7139	37.8582	5364.2896	0.0268	0	-2.5992	-2.5388	-218.729	-0.0082	0.1299	0.0027
-2.4593	-2.3695	-219.0345	0.0116	0.1427	0.0096	0.7302	-0.5015	-2.6544	-6.1431	-1.3887	-0.1848	0.7151	-0.4994	-2.6524	-6.131	-1.5774	-0.1166	-0.0151	0.0021	0.0019	0.0121	-0.1886	0.0682	0	0	0	0	0	0	0	0	0	0	0	0	36.7145	37.8591	5364.2987	0.0275	0	-2.4593	-2.3695	-219.0345	0.0116	0.1427	0.0096
-2.7182	-2.4501	-218.9209	0.0273	0.0978	0.0266	0.7353	-0.5017	-2.6548	-6.136	-1.3834	-0.1453	0.7177	-0.4998	-2.6524	-6.1325	-1.5779	-0.0782	-0.0176	0.0019	0.0023	0.0035	-0.1945	0.0671	0	0	0	0	0	0	0	0	0	0	0	0	36.7143	37.8592	5364.2583	0.0282	0	-2.7182	-2.4501	-218.9209	0.0273	0.0978	0.0266
-2.9043	-2.2502	-218.8782	-0.0111	0.0764	0.0516	0.7393	-0.5058	-2.6554	-6.1443	-1.3824	-0.1003	0.7204	-0.5002	-2.6524	-6.134	-1.5785	-0.0396	-0.0189	0.0056	0.0029	0.0103	-0.1961	0.0606	0	0	0	0	0	0	0	0	0	0	0	0	36.7127	37.8601	5364.2247	0.0288	0	-2.9043	-2.2502	-218.8782	-0.0111	0.0764	0.0516
-2.894	-2.7034	-218.5398	-0.0037	0.1436	0.0515	0.7297	-0.5091	-2.6494	-6.1399	-1.3884	-0.0711	0.7231	-0.5007	-2.6524	-6.1354	-1.579	-0.0008	-0.0066	0.0084	-0.003	0.0045	-0.1906	0.0703	0	0	0	0	0	0	0	0	0	0	0	0	36.7112	37.8592	5364.2556	0.0295	0	-2.894	-2.7034	-218.5398	-0.0037	0.1436	0.0515
-2.8665	-2.5859	-217.0707	-0.032	0.1182	0.0631	0.7392	-0.5127	-2.6542	-6.1312	-1.3896	-0.0305	0.7258	-0.5011	-2.6524	-6.1368	-1.5795	0.0384	-0.0135	0.0116	0.0018	-0.0056	-0.1899	0.0689	0	0	0	0	0	0	0	0	0	0	0	0	36.7117	37.8592	5364.298	0.0301	0	-2.8665	-2.5859	-217.0707	-0.032	0.1182	0.0631
-2.7139	-2.4067	-217.9605	0.0043	0.1096	0.0795	0.7438	-0.5058	-2.6552	-6.1394	-1.3809	0.0098	0.7285	-0.5016	-2.6523	-6.1383	-1.5799	0.0777	-0.0153	0.0043	0.0029	0.0011	-0.1991	0.068	0	0	0	0	0	0	0	0	0	0	0	0	36.7117	37.8596	5364.2965	0.0308	0	-2.7139	-2.4067	-217.9605	0.0043	0.1096	0.0795
-2.807	-2.1069	-218.2635	-0.0176	0.0903	0.0975	0.7461	-0.5028	-2.655	-6.1487	-1.3855	0.0535	0.7312	-0.502	-2.6523	-6.1397	-1.5804	0.1173	-0.0149	0.0008	0.0027	0.0091	-0.1949	0.0638	0	0	0	0	0	0	0	0	0	0	0	0	36.7122	37.8587	5364.2159	0.0315	0	-2.807	-2.1069	-218.2635	-0.0176	0.0903	0.0975
-2.9512	-2.0757	-217.9797	-0.0078	0.0943	0.1035	0.7542	-0.4995	-2.655	-6.1575	-1.3806	0.0885	0.734	-0.5025	-2.6522	-6.141	-1.5807	0.1572	-0.0202	-0.003	0.0028	0.0165	-0.2001	0.0688	0	0	0	0	0	0	0	0	0	0	0	0	36.7129	37.8579	5364.0894	0.0321	0	-2.9512	-2.0757	-217.9797	-0.0078	0.0943	0.1035
-2.921	-2.6345	-218.2201	-0.0317	0.1597	0.1049	0.7459	-0.5053	-2.6522	-6.1468	-1.386	0.1261	0.7368	-0.503	-2.6521	-6.1424	-1.5811	0.1973	-0.0091	0.0023	0.0001	0.0044	-0.1951	0.0712	0	0	0	0	0	0	0	0	0	0	0	0	36.7138	37.8572	5364.1979	0.0328	0	-2.921	-2.6345	-218.2201	-0.0317	0.1597	0.1049
-3.1754	-3.0591	-217.827	-0.0101	0.1033	0.1284	0.7463	-0.5142	-2.6564	-6.1524	-1.3876	0.1666	0.7396	-0.5035	-2.652	-6.1437	-1.5814	0.2377	-0.0067	0.0107	0.0044	0.0086	-0.1938	0.071	0	0	0	0	0	0	0	0	0	0	0	0	36.7135	37.8579	5364.1474	0.0334	0	-3.1754	-3.0591	-217.827	-0.0101	0.1033	0.1284
-2.7116	-2.7096	-218.0245	-0.0171	0.1264	0.1283	0.7527	-0.5131	-2.6574	-6.1489	-1.3849	0.2075	0.7425	-0.504	-2.6519	-6.1451	-1.5817	0.2783	-0.0103	0.0091	0.0055	0.0038	-0.1968	0.0708	0	0	0	0	0	0	0	0	0	0	0	0	36.7139	37.857	5364.0643	0.0341	0	-2.7116	-2.7096	-218.0245	-0.0171	0.1264	0.1283
-2.8313	-2.1773	-218.3249	-0.0067	0.0669	0.1621	0.7629	-0.5074	-2.6557	-6.1555	-1.386	0.2571	0.7453	-0.5045	-2.6517	-6.1464	-1.582	0.3191	-0.0176	0.0029	0.0039	0.0091	-0.196	0.062	0	0	0	0	0	0	0	0	0	0	0	0	36.7151	37.8575	5363.9881	0.0348	0	-2.8313	-2.1773	-218.3249	-0.0067	0.0669	0.1621
-2.8161	-1.8546	-218.9471	-0.0231	0.109	0.1539	0.7644	-0.5016	-2.6539	-6.1549	-1.3878	0.2989	0.7482	-0.5051	-2.6516	-6.1476	-1.5822	0.36	-0.0162	-0.0034	0.0023	0.0072	-0.1944	0.0611	0	0	0	0	0	0	0	0	0	0	0	0	36.7162	37.8574	5364.0399	0.0354	0	-2.8161	-1.8546	-218.9471	-0.0231	0.109	0.1539
-3.2809	-2.6515	-217.5392	-0.0322	0.1139	0.1787	0.7561	-0.5089	-2.655	-6.1736	-1.3863	0.3216	0.7511	-0.5056	-2.6514	-6.1489	-1.5824	0.4013	-0.0049	0.0033	0.0035	0.0247	-0.1961	0.0797	0	0	0	0	0	0	0	0	0	0	0	0	36.7152	37.8569	5364.0929	0.0361	0	-3.2809	-2.6515	-217.5392	-0.0322	0.1139	0.1787
-2.63	-2.6155	-218.0412	-0.0389	0.0831	0.1923	0.7705	-0.5125	-2.6575	-6.1619	-1.3897	0.3613	0.754	-0.5062	-2.6512	-6.1501	-1.5826	0.4427	-0.0164	0.0064	0.0063	0.0118	-0.1929	0.0814	0	0	0	0	0	0	0	0	0	0	0	0	36.7157	37.8569	5363.9715	0.0367	0	-2.63	-2.6155	-218.0412	-0.0389	0.0831	0.1923
-2.9489	-2.4691	-218.07	-0.0052	0.0913	0.1953	0.7773	-0.5097	-2.6539	-6.1633	-1.3885	0.4235	0.757	-0.5067	-2.651	-6.1513	-1.5827	0.4843	-0.0203	0.0029	0.0029	0.012	-0.1943	0.0608	0	0	0	0	0	0	0	0	0	0	0	0	36.7148	37.8568	5363.9107	0.0374	0	-2.9489	-2.4691	-218.07	-0.0052	0.0913	0.1953
-3.5479	-2.1056	-218.8961	0.0166	0.1012	0.2086	0.7678	-0.5058	-2.654	-6.1633	-1.3856	0.4608	0.7599	-0.5073	-2.6508	-6.1525	-1.5828	0.5261	-0.0078	-0.0015	0.0032	0.0108	-0.1972	0.0653	0	0	0	0	0	0	0	0	0	0	0	0	36.7144	37.8585	5363.9521	0.0381	0	-3.5479	-2.1056	-218.8961	0.0166	0.1012	0.2086
-2.9874	-2.7699	-218.1934	-0.0192	0.1152	0.2325	0.7682	-0.514	-2.6515	-6.1537	-1.391	0.4877	0.7629	-0.5079	-2.6505	-6.1537	-1.5829	0.5681	-0.0053	0.0061	0.001	0	-0.1919	0.0803	0	0	0	0	0	0	0	0	0	0	0	0	36.7148	37.8594	5363.9764	0.0387	0	-2.9874	-2.7699	-218.1934	-0.0192	0.1152	0.2325
-2.8288	-2.7946	-217.8431	-0.0058	0.1005	0.2573	0.7848	-0.5189	-2.6553	-6.1566	-1.3875	0.5387	0.7659	-0.5085	-2.6503	-6.1549	-1.583	0.6102	-0.0189	0.0104	0.005	0.0018	-0.1954	0.0715	0	0	0	0	0	0	0	0	0	0	0	0	36.7138	37.8601	5363.8976	0.0394	0	-2.8288	-2.7946	-217.8431	-0.0058	0.1005	0.2573
-3.6339	-2.1665	-218.4717	0.0101	0.0312	0.2672	0.7781	-0.5144	-2.6531	-6.1704	-1.3886	0.5893	0.7689	-0.5091	-2.65	-6.156	-1.583	0.6525	-0.0092	0.0053	0.0031	0.0144	-0.1943	0.0632	0	0	0	0	0	0	0	0	0	0	0	0	36.7141	37.8608	5363.9233	0.04	0	-3.6339	-2.1665	-218.4717	0.0101	0.0312	0.2672
-3.2198	-1.835	-219.5273	0.009	0.0778	0.2669	0.7781	-0.5109	-2.6515	-6.1612	-1.3894	0.6303	0.772	-0.5097	-2.6497	-6.1571	-1.5829	0.6949	-0.0062	0.0012	0.0018	0.0041	-0.1935	0.0646	0	0	0	0	0	0	0	0	0	0	0	0	36.7147	37.8606	5363.8636	0.0407	0	-3.2198	-1.835	-219.5273	0.009	0.0778	0.2669
-2.8129	-2.3491	-219.1509	-0.01	0.1221	0.2791	0.7871	-0.5144	-2.6531	-6.168	-1.3875	0.6548	0.775	-0.5103	-2.6494	-6.1582	-1.5829	0.7375	-0.0121	0.0042	0.0037	0.0099	-0.1953	0.0827	0	0	0	0	0	0	0	0	0	0	0	0	36.7149	37.8606	5363.998	0.0414	0	-2.8129	-2.3491	-219.1509	-0.01	0.1221	0.2791
-2.7098	-2.7002	-218.8258	0.0019	0.1234	0.2884	0.7875	-0.518	-2.651	-6.1712	-1.3898	0.7053	0.7781	-0.5109	-2.6491	-6.1592	-1.5828	0.7803	-0.0094	0.0071	0.0019	0.012	-0.193	0.0749	0	0	0	0	0	0	0	0	0	0	0	0	36.7149	37.8602	5363.9134	0.042	0	-2.7098	-2.7002	-218.8258	0.0019	0.1234	0.2884
-3.1934	-2.3706	-219.7796	0.0133	0.0693	0.3024	0.7889	-0.5184	-2.6553	-6.175	-1.3883	0.7586	0.7811	-0.5115	-2.6487	-6.1602	-1.5826	0.8231	-0.0078	0.0068	0.0066	0.0147	-0.1944	0.0645	0	0	0	0	0	0	0	0	0	0	0	0	36.7144	37.86	5363.8237	0.0427	0	-3.1934	-2.3706	-219.7796	0.0133	0.0693	0.3024
-2.5984	-2.0774	-220.9041	0.0362	0.1448	0.3014	0.7933	-0.5152	-2.6521	-6.1734	-1.3902	0.8016	0.7842	-0.5122	-2.6484	-6.1612	-1.5825	0.8661	-0.0091	0.003	0.0037	0.0122	-0.1923	0.0645	0	0	0	0	0	0	0	0	0	0	0	0	36.7138	37.8596	5363.8575	0.0433	0	-2.5984	-2.0774	-220.9041	0.0362	0.1448	0.3014
