Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-2.2063	-11.5362	-94.4498	-0.2867	-0.0358	-0.0183	0.7383	-0.4949	-2.6524	-6.1371	-1.3843	0.092	0.734	-0.5025	-2.6522	-6.141	-1.5807	0.1572	-0.0043	-0.0076	0.0001	-0.004	-0.1965	0.0653	0	0	0	0	0	0	0	0	0	0	0	0	36.7776	37.8943	5362.3439	0.0321	0	-2.2063	-11.5362	-94.4498	-0.2867	-0.0358	-0.0183
-2.1986	-11.9396	-93.1264	-0.3081	-0.0744	0.0065	0.7496	-0.4988	-2.6579	-6.1407	-1.3794	0.1219	0.7368	-0.503	-2.6521	-6.1424	-1.5811	0.1973	-0.0128	-0.0042	0.0058	-0.0017	-0.2017	0.0755	0	0	0	0	0	0	0	0	0	0	0	0	36.7794	37.8946	5362.2812	0.0328	0	-2.1986	-11.9396	-93.1264	-0.3081	-0.0744	0.0065
-2.5093	-12.4237	-92.2622	-0.3556	-0.0661	0.0035	0.7485	-0.5088	-2.6534	-6.1539	-1.3818	0.1745	0.7396	-0.5035	-2.652	-6.1437	-1.5814	0.2377	-0.0089	0.0053	0.0014	0.0102	-0.1996	0.0632	0	0	0	0	0	0	0	0	0	0	0	0	36.78	37.8942	5362.2826	0.0334	0	-2.5093	-12.4237	-92.2622	-0.3556	-0.0661	0.0035
-2.543	-12.5661	-94.162	-0.2923	-0.0176	-0.0021	0.7439	-0.5092	-2.6545	-6.1525	-1.384	0.2204	0.7425	-0.504	-2.6519	-6.1451	-1.5817	0.2783	-0.0015	0.0052	0.0026	0.0075	-0.1977	0.0579	0	0	0	0	0	0	0	0	0	0	0	0	36.7793	37.8938	5362.1994	0.0341	0	-2.543	-12.5661	-94.162	-0.2923	-0.0176	-0.0021
-2.4534	-11.9863	-94.4178	-0.308	-0.0001	0.0069	0.7516	-0.5073	-2.6546	-6.1635	-1.3855	0.2554	0.7453	-0.5045	-2.6517	-6.1464	-1.582	0.3191	-0.0063	0.0028	0.0029	0.0171	-0.1964	0.0637	0	0	0	0	0	0	0	0	0	0	0	0	36.7784	37.8943	5362.1353	0.0348	0	-2.4534	-11.9863	-94.4178	-0.308	-0.0001	0.0069
-2.4117	-12.1062	-94.5704	-0.2845	-0.0216	0.0184	0.756	-0.5052	-2.6557	-6.1588	-1.3853	0.2917	0.7482	-0.5051	-2.6516	-6.1476	-1.5822	0.36	-0.0077	0.0002	0.0041	0.0112	-0.197	0.0683	0	0	0	0	0	0	0	0	0	0	0	0	36.7783	37.8948	5362.0426	0.0354	0	-2.4117	-12.1062	-94.5704	-0.2845	-0.0216	0.0184
-2.6246	-12.1186	-93.2908	-0.3	-0.0389	0.0233	0.766	-0.5061	-2.6543	-6.1546	-1.3879	0.3381	0.7511	-0.5056	-2.6514	-6.1489	-1.5824	0.4013	-0.0149	0.0005	0.0029	0.0057	-0.1945	0.0632	0	0	0	0	0	0	0	0	0	0	0	0	36.7777	37.8962	5362.0313	0.0361	0	-2.6246	-12.1186	-93.2908	-0.3	-0.0389	0.0233
-2.8416	-12.3211	-93.8348	-0.3026	-0.0033	0.0127	0.763	-0.5027	-2.6503	-6.1696	-1.3907	0.3795	0.754	-0.5062	-2.6512	-6.1501	-1.5826	0.4427	-0.0089	-0.0034	-0.0009	0.0194	-0.1919	0.0632	0	0	0	0	0	0	0	0	0	0	0	0	36.7788	37.8962	5362.017	0.0367	0	-2.8416	-12.3211	-93.8348	-0.3026	-0.0033	0.0127
-2.8106	-12.5791	-94.726	-0.2943	0.0107	0.0269	0.7605	-0.5084	-2.6529	-6.1483	-1.3906	0.4138	0.757	-0.5067	-2.651	-6.1513	-1.5827	0.4843	-0.0035	0.0017	0.0018	-0.0031	-0.1922	0.0704	0	0	0	0	0	0	0	0	0	0	0	0	36.7777	37.8951	5362.0344	0.0374	0	-2.8106	-12.5791	-94.726	-0.2943	0.0107	0.0269
-2.8511	-12.621	-94.3722	-0.2896	-0.0066	0.0437	0.7658	-0.5064	-2.6549	-6.1606	-1.392	0.4553	0.7599	-0.5073	-2.6508	-6.1525	-1.5828	0.5261	-0.0059	-0.0009	0.0041	0.0081	-0.1908	0.0708	0	0	0	0	0	0	0	0	0	0	0	0	36.7782	37.8962	5361.9353	0.0381	0	-2.8511	-12.621	-94.3722	-0.2896	-0.0066	0.0437
-2.8836	-12.3826	-94.2104	-0.3158	0.0131	0.0466	0.7681	-0.5052	-2.6529	-6.1573	-1.3901	0.5053	0.7629	-0.5079	-2.6505	-6.1537	-1.5829	0.5681	-0.0051	-0.0026	0.0023	0.0036	-0.1928	0.0628	0	0	0	0	0	0	0	0	0	0	0	0	36.7791	37.8967	5361.9048	0.0387	0	-2.8836	-12.3826	-94.2104	-0.3158	0.0131	0.0466
-2.956	-12.3613	-94.2652	-0.3084	0.0346	0.0407	0.7767	-0.505	-2.6549	-6.1666	-1.3925	0.5597	0.7659	-0.5085	-2.6503	-6.1549	-1.583	0.6102	-0.0108	-0.0035	0.0046	0.0117	-0.1905	0.0505	0	0	0	0	0	0	0	0	0	0	0	0	36.7783	37.895	5361.8923	0.0394	0	-2.956	-12.3613	-94.2652	-0.3084	0.0346	0.0407
-3.0738	-12.6286	-94.1609	-0.3151	0.019	0.0609	0.7726	-0.5108	-2.6541	-6.1554	-1.3951	0.5914	0.7689	-0.5091	-2.65	-6.156	-1.583	0.6525	-0.0037	0.0017	0.0041	-0.0006	-0.1879	0.0611	0	0	0	0	0	0	0	0	0	0	0	0	36.7786	37.8933	5361.7899	0.04	0	-3.0738	-12.6286	-94.1609	-0.3151	0.019	0.0609
-2.9512	-12.9776	-94.0016	-0.3132	0.0475	0.0702	0.782	-0.5199	-2.654	-6.1535	-1.3877	0.6213	0.772	-0.5097	-2.6497	-6.1571	-1.5829	0.6949	-0.01	0.0103	0.0043	-0.0036	-0.1953	0.0736	0	0	0	0	0	0	0	0	0	0	0	0	36.7783	37.8944	5361.8278	0.0407	0	-2.9512	-12.9776	-94.0016	-0.3132	0.0475	0.0702
-3.3923	-12.6535	-92.9789	-0.3234	-0.013	0.0872	0.781	-0.5163	-2.6559	-6.1703	-1.3889	0.6615	0.775	-0.5103	-2.6494	-6.1582	-1.5829	0.7375	-0.006	0.006	0.0065	0.0121	-0.1939	0.076	0	0	0	0	0	0	0	0	0	0	0	0	36.779	37.8955	5361.8943	0.0414	0	-3.3923	-12.6535	-92.9789	-0.3234	-0.013	0.0872
-3.5792	-12.4714	-92.5357	-0.3241	-0.0233	0.0989	0.785	-0.5078	-2.6487	-6.1753	-1.3893	0.7122	0.7781	-0.5109	-2.6491	-6.1592	-1.5828	0.7803	-0.0069	-0.0031	-0.0004	0.0161	-0.1935	0.068	0	0	0	0	0	0	0	0	0	0	0	0	36.7792	37.8957	5361.8795	0.042	0	-3.5792	-12.4714	-92.5357	-0.3241	-0.0233	0.0989
-3.2905	-12.8059	-93.8305	-0.2949	0.056	0.08	0.7899	-0.5076	-2.649	-6.177	-1.3939	0.7633	0.7811	-0.5115	-2.6487	-6.1602	-1.5826	0.8231	-0.0087	-0.0039	0.0003	0.0168	-0.1888	0.0598	0	0	0	0	0	0	0	0	0	0	0	0	36.7778	37.8956	5361.7748	0.0427	0	-3.2905	-12.8059	-93.8305	-0.2949	0.056	0.08
-3.4996	-13.1472	-93.6097	-0.3028	0.0538	0.107	0.7931	-0.5153	-2.6511	-6.1749	-1.3908	0.7976	0.7842	-0.5122	-2.6484	-6.1612	-1.5825	0.8661	-0.0088	0.0031	0.0028	0.0137	-0.1917	0.0685	0	0	0	0	0	0	0	0	0	0	0	0	36.7786	37.8942	5361.6743	0.0433	0	-3.4996	-13.1472	-93.6097	-0.3028	0.0538	0.107
-3.9171	-13.0471	-92.9203	-0.3426	0.0022	0.1115	0.7888	-0.5184	-2.6492	-6.1666	-1.3875	0.8354	0.7874	-0.5128	-2.648	-6.1622	-1.5823	0.9092	-0.0014	0.0055	0.0012	0.0044	-0.1948	0.0738	0	0	0	0	0	0	0	0	0	0	0	0	36.7788	37.8935	5361.7589	0.044	0	-3.9171	-13.0471	-92.9203	-0.3426	0.0022	0.1115
-3.8846	-12.9019	-92.9123	-0.3247	0.0149	0.1142	0.7978	-0.5153	-2.6452	-6.1708	-1.3925	0.888	0.7905	-0.5135	-2.6476	-6.1632	-1.5821	0.9524	-0.0073	0.0018	-0.0023	0.0077	-0.1896	0.0644	0	0	0	0	0	0	0	0	0	0	0	0	36.7785	37.8938	5361.8018	0.0447	0	-3.8846	-12.9019	-92.9123	-0.3247	0.0149	0.1142
-3.8491	-12.5858	-94.1483	-0.3071	0.0229	0.1205	0.8042	-0.508	-2.6451	-6.1682	-1.3954	0.9353	0.7936	-0.5141	-2.6471	-6.1641	-1.5818	0.9957	-0.0105	-0.0062	-0.0021	0.0041	-0.1863	0.0604	0	0	0	0	0	0	0	0	0	0	0	0	36.7786	37.8935	5361.8565	0.0453	0	-3.8491	-12.5858	-94.1483	-0.3071	0.0229	0.1205
-4.2004	-12.7705	-92.5029	-0.343	0.0019	0.1278	0.8035	-0.5152	-2.6471	-6.1749	-1.3889	0.9781	0.7968	-0.5148	-2.6467	-6.165	-1.5815	1.0392	-0.0067	0.0004	0.0004	0.0099	-0.1926	0.061	0	0	0	0	0	0	0	0	0	0	0	0	36.7788	37.8939	5361.7772	0.046	0	-4.2004	-12.7705	-92.5029	-0.343	0.0019	0.1278
-4.164	-13.115	-92.6118	-0.341	0.0374	0.1471	0.8018	-0.5168	-2.6444	-6.1773	-1.3909	1.0094	0.8	-0.5155	-2.6462	-6.1658	-1.5811	1.0827	-0.0018	0.0013	-0.0018	0.0115	-0.1902	0.0732	0	0	0	0	0	0	0	0	0	0	0	0	36.7776	37.8946	5361.8808	0.0466	0	-4.164	-13.115	-92.6118	-0.341	0.0374	0.1471
-3.8418	-13.2896	-94.0435	-0.3074	0.0831	0.1355	0.8074	-0.5127	-2.6453	-6.1661	-1.3931	1.0571	0.8032	-0.5161	-2.6457	-6.1667	-1.5808	1.1262	-0.0042	-0.0035	-0.0005	-0.0006	-0.1877	0.0691	0	0	0	0	0	0	0	0	0	0	0	0	36.7777	37.8943	5361.8632	0.0473	0	-3.8418	-13.2896	-94.0435	-0.3074	0.0831	0.1355
-4.0171	-13.0184	-93.9449	-0.3306	0.0472	0.1448	0.8137	-0.5151	-2.6457	-6.1706	-1.3934	1.1125	0.8064	-0.5168	-2.6452	-6.1675	-1.5804	1.1699	-0.0074	-0.0018	0.0005	0.0031	-0.1869	0.0574	0	0	0	0	0	0	0	0	0	0	0	0	36.7775	37.8936	5361.9008	0.048	0	-4.0171	-13.0184	-93.9449	-0.3306	0.0472	0.1448
-4.2118	-13.0536	-93.3578	-0.3387	0.0351	0.1549	0.8174	-0.5135	-2.6448	-6.1677	-1.3949	1.1534	0.8096	-0.5175	-2.6447	-6.1683	-1.5799	1.2136	-0.0078	-0.004	0.0001	-0.0005	-0.185	0.0602	0	0	0	0	0	0	0	0	0	0	0	0	36.7773	37.8948	5361.9137	0.0486	0	-4.2118	-13.0536	-93.3578	-0.3387	0.0351	0.1549
-4.2486	-13.8593	-92.2269	-0.3322	0.0697	0.162	0.8184	-0.5233	-2.6464	-6.1785	-1.3973	1.1868	0.8128	-0.5182	-2.6442	-6.169	-1.5794	1.2573	-0.0056	0.0052	0.0022	0.0094	-0.1822	0.0705	0	0	0	0	0	0	0	0	0	0	0	0	36.7773	37.896	5361.9098	0.0493	0	-4.2486	-13.8593	-92.2269	-0.3322	0.0697	0.162
-4.3938	-13.8974	-91.4695	-0.3867	0.037	0.1846	0.8239	-0.5253	-2.6412	-6.1756	-1.3917	1.2316	0.8161	-0.5189	-2.6436	-6.1698	-1.5789	1.3011	-0.0078	0.0064	-0.0024	0.0059	-0.1872	0.0695	0	0	0	0	0	0	0	0	0	0	0	0	36.777	37.8959	5361.9009	0.0499	0	-4.3938	-13.8974	-91.4695	-0.3867	0.037	0.1846
-4.5897	-13.4865	-92.0074	-0.3736	0.0376	0.1901	0.8233	-0.5201	-2.6403	-6.1871	-1.3889	1.2795	0.8193	-0.5196	-2.643	-6.1705	-1.5783	1.345	-0.004	0.0005	-0.0027	0.0167	-0.1894	0.0655	0	0	0	0	0	0	0	0	0	0	0	0	36.7776	37.8961	5361.9245	0.0506	0	-4.5897	-13.4865	-92.0074	-0.3736	0.0376	0.1901
-4.5069	-13.3554	-93.7312	-0.3342	0.0788	0.1866	0.8264	-0.5164	-2.638	-6.1767	-1.3912	1.3289	0.8226	-0.5203	-2.6424	-6.1711	-1.5777	1.3888	-0.0037	-0.0039	-0.0044	0.0055	-0.1866	0.06	0	0	0	0	0	0	0	0	0	0	0	0	36.7776	37.895	5361.916	0.0513	0	-4.5069	-13.3554	-93.7312	-0.3342	0.0788	0.1866
-4.6704	-13.7339	-93.3522	-0.3586	0.0875	0.1882	0.8288	-0.5212	-2.6413	-6.1803	-1.3931	1.3633	0.8259	-0.521	-2.6418	-6.1718	-1.5771	1.4327	-0.003	0.0002	-0.0005	0.0085	-0.184	0.0694	0	0	0	0	0	0	0	0	0	0	0	0	36.7783	37.895	5361.9762	0.0519	0	-4.6704	-13.7339	-93.3522	-0.3586	0.0875	0.1882
-4.8648	-13.8628	-92.7148	-0.3623	0.0597	0.2179	0.8324	-0.5261	-2.6433	-6.1871	-1.394	1.4062	0.8292	-0.5217	-2.6411	-6.1724	-1.5764	1.4767	-0.0032	0.0044	0.0022	0.0147	-0.1824	0.0704	0	0	0	0	0	0	0	0	0	0	0	0	36.7781	37.8945	5362.0347	0.0526	0	-4.8648	-13.8628	-92.7148	-0.3623	0.0597	0.2179
