Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.3746	-0.5781	-205.2031	-0.0301	-0.0154	0.0538	0.8457	-0.0789	-2.5786	-6.4776	-1.4055	0.7476	0.8571	-0.0854	-2.5727	-6.4737	-1.4007	0.7507	0.0114	-0.0065	0.006	0.004	0.0048	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	36.6905	37.8368	5362.0168	0.9813	0	-0.3746	-0.5781	-205.2031	-0.0301	-0.0154	0.0538
-0.3154	-0.5571	-206.5262	0.0298	-0.0038	0.0374	0.8479	-0.0841	-2.5775	-6.461	-1.4088	0.7453	0.8572	-0.0916	-2.5721	-6.4645	-1.4009	0.7496	0.0093	-0.0075	0.0054	-0.0034	0.0079	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	36.6894	37.8378	5361.9833	0.982	0	-0.3154	-0.5571	-206.5262	0.0298	-0.0038	0.0374
-0.3347	-0.1496	-206.3043	-0.0037	-0.0169	0.05	0.8519	-0.092	-2.5745	-6.4513	-1.4111	0.7538	0.8573	-0.0978	-2.5716	-6.4553	-1.4011	0.7484	0.0054	-0.0058	0.0029	-0.0039	0.0101	-0.0053	0	0	0	0	0	0	0	0	0	0	0	0	36.6892	37.8373	5361.8196	0.9826	0	-0.3347	-0.1496	-206.3043	-0.0037	-0.0169	0.05
-0.3426	-0.0127	-206.3855	-0.0089	0.0031	0.0452	0.85	-0.0924	-2.5753	-6.4228	-1.4122	0.7483	0.8574	-0.1039	-2.5711	-6.4461	-1.4012	0.7473	0.0074	-0.0115	0.0042	-0.0233	0.0109	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	36.6904	37.8375	5361.8493	0.9833	0	-0.3426	-0.0127	-206.3855	-0.0089	0.0031	0.0452
-0.4785	-0.0625	-205.1989	-0.002	-0.0389	0.0544	0.8499	-0.0938	-2.5771	-6.4321	-1.415	0.752	0.8575	-0.1101	-2.5705	-6.4369	-1.4014	0.7462	0.0076	-0.0163	0.0066	-0.0048	0.0136	-0.0058	0	0	0	0	0	0	0	0	0	0	0	0	36.691	37.837	5361.8913	0.9839	0	-0.4785	-0.0625	-205.1989	-0.002	-0.0389	0.0544
-0.3554	-0.5254	-205.0746	-0.0239	0.0084	0.0471	0.8502	-0.1038	-2.5755	-6.4308	-1.4102	0.7512	0.8576	-0.1163	-2.57	-6.4277	-1.4015	0.745	0.0074	-0.0125	0.0055	0.0032	0.0086	-0.0062	0	0	0	0	0	0	0	0	0	0	0	0	36.6911	37.8378	5361.9645	0.9846	0	-0.3554	-0.5254	-205.0746	-0.0239	0.0084	0.0471
-0.4091	-0.7442	-204.6763	-0.036	-0.0099	0.0464	0.8505	-0.112	-2.5769	-6.4191	-1.4077	0.7451	0.8577	-0.1225	-2.5694	-6.4184	-1.4017	0.7439	0.0072	-0.0105	0.0075	0.0007	0.006	-0.0011	0	0	0	0	0	0	0	0	0	0	0	0	36.6916	37.8394	5362.041	0.9853	0	-0.4091	-0.7442	-204.6763	-0.036	-0.0099	0.0464
-0.4131	-0.9564	-204.2381	-0.0183	0.0099	0.047	0.8491	-0.124	-2.576	-6.4123	-1.4062	0.7466	0.8578	-0.1286	-2.5688	-6.4092	-1.4019	0.7428	0.0087	-0.0046	0.0072	0.0031	0.0044	-0.0038	0	0	0	0	0	0	0	0	0	0	0	0	36.6926	37.8387	5362.0729	0.9859	0	-0.4131	-0.9564	-204.2381	-0.0183	0.0099	0.047
-0.858	-0.5154	-203.8741	-0.0068	-0.043	0.0539	0.8485	-0.1313	-2.5741	-6.403	-1.4025	0.747	0.8579	-0.1348	-2.5682	-6.3999	-1.402	0.7417	0.0094	-0.0035	0.0059	0.003	0.0005	-0.0053	0	0	0	0	0	0	0	0	0	0	0	0	36.6922	37.8371	5362.0091	0.9866	0	-0.858	-0.5154	-203.8741	-0.0068	-0.043	0.0539
-0.6207	-0.2088	-204.6222	0.0033	-0.0184	0.0422	0.8482	-0.1378	-2.5724	-6.3925	-1.4075	0.7466	0.858	-0.141	-2.5676	-6.3907	-1.4021	0.7406	0.0098	-0.0032	0.0048	0.0019	0.0054	-0.006	0	0	0	0	0	0	0	0	0	0	0	0	36.6929	37.8373	5362.0008	0.9872	0	-0.6207	-0.2088	-204.6222	0.0033	-0.0184	0.0422
