Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 23, 2024 -- 13: 13: 10: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-4.4572	-5.7822	-104.7584	-0.0288	-0.2122	 0.0960	 0.8371	-0.2259	-2.5372	-6.2005	-1.5262	 0.7389	 0.8371	-0.2259	-2.5372	-6.2005	-1.5262	 0.7389	 0.0241	-0.0529	-0.0151	 0.0180	 0.1215	-0.0203	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7222	37.8657	5361.4038	 0.0006	 0.0000	-4.4572	-5.7822	-104.7584	-0.0288	-0.2122	 0.0960
-4.1663	-5.8865	-104.3109	-0.0386	-0.1595	 0.0907	 0.8373	-0.2330	-2.5380	-6.1889	-1.5202	 0.7406	 0.8413	-0.2401	-2.5409	-6.1883	-1.5004	 0.7359	 0.0240	-0.0459	-0.0144	 0.0065	 0.1155	-0.0220	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7200	37.8643	5361.4779	 0.0013	 0.0000	-4.1663	-5.8865	-104.3109	-0.0386	-0.1595	 0.0907
-4.3517	-5.8901	-104.3502	-0.0309	-0.1933	 0.0888	 0.8389	-0.2324	-2.5357	-6.1979	-1.5246	 0.7448	 0.8607	-0.2783	-2.5521	-6.1822	-1.4068	 0.7187	 0.0223	-0.0466	-0.0166	 0.0157	 0.1199	-0.0263	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7209	37.8635	5361.5761	 0.0020	 0.0000	-4.3517	-5.8901	-104.3502	-0.0309	-0.1933	 0.0888
-4.0865	-5.9524	-105.5954	-0.0151	-0.1592	 0.0772	 0.8334	-0.2316	-2.5367	-6.2086	-1.5203	 0.7380	 0.8612	-0.2793	-2.5523	-6.1818	-1.4047	 0.7184	 0.0278	-0.0477	-0.0156	 0.0268	 0.1155	-0.0196	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7199	37.8645	5361.5658	 0.0026	 0.0000	-4.0865	-5.9524	-105.5954	-0.0151	-0.1592	 0.0772
-4.1943	-5.9547	-104.7328	-0.0200	-0.1538	 0.0729	 0.8345	-0.2338	-2.5316	-6.1977	-1.5232	 0.7423	 0.8612	-0.2796	-2.5523	-6.1814	-1.4047	 0.7184	 0.0268	-0.0457	-0.0207	 0.0163	 0.1185	-0.0239	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7208	37.8654	5361.5782	 0.0033	 0.0000	-4.1943	-5.9547	-104.7328	-0.0200	-0.1538	 0.0729
-4.3717	-5.9256	-104.7887	 0.0081	-0.1969	 0.0827	 0.8405	-0.2292	-2.5350	-6.2033	-1.5242	 0.7402	 0.8612	-0.2799	-2.5522	-6.1808	-1.4047	 0.7184	 0.0207	-0.0508	-0.0172	 0.0225	 0.1194	-0.0218	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7200	37.8643	5361.5794	 0.0039	 0.0000	-4.3717	-5.9256	-104.7887	 0.0081	-0.1969	 0.0827
-4.2250	-5.8433	-104.4609	-0.0207	-0.1803	 0.0920	 0.8340	-0.2306	-2.5344	-6.2048	-1.5289	 0.7421	 0.8612	-0.2804	-2.5521	-6.1801	-1.4047	 0.7183	 0.0273	-0.0498	-0.0177	 0.0247	 0.1242	-0.0238	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7209	37.8638	5361.5939	 0.0046	 0.0000	-4.2250	-5.8433	-104.4609	-0.0207	-0.1803	 0.0920
-4.3564	-5.8511	-105.4362	-0.0047	-0.1891	 0.0905	 0.8328	-0.2313	-2.5329	-6.1990	-1.5271	 0.7425	 0.8613	-0.2809	-2.5521	-6.1793	-1.4048	 0.7182	 0.0285	-0.0496	-0.0192	 0.0197	 0.1224	-0.0242	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7207	37.8639	5361.5865	 0.0053	 0.0000	-4.3564	-5.8511	-105.4362	-0.0047	-0.1891	 0.0905
-4.3106	-5.8017	-104.8453	-0.0011	-0.1878	 0.0885	 0.8369	-0.2305	-2.5305	-6.1923	-1.5282	 0.7412	 0.8613	-0.2815	-2.5520	-6.1784	-1.4048	 0.7181	 0.0244	-0.0511	-0.0215	 0.0139	 0.1235	-0.0231	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7214	37.8641	5361.5184	 0.0059	 0.0000	-4.3106	-5.8017	-104.8453	-0.0011	-0.1878	 0.0885
