Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-2.0766	-10.8999	-92.3208	0.0319	0.3011	-0.0636	1.1004	-1.303	-2.3095	-4.7088	-0.4144	0.4243	1.0778	-1.2696	-2.3232	-4.6829	-1.0497	0.4698	-0.0226	0.0335	-0.0137	0.0259	-0.6353	0.0454	0	0	0	0	0	0	0	0	0	0	0	0	36.7374	37.8741	5362.277	0.4921	0	-2.0766	-10.8999	-92.3208	0.0319	0.3011	-0.0636
-2.2193	-10.2364	-92.3846	-0.002	0.2932	-0.0597	1.0984	-1.2697	-2.3214	-4.7435	-0.4245	0.4357	1.0728	-1.2458	-2.3299	-4.7223	-1.0586	0.4727	-0.0256	0.0239	-0.0086	0.0212	-0.634	0.037	0	0	0	0	0	0	0	0	0	0	0	0	36.738	37.8742	5362.4811	0.4928	0	-2.2193	-10.2364	-92.3846	-0.002	0.2932	-0.0597
-2.456	-11.2093	-91.1404	-0.0385	0.263	-0.0522	1.0861	-1.2533	-2.3246	-4.7889	-0.4421	0.4337	1.0679	-1.2222	-2.3365	-4.7612	-1.0673	0.4757	-0.0183	0.0311	-0.0119	0.0277	-0.6253	0.042	0	0	0	0	0	0	0	0	0	0	0	0	36.7374	37.8744	5362.3708	0.4935	0	-2.456	-11.2093	-91.1404	-0.0385	0.263	-0.0522
-2.4108	-11.2633	-89.9147	-0.0683	0.2552	-0.0503	1.0813	-1.2356	-2.3326	-4.83	-0.4599	0.4299	1.063	-1.1989	-2.343	-4.7997	-1.076	0.4787	-0.0183	0.0367	-0.0104	0.0303	-0.6162	0.0488	0	0	0	0	0	0	0	0	0	0	0	0	36.7376	37.8751	5362.2803	0.4941	0	-2.4108	-11.2633	-89.9147	-0.0683	0.2552	-0.0503
-2.5913	-10.8273	-89.6403	-0.1128	0.2078	-0.0422	1.075	-1.2051	-2.3396	-4.865	-0.4793	0.4326	1.0582	-1.1758	-2.3493	-4.8376	-1.0845	0.4817	-0.0169	0.0294	-0.0097	0.0274	-0.6052	0.0491	0	0	0	0	0	0	0	0	0	0	0	0	36.7386	37.8739	5362.2834	0.4948	0	-2.5913	-10.8273	-89.6403	-0.1128	0.2078	-0.0422
-2.2701	-11.2849	-89.9115	-0.088	0.2542	-0.0642	1.0754	-1.179	-2.3471	-4.915	-0.495	0.4441	1.0534	-1.153	-2.3555	-4.8749	-1.0929	0.4847	-0.022	0.0261	-0.0084	0.0401	-0.5979	0.0406	0	0	0	0	0	0	0	0	0	0	0	0	36.7378	37.8733	5362.2018	0.4954	0	-2.2701	-11.2849	-89.9115	-0.088	0.2542	-0.0642
-2.5464	-11.3421	-88.7533	-0.1422	0.2261	-0.0667	1.0704	-1.1625	-2.3494	-4.9569	-0.5091	0.4487	1.0488	-1.1303	-2.3616	-4.9119	-1.1011	0.4877	-0.0216	0.0322	-0.0122	0.045	-0.592	0.039	0	0	0	0	0	0	0	0	0	0	0	0	36.7373	37.871	5362.0594	0.4961	0	-2.5464	-11.3421	-88.7533	-0.1422	0.2261	-0.0667
-2.6396	-11.4376	-88.2578	-0.1551	0.2151	-0.0578	1.0592	-1.1458	-2.3535	-4.9982	-0.5223	0.4458	1.0442	-1.1079	-2.3675	-4.9483	-1.1092	0.4907	-0.015	0.0379	-0.014	0.0499	-0.5869	0.0449	0	0	0	0	0	0	0	0	0	0	0	0	36.7377	37.8715	5361.9965	0.4968	0	-2.6396	-11.4376	-88.2578	-0.1551	0.2151	-0.0578
-2.3432	-10.7802	-91.6971	-0.1029	0.2546	-0.0633	1.0599	-1.1152	-2.3662	-5.0242	-0.5385	0.4486	1.0396	-1.0858	-2.3733	-4.9841	-1.1172	0.4937	-0.0203	0.0294	-0.0071	0.04	-0.5787	0.0451	0	0	0	0	0	0	0	0	0	0	0	0	36.7387	37.8716	5362.0328	0.4974	0	-2.3432	-10.7802	-91.6971	-0.1029	0.2546	-0.0633
-2.4904	-10.7215	-89.5726	-0.1524	0.2164	-0.0583	1.0561	-1.0919	-2.3711	-5.0562	-0.5581	0.4532	1.0352	-1.0638	-2.379	-5.0196	-1.125	0.4967	-0.0209	0.028	-0.0079	0.0367	-0.5669	0.0435	0	0	0	0	0	0	0	0	0	0	0	0	36.7397	37.8721	5361.9847	0.4981	0	-2.4904	-10.7215	-89.5726	-0.1524	0.2164	-0.0583
-2.6267	-10.9671	-89.5643	-0.1585	0.2052	-0.0545	1.0497	-1.072	-2.3742	-5.1105	-0.5719	0.4586	1.0308	-1.0421	-2.3845	-5.0546	-1.1327	0.4997	-0.0189	0.0299	-0.0103	0.0559	-0.5608	0.0411	0	0	0	0	0	0	0	0	0	0	0	0	36.7404	37.8741	5361.9057	0.4987	0	-2.6267	-10.9671	-89.5643	-0.1585	0.2052	-0.0545
-2.637	-10.8203	-90.9553	-0.1259	0.2224	-0.0536	1.0402	-1.0483	-2.3808	-5.133	-0.5892	0.4581	1.0265	-1.0207	-2.3899	-5.0889	-1.1403	0.5027	-0.0137	0.0276	-0.0092	0.0441	-0.551	0.0445	0	0	0	0	0	0	0	0	0	0	0	0	36.7393	37.8739	5361.8935	0.4994	0	-2.637	-10.8203	-90.9553	-0.1259	0.2224	-0.0536
-2.4732	-10.7338	-91.5168	-0.1467	0.2475	-0.0665	1.0431	-1.0278	-2.3919	-5.1632	-0.6028	0.4638	1.0223	-0.9994	-2.3952	-5.123	-1.1477	0.5057	-0.0208	0.0283	-0.0033	0.0402	-0.5449	0.0418	0	0	0	0	0	0	0	0	0	0	0	0	36.7393	37.8728	5361.906	0.5001	0	-2.4732	-10.7338	-91.5168	-0.1467	0.2475	-0.0665
-2.5548	-11.0955	-89.1626	-0.1737	0.2285	-0.0688	1.0342	-1.0007	-2.3888	-5.2077	-0.6158	0.465	1.0181	-0.9784	-2.4004	-5.1566	-1.155	0.5087	-0.0161	0.0223	-0.0116	0.0511	-0.5392	0.0436	0	0	0	0	0	0	0	0	0	0	0	0	36.7379	37.8731	5361.8839	0.5007	0	-2.5548	-11.0955	-89.1626	-0.1737	0.2285	-0.0688
