Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 23, 2024 -- 13: 0: 19: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-6.3518	-0.6939	-211.8798	 0.1343	-0.3140	 0.0062	 0.4796	-0.3790	-2.5857	-6.1337	-1.9096	 0.5780	 0.4796	-0.3790	-2.5857	-6.1337	-1.9096	 0.5780	 0.0211	-0.0472	-0.0210	 0.0067	-0.0912	 0.0265	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7078	37.8480	5362.6489	 0.0006	 0.0000	-6.3518	-0.6939	-211.8798	 0.1343	-0.3140	 0.0062
-6.3871	-0.9170	-211.6044	 0.1274	-0.3317	 0.0131	 0.4813	-0.3852	-2.5813	-6.1369	-1.9073	 0.5819	 0.4813	-0.3852	-2.5813	-6.1369	-1.9073	 0.5819	 0.0194	-0.0410	-0.0254	 0.0099	-0.0934	 0.0225	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7071	37.8489	5362.6253	 0.0013	 0.0000	-6.3871	-0.9170	-211.6044	 0.1274	-0.3317	 0.0131
-6.3772	-0.9401	-210.9163	 0.1232	-0.3276	 0.0177	 0.4747	-0.3813	-2.5790	-6.1297	-1.9083	 0.5720	 0.5030	-0.4305	-2.6094	-6.1276	-2.0088	 0.6065	 0.0262	-0.0448	-0.0277	 0.0027	-0.0920	 0.0325	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7073	37.8502	5362.5590	 0.0020	 0.0000	-6.3772	-0.9401	-210.9163	 0.1232	-0.3276	 0.0177
-6.5500	-0.8552	-210.8364	 0.1068	-0.4034	 0.0231	 0.4740	-0.3837	-2.5784	-6.1373	-1.9125	 0.5819	 0.5013	-0.4265	-2.6070	-6.1270	-2.0007	 0.6046	 0.0271	-0.0425	-0.0283	 0.0103	-0.0874	 0.0226	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7073	37.8499	5362.5610	 0.0026	 0.0000	-6.5500	-0.8552	-210.8364	 0.1068	-0.4034	 0.0231
-6.3137	-0.9841	-211.6448	 0.1432	-0.3291	 0.0156	 0.4781	-0.3832	-2.5806	-6.1324	-1.9138	 0.5870	 0.5013	-0.4262	-2.6068	-6.1270	-1.9994	 0.6045	 0.0232	-0.0429	-0.0261	 0.0054	-0.0856	 0.0174	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7072	37.8498	5362.5454	 0.0033	 0.0000	-6.3137	-0.9841	-211.6448	 0.1432	-0.3291	 0.0156
-6.3958	-0.8267	-211.1310	 0.1051	-0.3610	 0.0282	 0.4796	-0.3818	-2.5821	-6.1371	-1.9142	 0.5861	 0.5016	-0.4261	-2.6067	-6.1270	-1.9987	 0.6045	 0.0221	-0.0443	-0.0246	 0.0101	-0.0844	 0.0183	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7072	37.8482	5362.4485	 0.0039	 0.0000	-6.3958	-0.8267	-211.1310	 0.1051	-0.3610	 0.0282
-6.2595	-1.0490	-210.7672	 0.1355	-0.3475	 0.0221	 0.4774	-0.3812	-2.5795	-6.1451	-1.9184	 0.5820	 0.5020	-0.4261	-2.6068	-6.1270	-1.9978	 0.6045	 0.0246	-0.0449	-0.0273	 0.0181	-0.0794	 0.0225	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7075	37.8470	5362.5594	 0.0046	 0.0000	-6.2595	-1.0490	-210.7672	 0.1355	-0.3475	 0.0221
-6.2653	-0.9246	-211.0234	 0.1164	-0.3517	 0.0161	 0.4777	-0.3840	-2.5811	-6.1526	-1.9148	 0.5814	 0.5024	-0.4261	-2.6068	-6.1270	-1.9968	 0.6045	 0.0247	-0.0421	-0.0256	 0.0256	-0.0820	 0.0231	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7075	37.8472	5362.6146	 0.0053	 0.0000	-6.2653	-0.9246	-211.0234	 0.1164	-0.3517	 0.0161
-6.1654	-0.9483	-210.8662	 0.1180	-0.3504	 0.0210	 0.4758	-0.3872	-2.5785	-6.1333	-1.9127	 0.5833	 0.5029	-0.4261	-2.6068	-6.1270	-1.9957	 0.6045	 0.0272	-0.0389	-0.0282	 0.0063	-0.0830	 0.0212	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7090	37.8481	5362.6027	 0.0059	 0.0000	-6.1654	-0.9483	-210.8662	 0.1180	-0.3504	 0.0210
