Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 23, 2024 -- 13: 15: 49: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-5.1114	-10.3659	-98.2500	-0.1515	-0.3519	-0.1037	 0.4732	-0.3780	-2.5950	-6.1359	-1.9046	 0.5742	 0.4732	-0.3780	-2.5950	-6.1359	-1.9046	 0.5742	 0.0275	-0.0482	-0.0117	 0.0089	-0.0962	 0.0302	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7454	37.8818	5360.5438	 0.0006	 0.0000	-5.1114	-10.3659	-98.2500	-0.1515	-0.3519	-0.1037
-5.4318	-10.2816	-97.0363	-0.1647	-0.4141	-0.0913	 0.4780	-0.3783	-2.5951	-6.1294	-1.9065	 0.5772	 0.4948	-0.4150	-2.6043	-6.1282	-1.9792	 0.5994	 0.0228	-0.0479	-0.0117	 0.0024	-0.0941	 0.0272	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7447	37.8800	5360.5083	 0.0013	 0.0000	-5.4318	-10.2816	-97.0363	-0.1647	-0.4141	-0.0913
-5.1994	-10.4294	-97.9126	-0.1638	-0.3872	-0.0979	 0.4783	-0.3797	-2.5950	-6.1366	-1.9072	 0.5783	 0.5004	-0.4251	-2.6065	-6.1270	-1.9984	 0.6039	 0.0226	-0.0465	-0.0118	 0.0096	-0.0932	 0.0261	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7455	37.8815	5360.5153	 0.0020	 0.0000	-5.1994	-10.4294	-97.9126	-0.1638	-0.3872	-0.0979
-5.2228	-10.3536	-97.0863	-0.1796	-0.3797	-0.0989	 0.4778	-0.3800	-2.5987	-6.1435	-1.9064	 0.5815	 0.5010	-0.4260	-2.6067	-6.1270	-1.9997	 0.6044	 0.0233	-0.0461	-0.0080	 0.0165	-0.0935	 0.0229	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7457	37.8812	5360.4504	 0.0026	 0.0000	-5.2228	-10.3536	-97.0863	-0.1796	-0.3797	-0.0989
-5.0454	-10.5533	-98.4360	-0.1390	-0.3295	-0.1114	 0.4786	-0.3836	-2.5967	-6.1355	-1.9109	 0.5821	 0.5013	-0.4261	-2.6067	-6.1270	-1.9993	 0.6044	 0.0227	-0.0425	-0.0100	 0.0085	-0.0885	 0.0223	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7454	37.8806	5360.4751	 0.0033	 0.0000	-5.0454	-10.5533	-98.4360	-0.1390	-0.3295	-0.1114
-5.3125	-10.2982	-97.7873	-0.1483	-0.4005	-0.0980	 0.4749	-0.3785	-2.5933	-6.1323	-1.9115	 0.5748	 0.5016	-0.4261	-2.6067	-6.1270	-1.9987	 0.6045	 0.0267	-0.0476	-0.0135	 0.0053	-0.0871	 0.0297	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7458	37.8825	5360.4353	 0.0039	 0.0000	-5.3125	-10.2982	-97.7873	-0.1483	-0.4005	-0.0980
-5.3106	-10.2487	-97.4316	-0.1660	-0.3699	-0.0966	 0.4732	-0.3789	-2.5960	-6.1343	-1.9076	 0.5751	 0.5020	-0.4261	-2.6068	-6.1270	-1.9978	 0.6045	 0.0288	-0.0472	-0.0108	 0.0073	-0.0902	 0.0294	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7452	37.8827	5360.2675	 0.0046	 0.0000	-5.3106	-10.2487	-97.4316	-0.1660	-0.3699	-0.0966
-5.2408	-10.4832	-97.5781	-0.1691	-0.3647	-0.1015	 0.4745	-0.3826	-2.5974	-6.1404	-1.9138	 0.5789	 0.5024	-0.4261	-2.6068	-6.1270	-1.9968	 0.6045	 0.0279	-0.0435	-0.0093	 0.0134	-0.0831	 0.0256	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7448	37.8827	5360.2206	 0.0053	 0.0000	-5.2408	-10.4832	-97.5781	-0.1691	-0.3647	-0.1015
-5.4061	-10.3997	-96.3236	-0.2060	-0.4346	-0.0875	 0.4774	-0.3768	-2.5971	-6.1345	-1.9137	 0.5854	 0.5029	-0.4261	-2.6068	-6.1270	-1.9957	 0.6045	 0.0255	-0.0493	-0.0097	 0.0075	-0.0820	 0.0191	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.7448	37.8814	5360.1970	 0.0059	 0.0000	-5.4061	-10.3997	-96.3236	-0.2060	-0.4346	-0.0875
