Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 29, 2024 -- 13: 11: 14: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
 4.0118	 0.0795	-222.7359	 0.2299	-0.3109	-0.6332	 1.3423	-1.1737	-1.2980	-1.2498	-0.5625	-1.1214	 1.3517	-1.1868	-1.3041	-1.2472	-0.4755	-1.1276	 0.0301	-0.0436	-0.0186	 0.0111	 0.2869	-0.0212	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3746	37.5959	5359.9703	 0.0006	 0.0000	 4.0118	 0.0795	-222.7359	 0.2299	-0.3109	-0.6332
 4.0531	 0.0555	-222.5292	 0.2199	-0.2643	-0.6352	 1.3400	-1.1740	-1.3030	-1.2533	-0.5615	-1.1196	 1.3715	-1.2162	-1.3161	-1.2392	-0.2835	-1.1418	 0.0324	-0.0434	-0.0136	 0.0146	 0.2859	-0.0228	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3754	37.5962	5359.9491	 0.0013	 0.0000	 4.0531	 0.0555	-222.5292	 0.2199	-0.2643	-0.6352
 3.7631	 0.2263	-221.9188	 0.1906	-0.3045	-0.6258	 1.3372	-1.1740	-1.3008	-1.2570	-0.5554	-1.1282	 1.3724	-1.2173	-1.3166	-1.2387	-0.2760	-1.1421	 0.0352	-0.0434	-0.0158	 0.0183	 0.2797	-0.0140	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3753	37.5972	5359.8412	 0.0020	 0.0000	 3.7631	 0.2263	-221.9188	 0.1906	-0.3045	-0.6258
 4.2729	-0.1282	-223.5156	 0.2450	-0.2009	-0.6446	 1.3431	-1.1793	-1.3004	-1.2639	-0.5541	-1.1233	 1.3724	-1.2174	-1.3166	-1.2387	-0.2756	-1.1418	 0.0294	-0.0381	-0.0162	 0.0252	 0.2785	-0.0185	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3762	37.5958	5359.9342	 0.0026	 0.0000	 4.2729	-0.1282	-223.5156	 0.2450	-0.2009	-0.6446
 3.7324	 0.2490	-222.4541	 0.2018	-0.2809	-0.6322	 1.3406	-1.1738	-1.2986	-1.2600	-0.5511	-1.1242	 1.3725	-1.2174	-1.3166	-1.2387	-0.2757	-1.1412	 0.0319	-0.0436	-0.0180	 0.0213	 0.2754	-0.0170	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3762	37.5968	5359.9972	 0.0033	 0.0000	 3.7324	 0.2490	-222.4541	 0.2018	-0.2809	-0.6322
 3.9738	 0.3703	-222.8336	 0.2122	-0.2226	-0.6349	 1.3386	-1.1779	-1.2999	-1.2490	-0.5484	-1.1290	 1.3725	-1.2174	-1.3166	-1.2387	-0.2757	-1.1406	 0.0339	-0.0395	-0.0167	 0.0103	 0.2727	-0.0116	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3753	37.5971	5360.1248	 0.0039	 0.0000	 3.9738	 0.3703	-222.8336	 0.2122	-0.2226	-0.6349
 3.6204	 0.4557	-223.3251	 0.2354	-0.2761	-0.6293	 1.3369	-1.1744	-1.2984	-1.2434	-0.5425	-1.1313	 1.3725	-1.2175	-1.3166	-1.2387	-0.2758	-1.1398	 0.0357	-0.0431	-0.0182	 0.0047	 0.2668	-0.0085	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3760	37.5975	5360.2140	 0.0046	 0.0000	 3.6204	 0.4557	-223.3251	 0.2354	-0.2761	-0.6293
 3.8492	 0.3507	-223.3147	 0.2326	-0.2235	-0.6371	 1.3362	-1.1751	-1.2989	-1.2612	-0.5410	-1.1268	 1.3726	-1.2175	-1.3166	-1.2387	-0.2758	-1.1389	 0.0364	-0.0424	-0.0177	 0.0225	 0.2651	-0.0120	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3759	37.5970	5360.1771	 0.0053	 0.0000	 3.8492	 0.3507	-223.3147	 0.2326	-0.2235	-0.6371
 3.9302	 0.4379	-223.6609	 0.2115	-0.2219	-0.6295	 1.3434	-1.1823	-1.3000	-1.2370	-0.5413	-1.1210	 1.3727	-1.2175	-1.3166	-1.2387	-0.2759	-1.1378	 0.0292	-0.0352	-0.0166	-0.0017	 0.2654	-0.0169	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3766	37.5974	5360.1522	 0.0059	 0.0000	 3.9302	 0.4379	-223.6609	 0.2115	-0.2219	-0.6295
 3.6576	 0.3692	-222.6023	 0.2351	-0.2492	-0.6259	 1.3431	-1.1821	-1.2974	-1.2456	-0.5396	-1.1195	 1.3727	-1.2176	-1.3165	-1.2387	-0.2760	-1.1366	 0.0297	-0.0354	-0.0191	 0.0069	 0.2636	-0.0171	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3770	37.5976	5360.1033	 0.0066	 0.0000	 3.6576	 0.3692	-222.6023	 0.2351	-0.2492	-0.6259
