Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 29, 2024 -- 13: 5: 56: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-6.4228	-3.4975	-192.5080	-0.2822	 0.2357	 0.2812	 1.3100	-1.0896	-1.2452	-1.4306	-0.3152	-0.5625	 1.3269	-1.1402	-1.2598	-1.4230	-0.4101	-0.5522	 0.0151	-0.0458	-0.0132	 0.0078	-0.0862	 0.0095	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3564	37.5810	5359.7650	 0.0006	 0.0000	-6.4228	-3.4975	-192.5080	-0.2822	 0.2357	 0.2812
-6.1787	-3.6031	-194.2976	-0.2554	 0.2653	 0.2625	 1.3114	-1.0900	-1.2455	-1.4220	-0.3180	-0.5650	 1.3252	-1.1357	-1.2585	-1.4227	-0.4019	-0.5529	 0.0137	-0.0454	-0.0130	-0.0006	-0.0834	 0.0121	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3561	37.5813	5359.7626	 0.0013	 0.0000	-6.1787	-3.6031	-194.2976	-0.2554	 0.2653	 0.2625
-6.5350	-3.3347	-193.1083	-0.2883	 0.2428	 0.2813	 1.3070	-1.0891	-1.2465	-1.4402	-0.3163	-0.5686	 1.3251	-1.1355	-1.2584	-1.4224	-0.4014	-0.5529	 0.0182	-0.0464	-0.0120	 0.0178	-0.0851	 0.0157	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3562	37.5807	5359.7933	 0.0020	 0.0000	-6.5350	-3.3347	-193.1083	-0.2883	 0.2428	 0.2813
-6.5386	-3.4526	-192.5672	-0.2820	 0.2303	 0.2785	 1.3076	-1.0834	-1.2484	-1.4531	-0.3162	-0.5707	 1.3251	-1.1356	-1.2584	-1.4221	-0.4013	-0.5529	 0.0176	-0.0522	-0.0100	 0.0310	-0.0851	 0.0177	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3559	37.5805	5359.7139	 0.0026	 0.0000	-6.5386	-3.4526	-192.5672	-0.2820	 0.2303	 0.2785
-6.5112	-3.5398	-192.2677	-0.3017	 0.2328	 0.2796	 1.3139	-1.0899	-1.2503	-1.4374	-0.3189	-0.5671	 1.3251	-1.1358	-1.2584	-1.4216	-0.4013	-0.5530	 0.0112	-0.0459	-0.0081	 0.0159	-0.0824	 0.0141	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3557	37.5789	5359.6658	 0.0033	 0.0000	-6.5112	-3.5398	-192.2677	-0.3017	 0.2328	 0.2796
-6.5504	-3.6509	-192.4314	-0.2836	 0.1979	 0.2867	 1.3070	-1.0933	-1.2504	-1.4400	-0.3179	-0.5682	 1.3251	-1.1361	-1.2583	-1.4210	-0.4013	-0.5530	 0.0181	-0.0427	-0.0079	 0.0190	-0.0834	 0.0152	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3545	37.5789	5359.6386	 0.0039	 0.0000	-6.5504	-3.6509	-192.4314	-0.2836	 0.1979	 0.2867
-6.6067	-3.5499	-192.3721	-0.3009	 0.2071	 0.2846	 1.3107	-1.0880	-1.2489	-1.4428	-0.3167	-0.5750	 1.3251	-1.1364	-1.2583	-1.4202	-0.4013	-0.5530	 0.0144	-0.0484	-0.0094	 0.0226	-0.0846	 0.0220	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3547	37.5782	5359.6143	 0.0046	 0.0000	-6.6067	-3.5499	-192.3721	-0.3009	 0.2071	 0.2846
-6.4917	-3.5669	-192.4779	-0.2802	 0.2181	 0.2825	 1.3152	-1.0933	-1.2473	-1.4272	-0.3195	-0.5704	 1.3251	-1.1367	-1.2582	-1.4194	-0.4012	-0.5530	 0.0099	-0.0434	-0.0109	 0.0079	-0.0817	 0.0174	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3554	37.5781	5359.6773	 0.0053	 0.0000	-6.4917	-3.5669	-192.4779	-0.2802	 0.2181	 0.2825
-6.5848	-3.6009	-192.4975	-0.2570	 0.1827	 0.2910	 1.3096	-1.0919	-1.2466	-1.4458	-0.3237	-0.5641	 1.3251	-1.1371	-1.2582	-1.4183	-0.4012	-0.5531	 0.0155	-0.0452	-0.0116	 0.0275	-0.0775	 0.0110	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.3559	37.5769	5359.7114	 0.0059	 0.0000	-6.5848	-3.6009	-192.4975	-0.2570	 0.1827	 0.2910
