Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-7.7381	-2.5078	-201.2179	0.0062	0.7107	0.0726	1.4131	-1.2814	-1.1657	-0.6672	0.0983	-0.5178	1.403	-1.2634	-1.1633	-0.6524	-0.2325	-0.5477	-0.0102	0.018	0.0024	0.0149	-0.3308	-0.0299	0	0	0	0	0	0	0	0	0	0	0	0	36.3679	37.5834	5360.5548	0.506	0	-7.7381	-2.5078	-201.2179	0.0062	0.7107	0.0726
-7.9685	-2.2609	-200.9687	-0.0327	0.6933	0.0847	1.4147	-1.2695	-1.1681	-0.6951	0.1003	-0.5232	1.4017	-1.2528	-1.1658	-0.6784	-0.2364	-0.5467	-0.013	0.0167	0.0023	0.0167	-0.3367	-0.0234	0	0	0	0	0	0	0	0	0	0	0	0	36.367	37.5841	5360.4631	0.5067	0	-7.9685	-2.2609	-200.9687	-0.0327	0.6933	0.0847
-7.3907	-2.5149	-201.2759	-0.0145	0.7516	0.0558	1.4165	-1.2564	-1.1669	-0.7258	0.099	-0.5135	1.4005	-1.2424	-1.1681	-0.7041	-0.2404	-0.5456	-0.016	0.014	-0.0013	0.0217	-0.3394	-0.0321	0	0	0	0	0	0	0	0	0	0	0	0	36.3672	37.5843	5360.5492	0.5073	0	-7.3907	-2.5149	-201.2759	-0.0145	0.7516	0.0558
-7.7739	-2.1891	-201.5822	-0.0264	0.7103	0.0768	1.4135	-1.2383	-1.1704	-0.7461	0.0982	-0.523	1.3993	-1.2321	-1.1705	-0.7296	-0.2443	-0.5446	-0.0141	0.0062	-0.0001	0.0165	-0.3425	-0.0216	0	0	0	0	0	0	0	0	0	0	0	0	36.3686	37.5838	5360.5147	0.508	0	-7.7739	-2.1891	-201.5822	-0.0264	0.7103	0.0768
-8.2611	-2.3784	-201.322	-0.0696	0.6899	0.0755	1.4109	-1.2362	-1.1748	-0.7776	0.102	-0.5192	1.3982	-1.2218	-1.1728	-0.7549	-0.2482	-0.5436	-0.0128	0.0144	0.002	0.0227	-0.3502	-0.0244	0	0	0	0	0	0	0	0	0	0	0	0	36.3674	37.5845	5360.4999	0.5086	0	-8.2611	-2.3784	-201.322	-0.0696	0.6899	0.0755
-8.348	-2.6819	-200.8376	-0.0763	0.6942	0.0823	1.4129	-1.2287	-1.1761	-0.8046	0.0954	-0.508	1.397	-1.2117	-1.175	-0.7797	-0.252	-0.5425	-0.0159	0.017	0.0011	0.0249	-0.3474	-0.0346	0	0	0	0	0	0	0	0	0	0	0	0	36.3669	37.5849	5360.4963	0.5093	0	-8.348	-2.6819	-200.8376	-0.0763	0.6942	0.0823
-8.422	-2.3051	-200.4889	-0.1124	0.7056	0.0826	1.4062	-1.2146	-1.1777	-0.8203	0.0992	-0.5178	1.3958	-1.2017	-1.1773	-0.8043	-0.2558	-0.5415	-0.0103	0.013	0.0004	0.016	-0.3551	-0.0238	0	0	0	0	0	0	0	0	0	0	0	0	36.3661	37.5849	5360.5712	0.51	0	-8.422	-2.3051	-200.4889	-0.1124	0.7056	0.0826
-8.6816	-2.2154	-200.6829	-0.1101	0.6732	0.0818	1.4069	-1.2007	-1.1775	-0.8368	0.094	-0.5118	1.3947	-1.1917	-1.1794	-0.8288	-0.2596	-0.5405	-0.0122	0.009	-0.0019	0.008	-0.3536	-0.0288	0	0	0	0	0	0	0	0	0	0	0	0	36.3657	37.5849	5360.6289	0.5106	0	-8.6816	-2.2154	-200.6829	-0.1101	0.6732	0.0818
-8.595	-1.9725	-202.9053	-0.1387	0.6689	0.0922	1.4122	-1.1872	-1.1821	-0.8675	0.0955	-0.5147	1.3936	-1.1819	-1.1815	-0.8528	-0.2634	-0.5395	-0.0187	0.0053	0.0005	0.0147	-0.3589	-0.0248	0	0	0	0	0	0	0	0	0	0	0	0	36.366	37.5852	5360.5512	0.5113	0	-8.595	-1.9725	-202.9053	-0.1387	0.6689	0.0922
-8.4757	-2.355	-201.9083	-0.1575	0.7039	0.0756	1.407	-1.1872	-1.1822	-0.8907	0.0906	-0.5143	1.3924	-1.1722	-1.1836	-0.8766	-0.2671	-0.5385	-0.0146	0.0151	-0.0014	0.0141	-0.3576	-0.0242	0	0	0	0	0	0	0	0	0	0	0	0	36.3662	37.586	5360.5715	0.5119	0	-8.4757	-2.355	-201.9083	-0.1575	0.7039	0.0756
-8.8182	-2.5023	-200.5445	-0.2135	0.7093	0.0836	1.4047	-1.1781	-1.185	-0.9027	0.0963	-0.5174	1.3913	-1.1625	-1.1857	-0.9003	-0.2707	-0.5375	-0.0134	0.0156	-0.0006	0.0024	-0.367	-0.0201	0	0	0	0	0	0	0	0	0	0	0	0	36.3641	37.5862	5360.6708	0.5126	0	-8.8182	-2.5023	-200.5445	-0.2135	0.7093	0.0836
-9.2274	-2.4051	-200.8429	-0.2079	0.6638	0.0894	1.3994	-1.1666	-1.1843	-0.9388	0.0928	-0.517	1.3902	-1.153	-1.1876	-0.9236	-0.2744	-0.5365	-0.0092	0.0136	-0.0033	0.0152	-0.3671	-0.0195	0	0	0	0	0	0	0	0	0	0	0	0	36.3634	37.5855	5360.6779	0.5133	0	-9.2274	-2.4051	-200.8429	-0.2079	0.6638	0.0894
-8.8447	-1.9663	-203.6592	-0.2263	0.6865	0.0847	1.4	-1.1495	-1.1909	-0.9714	0.0877	-0.5175	1.3892	-1.1435	-1.1896	-0.9466	-0.2779	-0.5355	-0.0109	0.006	0.0013	0.0248	-0.3656	-0.0181	0	0	0	0	0	0	0	0	0	0	0	0	36.3636	37.5858	5360.6199	0.5139	0	-8.8447	-1.9663	-203.6592	-0.2263	0.6865	0.0847
-8.444	-2.2082	-203.9908	-0.2401	0.7465	0.0804	1.4022	-1.1462	-1.1953	-0.995	0.0909	-0.5105	1.3881	-1.1341	-1.1915	-0.9695	-0.2815	-0.5346	-0.0141	0.0121	0.0038	0.0256	-0.3724	-0.024	0	0	0	0	0	0	0	0	0	0	0	0	36.3648	37.585	5360.6154	0.5146	0	-8.444	-2.2082	-203.9908	-0.2401	0.7465	0.0804
-8.7582	-2.5696	-203.2731	-0.235	0.7468	0.0753	1.4032	-1.1409	-1.1941	-1.0148	0.0943	-0.5051	1.3871	-1.1249	-1.1934	-0.992	-0.285	-0.5336	-0.0161	0.0161	0.0007	0.0228	-0.3792	-0.0285	0	0	0	0	0	0	0	0	0	0	0	0	36.3642	37.5847	5360.5752	0.5152	0	-8.7582	-2.5696	-203.2731	-0.235	0.7468	0.0753
-9.1952	-2.4913	-201.7218	-0.2547	0.7355	0.0745	1.3935	-1.1296	-1.198	-1.0384	0.0909	-0.5134	1.386	-1.1157	-1.1952	-1.0143	-0.2884	-0.5326	-0.0074	0.0139	0.0028	0.0241	-0.3793	-0.0192	0	0	0	0	0	0	0	0	0	0	0	0	36.3643	37.5852	5360.4915	0.5159	0	-9.1952	-2.4913	-201.7218	-0.2547	0.7355	0.0745
-9.2443	-2.3326	-202.3531	-0.3077	0.7541	0.0687	1.393	-1.1222	-1.1997	-1.0624	0.0916	-0.5145	1.385	-1.1066	-1.197	-1.0364	-0.2918	-0.5317	-0.008	0.0156	0.0027	0.026	-0.3834	-0.0171	0	0	0	0	0	0	0	0	0	0	0	0	36.3649	37.5854	5360.4058	0.5166	0	-9.2443	-2.3326	-202.3531	-0.3077	0.7541	0.0687
-9.1266	-2.289	-201.876	-0.3011	0.7473	0.0771	1.3967	-1.1081	-1.1975	-1.0735	0.0871	-0.5115	1.384	-1.0976	-1.1988	-1.0582	-0.2951	-0.5307	-0.0126	0.0105	-0.0012	0.0153	-0.3823	-0.0192	0	0	0	0	0	0	0	0	0	0	0	0	36.3653	37.5848	5360.4856	0.5172	0	-9.1266	-2.289	-201.876	-0.3011	0.7473	0.0771
-9.1676	-2	-202.0151	-0.3275	0.6863	0.0854	1.3958	-1.0952	-1.2033	-1.0929	0.088	-0.5124	1.3831	-1.0887	-1.2005	-1.0798	-0.2984	-0.5298	-0.0128	0.0065	0.0029	0.0131	-0.3864	-0.0173	0	0	0	0	0	0	0	0	0	0	0	0	36.3656	37.5842	5360.6246	0.5179	0	-9.1676	-2	-202.0151	-0.3275	0.6863	0.0854
-9.0518	-2.228	-201.2701	-0.3563	0.7141	0.0843	1.3945	-1.0862	-1.2037	-1.1042	0.085	-0.5151	1.3821	-1.0798	-1.2021	-1.1012	-0.3017	-0.5288	-0.0124	0.0064	0.0016	0.003	-0.3867	-0.0137	0	0	0	0	0	0	0	0	0	0	0	0	36.3654	37.5849	5360.6327	0.5185	0	-9.0518	-2.228	-201.2701	-0.3563	0.7141	0.0843
-9.2892	-2.8521	-199.5996	-0.4068	0.7259	0.0834	1.3954	-1.0838	-1.2078	-1.1325	0.0916	-0.5064	1.3812	-1.0711	-1.2038	-1.1223	-0.3049	-0.5279	-0.0142	0.0128	0.004	0.0101	-0.3965	-0.0215	0	0	0	0	0	0	0	0	0	0	0	0	36.3649	37.5847	5360.6865	0.5192	0	-9.2892	-2.8521	-199.5996	-0.4068	0.7259	0.0834
