Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.0768	0.6447	-216.2573	0.1916	-0.071	-0.041	1.2809	-1.211	-1.2829	-1.2444	-0.5713	-0.5753	1.2997	-1.2116	-1.2742	-1.23	-0.3666	-0.5898	0.0187	-0.0007	0.0087	0.0144	0.2047	-0.0145	0	0	0	0	0	0	0	0	0	0	0	0	36.374	37.593	5359.4842	0.0143	0	-0.0768	0.6447	-216.2573	0.1916	-0.071	-0.041
0.1345	0.1038	-217.0347	0.209	0.0102	-0.06	1.2805	-1.2067	-1.2816	-1.2415	-0.5597	-0.5755	1.3031	-1.2116	-1.274	-1.229	-0.3572	-0.5906	0.0226	-0.005	0.0076	0.0125	0.2026	-0.0151	0	0	0	0	0	0	0	0	0	0	0	0	36.3731	37.5934	5359.4728	0.015	0	0.1345	0.1038	-217.0347	0.209	0.0102	-0.06
0.0614	-0.0427	-215.666	0.1975	-0.0161	-0.0491	1.2876	-1.214	-1.2831	-1.2402	-0.5527	-0.5739	1.3065	-1.2116	-1.2738	-1.228	-0.3476	-0.5915	0.0189	0.0023	0.0093	0.0123	0.205	-0.0176	0	0	0	0	0	0	0	0	0	0	0	0	36.3728	37.5929	5359.5149	0.0156	0	0.0614	-0.0427	-215.666	0.1975	-0.0161	-0.0491
0.5087	0.0757	-216.348	0.1835	0.0376	-0.052	1.2877	-1.2161	-1.2806	-1.2524	-0.5428	-0.5746	1.3099	-1.2117	-1.2735	-1.2269	-0.338	-0.5923	0.0222	0.0044	0.0071	0.0255	0.2048	-0.0177	0	0	0	0	0	0	0	0	0	0	0	0	36.3733	37.5936	5359.4387	0.0163	0	0.5087	0.0757	-216.348	0.1835	0.0376	-0.052
0.0944	0.2397	-215.8443	0.2032	-0.0027	-0.0478	1.2931	-1.2118	-1.2796	-1.2484	-0.5317	-0.578	1.3134	-1.2117	-1.2733	-1.2258	-0.3284	-0.5932	0.0203	0.0002	0.0063	0.0226	0.2033	-0.0152	0	0	0	0	0	0	0	0	0	0	0	0	36.374	37.5932	5359.4304	0.0169	0	0.0944	0.2397	-215.8443	0.2032	-0.0027	-0.0478
0.3078	0.4843	-216.1159	0.2157	0.0176	-0.0491	1.3021	-1.2092	-1.2834	-1.2309	-0.5194	-0.5819	1.3169	-1.2117	-1.2731	-1.2247	-0.3186	-0.594	0.0148	-0.0025	0.0103	0.0062	0.2008	-0.0121	0	0	0	0	0	0	0	0	0	0	0	0	36.3736	37.5934	5359.4494	0.0176	0	0.3078	0.4843	-216.1159	0.2157	0.0176	-0.0491
0.6409	0.364	-216.4311	0.1961	0.0784	-0.0666	1.3069	-1.2055	-1.281	-1.2302	-0.5072	-0.5851	1.3205	-1.2117	-1.2729	-1.2236	-0.3087	-0.5949	0.0136	-0.0063	0.0082	0.0067	0.1985	-0.0098	0	0	0	0	0	0	0	0	0	0	0	0	36.3733	37.5923	5359.3428	0.0183	0	0.6409	0.364	-216.4311	0.1961	0.0784	-0.0666
0.2138	0.3617	-215.8066	0.1796	0.0482	-0.0385	1.3117	-1.2079	-1.2793	-1.2232	-0.5016	-0.5743	1.3241	-1.2118	-1.2726	-1.2224	-0.2988	-0.5958	0.0123	-0.0038	0.0067	0.0008	0.2028	-0.0215	0	0	0	0	0	0	0	0	0	0	0	0	36.3739	37.591	5359.204	0.0189	0	0.2138	0.3617	-215.8066	0.1796	0.0482	-0.0385
0.1663	-0.1629	-216.3645	0.2186	0.098	-0.0574	1.3094	-1.2094	-1.2795	-1.2243	-0.4878	-0.5815	1.3277	-1.2118	-1.2724	-1.2212	-0.2888	-0.5966	0.0183	-0.0025	0.0072	0.0031	0.1991	-0.0151	0	0	0	0	0	0	0	0	0	0	0	0	36.3733	37.5905	5359.1273	0.0196	0	0.1663	-0.1629	-216.3645	0.2186	0.098	-0.0574
0.1135	-0.0692	-216.0826	0.1801	0.1267	-0.0649	1.3112	-1.2097	-1.2805	-1.2252	-0.4738	-0.5845	1.3313	-1.2119	-1.2722	-1.22	-0.2787	-0.5975	0.0201	-0.0022	0.0084	0.0052	0.1951	-0.013	0	0	0	0	0	0	0	0	0	0	0	0	36.3728	37.5909	5359.1315	0.0202	0	0.1135	-0.0692	-216.0826	0.1801	0.1267	-0.0649
-0.1302	-0.2378	-215.3711	0.1801	0.123	-0.0526	1.3153	-1.2143	-1.2804	-1.2497	-0.4629	-0.5801	1.335	-1.2119	-1.2719	-1.2188	-0.2685	-0.5984	0.0197	0.0024	0.0085	0.0309	0.1944	-0.0183	0	0	0	0	0	0	0	0	0	0	0	0	36.3731	37.5905	5359.237	0.0209	0	-0.1302	-0.2378	-215.3711	0.1801	0.123	-0.0526
-0.1386	0.028	-215.2761	0.1662	0.1255	-0.0474	1.3231	-1.2158	-1.2784	-1.2376	-0.4559	-0.5827	1.3387	-1.212	-1.2717	-1.2175	-0.2582	-0.5993	0.0156	0.0038	0.0067	0.0201	0.1977	-0.0166	0	0	0	0	0	0	0	0	0	0	0	0	36.3738	37.5917	5359.2494	0.0216	0	-0.1386	0.028	-215.2761	0.1662	0.1255	-0.0474
-0.0499	0.1525	-215.2104	0.1952	0.1121	-0.0429	1.3241	-1.2091	-1.2782	-1.2383	-0.4468	-0.5852	1.3425	-1.2121	-1.2714	-1.2163	-0.2479	-0.6002	0.0183	-0.003	0.0068	0.022	0.199	-0.015	0	0	0	0	0	0	0	0	0	0	0	0	36.3737	37.593	5359.2541	0.0222	0	-0.0499	0.1525	-215.2104	0.1952	0.1121	-0.0429
0.2166	-0.046	-216.0398	0.2185	0.1676	-0.0636	1.327	-1.2074	-1.2774	-1.2444	-0.436	-0.5902	1.3463	-1.2122	-1.2711	-1.215	-0.2375	-0.6011	0.0193	-0.0047	0.0063	0.0294	0.1985	-0.0109	0	0	0	0	0	0	0	0	0	0	0	0	36.374	37.5935	5359.2164	0.0229	0	0.2166	-0.046	-216.0398	0.2185	0.1676	-0.0636
-0.1078	-0.076	-215.1375	0.2106	0.1417	-0.0463	1.3326	-1.215	-1.2776	-1.221	-0.4236	-0.5882	1.3501	-1.2123	-1.2709	-1.2137	-0.227	-0.602	0.0174	0.0027	0.0067	0.0074	0.1966	-0.0138	0	0	0	0	0	0	0	0	0	0	0	0	36.3746	37.5922	5359.1846	0.0235	0	-0.1078	-0.076	-215.1375	0.2106	0.1417	-0.0463
-0.5662	0.0935	-214.3499	0.1692	0.1221	-0.0268	1.3319	-1.2189	-1.277	-1.2224	-0.4113	-0.5888	1.3539	-1.2124	-1.2706	-1.2123	-0.2164	-0.6029	0.022	0.0065	0.0064	0.0101	0.1949	-0.0141	0	0	0	0	0	0	0	0	0	0	0	0	36.3749	37.5925	5359.2552	0.0242	0	-0.5662	0.0935	-214.3499	0.1692	0.1221	-0.0268
-0.5095	-0.0341	-214.6096	0.184	0.1529	-0.0412	1.3343	-1.2194	-1.2806	-1.2268	-0.3981	-0.5873	1.3578	-1.2125	-1.2703	-1.211	-0.2058	-0.6038	0.0235	0.0069	0.0102	0.0158	0.1923	-0.0165	0	0	0	0	0	0	0	0	0	0	0	0	36.3736	37.5929	5359.1622	0.0249	0	-0.5095	-0.0341	-214.6096	0.184	0.1529	-0.0412
-0.2424	0.1038	-214.9709	0.1901	0.1913	-0.048	1.3405	-1.2139	-1.2769	-1.2138	-0.3839	-0.5882	1.3617	-1.2126	-1.27	-1.2096	-0.195	-0.6048	0.0212	0.0013	0.0069	0.0042	0.1888	-0.0166	0	0	0	0	0	0	0	0	0	0	0	0	36.3738	37.5926	5359.2354	0.0255	0	-0.2424	0.1038	-214.9709	0.1901	0.1913	-0.048
0.0647	0.022	-215.4026	0.2113	0.2243	-0.0568	1.3512	-1.2116	-1.2784	-1.2217	-0.3726	-0.5961	1.3657	-1.2127	-1.2698	-1.2082	-0.1842	-0.6057	0.0145	-0.0012	0.0086	0.0135	0.1884	-0.0096	0	0	0	0	0	0	0	0	0	0	0	0	36.3737	37.5926	5359.2161	0.0262	0	0.0647	0.022	-215.4026	0.2113	0.2243	-0.0568
-0.0549	0.1742	-215.3032	0.1928	0.2007	-0.0421	1.3536	-1.2072	-1.2745	-1.223	-0.3602	-0.5984	1.3696	-1.2129	-1.2695	-1.2068	-0.1734	-0.6066	0.016	-0.0056	0.0051	0.0162	0.1869	-0.0083	0	0	0	0	0	0	0	0	0	0	0	0	36.3727	37.5926	5359.1759	0.0268	0	-0.0549	0.1742	-215.3032	0.1928	0.2007	-0.0421
0.0683	-0.1447	-215.078	0.1935	0.2589	-0.0523	1.3549	-1.2122	-1.2741	-1.2084	-0.3487	-0.5987	1.3736	-1.213	-1.2692	-1.2053	-0.1624	-0.6076	0.0187	-0.0008	0.0049	0.0031	0.1863	-0.0089	0	0	0	0	0	0	0	0	0	0	0	0	36.3719	37.5938	5359.1754	0.0275	0	0.0683	-0.1447	-215.078	0.1935	0.2589	-0.0523
-0.121	-0.1623	-215.0332	0.1754	0.2707	-0.0455	1.3611	-1.2171	-1.2736	-1.2019	-0.3379	-0.5923	1.3777	-1.2131	-1.2689	-1.2039	-0.1514	-0.6085	0.0166	0.004	0.0047	-0.002	0.1865	-0.0162	0	0	0	0	0	0	0	0	0	0	0	0	36.3718	37.5934	5359.2921	0.0282	0	-0.121	-0.1623	-215.0332	0.1754	0.2707	-0.0455
-0.5744	-0.1011	-214.1889	0.1588	0.2361	-0.0389	1.3619	-1.2142	-1.2721	-1.2061	-0.3294	-0.598	1.3817	-1.2133	-1.2686	-1.2024	-0.1403	-0.6094	0.0199	0.0009	0.0036	0.0038	0.1891	-0.0115	0	0	0	0	0	0	0	0	0	0	0	0	36.3724	37.5925	5359.199	0.0288	0	-0.5744	-0.1011	-214.1889	0.1588	0.2361	-0.0389
-0.4457	-0.2071	-214.6292	0.1734	0.267	-0.0481	1.3647	-1.212	-1.2736	-1.2216	-0.3182	-0.5963	1.3858	-1.2135	-1.2682	-1.2009	-0.1292	-0.6104	0.0211	-0.0015	0.0054	0.0207	0.189	-0.0141	0	0	0	0	0	0	0	0	0	0	0	0	36.3729	37.5915	5359.3117	0.0295	0	-0.4457	-0.2071	-214.6292	0.1734	0.267	-0.0481
-0.3797	0.152	-214.7298	0.1763	0.2575	-0.0403	1.3664	-1.213	-1.2757	-1.2315	-0.3063	-0.5981	1.39	-1.2136	-1.2679	-1.1993	-0.1179	-0.6113	0.0236	-0.0007	0.0077	0.0321	0.1883	-0.0132	0	0	0	0	0	0	0	0	0	0	0	0	36.372	37.5912	5359.377	0.0301	0	-0.3797	0.152	-214.7298	0.1763	0.2575	-0.0403
-0.0833	0.1815	-215.8534	0.1978	0.3164	-0.0522	1.373	-1.214	-1.2702	-1.2224	-0.2964	-0.5986	1.3941	-1.2138	-1.2676	-1.1978	-0.1067	-0.6123	0.0211	0.0002	0.0026	0.0247	0.1897	-0.0137	0	0	0	0	0	0	0	0	0	0	0	0	36.3728	37.5926	5359.3618	0.0308	0	-0.0833	0.1815	-215.8534	0.1978	0.3164	-0.0522
0.016	0.077	-214.6628	0.1929	0.3388	-0.0537	1.3756	-1.2134	-1.2713	-1.2092	-0.2829	-0.6025	1.3983	-1.214	-1.2673	-1.1962	-0.0953	-0.6133	0.0227	-0.0006	0.004	0.013	0.1876	-0.0107	0	0	0	0	0	0	0	0	0	0	0	0	36.3716	37.5921	5359.3291	0.0315	0	0.016	0.077	-214.6628	0.1929	0.3388	-0.0537
-0.2122	0.0868	-214.5138	0.1944	0.314	-0.0451	1.3876	-1.215	-1.2707	-1.2147	-0.2671	-0.6077	1.4025	-1.2142	-1.2669	-1.1946	-0.0839	-0.6142	0.015	0.0008	0.0038	0.0201	0.1832	-0.0065	0	0	0	0	0	0	0	0	0	0	0	0	36.3733	37.5932	5359.4668	0.0321	0	-0.2122	0.0868	-214.5138	0.1944	0.314	-0.0451
-0.3598	-0.0739	-214.3273	0.2117	0.3273	-0.0432	1.3873	-1.2139	-1.2703	-1.21	-0.2542	-0.5981	1.4068	-1.2144	-1.2666	-1.193	-0.0724	-0.6152	0.0195	-0.0005	0.0037	0.0171	0.1818	-0.0171	0	0	0	0	0	0	0	0	0	0	0	0	36.373	37.5931	5359.5	0.0328	0	-0.3598	-0.0739	-214.3273	0.2117	0.3273	-0.0432
-0.3389	0.0301	-215.7684	0.2192	0.3742	-0.0535	1.3848	-1.2147	-1.2713	-1.207	-0.2466	-0.6018	1.411	-1.2146	-1.2663	-1.1913	-0.0609	-0.6162	0.0262	0.0001	0.005	0.0157	0.1857	-0.0144	0	0	0	0	0	0	0	0	0	0	0	0	36.3724	37.5933	5359.3945	0.0334	0	-0.3389	0.0301	-215.7684	0.2192	0.3742	-0.0535
-0.0832	-0.068	-214.9099	0.1952	0.3788	-0.0484	1.393	-1.2161	-1.2712	-1.1939	-0.2318	-0.6023	1.4153	-1.2148	-1.2659	-1.1896	-0.0493	-0.6171	0.0223	0.0013	0.0053	0.0042	0.1825	-0.0149	0	0	0	0	0	0	0	0	0	0	0	0	36.3718	37.5932	5359.384	0.0341	0	-0.0832	-0.068	-214.9099	0.1952	0.3788	-0.0484
-0.1718	0.2262	-214.3215	0.1727	0.3617	-0.0403	1.4026	-1.216	-1.2729	-1.2055	-0.2192	-0.6044	1.4196	-1.2151	-1.2656	-1.188	-0.0377	-0.6181	0.017	0.0009	0.0074	0.0175	0.1815	-0.0137	0	0	0	0	0	0	0	0	0	0	0	0	36.3721	37.5917	5359.3812	0.0348	0	-0.1718	0.2262	-214.3215	0.1727	0.3617	-0.0403
-0.1543	-0.0676	-214.7641	0.2009	0.3955	-0.0574	1.4096	-1.2183	-1.2711	-1.1875	-0.2045	-0.6031	1.424	-1.2153	-1.2652	-1.1862	-0.026	-0.6191	0.0143	0.003	0.0059	0.0012	0.1786	-0.016	0	0	0	0	0	0	0	0	0	0	0	0	36.3732	37.5903	5359.3434	0.0354	0	-0.1543	-0.0676	-214.7641	0.2009	0.3955	-0.0574
-0.3161	0.0564	-215.0941	0.1846	0.4166	-0.0515	1.4091	-1.2148	-1.2687	-1.1938	-0.1968	-0.6093	1.4283	-1.2155	-1.2648	-1.1845	-0.0142	-0.6201	0.0193	-0.0008	0.0038	0.0093	0.1826	-0.0108	0	0	0	0	0	0	0	0	0	0	0	0	36.3736	37.5911	5359.3281	0.0361	0	-0.3161	0.0564	-215.0941	0.1846	0.4166	-0.0515
-0.2216	0.0707	-215.5372	0.175	0.4588	-0.0571	1.4097	-1.2109	-1.2697	-1.192	-0.1857	-0.6084	1.4327	-1.2158	-1.2645	-1.1828	-0.0024	-0.6211	0.023	-0.0049	0.0053	0.0093	0.1832	-0.0126	0	0	0	0	0	0	0	0	0	0	0	0	36.3738	37.591	5359.2963	0.0367	0	-0.2216	0.0707	-215.5372	0.175	0.4588	-0.0571
-0.1743	0.0187	-215.1479	0.1824	0.4553	-0.0576	1.4154	-1.2142	-1.2699	-1.2086	-0.1761	-0.6061	1.4371	-1.2161	-1.2641	-1.181	0.0094	-0.6221	0.0218	-0.0019	0.0058	0.0276	0.1855	-0.016	0	0	0	0	0	0	0	0	0	0	0	0	36.3739	37.591	5359.2776	0.0374	0	-0.1743	0.0187	-215.1479	0.1824	0.4553	-0.0576
-0.4691	-0.0296	-214.714	0.206	0.4235	-0.0435	1.4201	-1.2103	-1.2697	-1.1955	-0.1566	-0.6201	1.4416	-1.2163	-1.2637	-1.1792	0.0213	-0.623	0.0215	-0.006	0.006	0.0163	0.178	-0.0029	0	0	0	0	0	0	0	0	0	0	0	0	36.3733	37.5912	5359.2679	0.0381	0	-0.4691	-0.0296	-214.714	0.206	0.4235	-0.0435
-0.2013	-0.1107	-215.1875	0.2219	0.4683	-0.0481	1.4267	-1.2188	-1.2664	-1.1911	-0.1451	-0.609	1.4461	-1.2166	-1.2633	-1.1774	0.0333	-0.624	0.0193	0.0022	0.003	0.0137	0.1784	-0.0151	0	0	0	0	0	0	0	0	0	0	0	0	36.3737	37.592	5359.3652	0.0387	0	-0.2013	-0.1107	-215.1875	0.2219	0.4683	-0.0481
-0.894	0.0681	-213.6946	0.2048	0.409	-0.0279	1.4308	-1.218	-1.2648	-1.1921	-0.1319	-0.6161	1.4505	-1.2169	-1.2629	-1.1755	0.0453	-0.625	0.0197	0.0011	0.0019	0.0166	0.1771	-0.009	0	0	0	0	0	0	0	0	0	0	0	0	36.3729	37.5923	5359.4445	0.0394	0	-0.894	0.0681	-213.6946	0.2048	0.409	-0.0279
-0.4719	-0.0797	-215.3248	0.2025	0.49	-0.0511	1.4376	-1.2179	-1.2676	-1.1842	-0.117	-0.6114	1.455	-1.2172	-1.2625	-1.1737	0.0573	-0.626	0.0175	0.0008	0.0051	0.0105	0.1743	-0.0147	0	0	0	0	0	0	0	0	0	0	0	0	36.3737	37.5932	5359.4256	0.04	0	-0.4719	-0.0797	-215.3248	0.2025	0.49	-0.0511
-0.3366	0.0396	-215.5632	0.2168	0.5088	-0.0524	1.4372	-1.2169	-1.2661	-1.1862	-0.1102	-0.6146	1.4596	-1.2175	-1.2621	-1.1718	0.0694	-0.627	0.0224	-0.0005	0.004	0.0144	0.1796	-0.0125	0	0	0	0	0	0	0	0	0	0	0	0	36.3742	37.5925	5359.4203	0.0407	0	-0.3366	0.0396	-215.5632	0.2168	0.5088	-0.0524
-0.1498	0.2289	-215.9658	0.2107	0.5477	-0.0548	1.4444	-1.2166	-1.2651	-1.1899	-0.1003	-0.6132	1.4641	-1.2178	-1.2617	-1.1699	0.0815	-0.628	0.0197	-0.0012	0.0034	0.0199	0.1818	-0.0148	0	0	0	0	0	0	0	0	0	0	0	0	36.3745	37.5921	5359.3979	0.0414	0	-0.1498	0.2289	-215.9658	0.2107	0.5477	-0.0548
-0.2815	0.3348	-214.856	0.1898	0.5228	-0.0508	1.4491	-1.2127	-1.265	-1.1771	-0.0838	-0.6237	1.4687	-1.2181	-1.2613	-1.168	0.0937	-0.629	0.0196	-0.0054	0.0038	0.0091	0.1775	-0.0054	0	0	0	0	0	0	0	0	0	0	0	0	36.3751	37.5923	5359.5769	0.042	0	-0.2815	0.3348	-214.856	0.1898	0.5228	-0.0508
-0.38	0.088	-214.4856	0.1938	0.5007	-0.0398	1.4508	-1.2188	-1.2665	-1.1731	-0.0706	-0.616	1.4733	-1.2184	-1.2609	-1.1661	0.1059	-0.63	0.0224	0.0004	0.0056	0.007	0.1765	-0.0141	0	0	0	0	0	0	0	0	0	0	0	0	36.3745	37.5917	5359.5083	0.0427	0	-0.38	0.088	-214.4856	0.1938	0.5007	-0.0398
-0.359	-0.2267	-214.7918	0.1944	0.5805	-0.0474	1.4587	-1.2209	-1.262	-1.1617	-0.057	-0.617	1.4779	-1.2188	-1.2604	-1.1641	0.1181	-0.631	0.0192	0.0021	0.0015	-0.0024	0.1751	-0.0141	0	0	0	0	0	0	0	0	0	0	0	0	36.3738	37.5931	5359.3919	0.0433	0	-0.359	-0.2267	-214.7918	0.1944	0.5805	-0.0474
-0.6257	-0.1244	-214.3876	0.1892	0.5654	-0.0427	1.459	-1.2228	-1.2615	-1.1587	-0.0453	-0.6237	1.4825	-1.2191	-1.26	-1.1621	0.1303	-0.632	0.0235	0.0037	0.0016	-0.0034	0.1757	-0.0084	0	0	0	0	0	0	0	0	0	0	0	0	36.373	37.5938	5359.3812	0.044	0	-0.6257	-0.1244	-214.3876	0.1892	0.5654	-0.0427
