Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
1.7617	-10.2457	-106.7831	0.2148	0.0095	-0.1358	1.4103	-1.1967	-1.2756	-1.2397	-0.3096	-0.5783	1.3914	-1.1997	-1.2742	-1.228	-0.4374	-0.5687	-0.0188	-0.003	0.0014	0.0117	-0.1277	0.0096	0	0	0	0	0	0	0	0	0	0	0	0	36.3878	37.5884	5358.8331	0.5271	0	1.7617	-10.2457	-106.7831	0.2148	0.0095	-0.1358
1.6795	-10.2388	-107.266	0.2097	-0.0264	-0.128	1.4016	-1.1982	-1.2783	-1.2441	-0.3254	-0.5763	1.3864	-1.2	-1.2744	-1.2287	-0.4509	-0.5675	-0.0152	-0.0017	0.004	0.0154	-0.1255	0.0088	0	0	0	0	0	0	0	0	0	0	0	0	36.3865	37.5883	5358.8123	0.5278	0	1.6795	-10.2388	-107.266	0.2097	-0.0264	-0.128
1.8893	-10.2896	-107.6473	0.2167	0.0003	-0.1445	1.3988	-1.1999	-1.2799	-1.2405	-0.3343	-0.5707	1.3814	-1.2002	-1.2745	-1.2294	-0.4645	-0.5662	-0.0174	-0.0003	0.0054	0.0111	-0.1302	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	36.3867	37.5879	5358.8272	0.5284	0	1.8893	-10.2896	-107.6473	0.2167	0.0003	-0.1445
2.0022	-10.2291	-108.328	0.2294	0.0015	-0.1426	1.3911	-1.2	-1.2831	-1.2382	-0.3466	-0.5735	1.3765	-1.2005	-1.2746	-1.23	-0.4781	-0.5649	-0.0146	-0.0005	0.0085	0.0082	-0.1314	0.0086	0	0	0	0	0	0	0	0	0	0	0	0	36.3865	37.5874	5358.8308	0.5291	0	2.0022	-10.2291	-108.328	0.2294	0.0015	-0.1426
1.7914	-10.0042	-107.1656	0.2061	-0.0366	-0.1315	1.3892	-1.2035	-1.2833	-1.2408	-0.3567	-0.577	1.3715	-1.2008	-1.2747	-1.2306	-0.4916	-0.5636	-0.0177	0.0027	0.0087	0.0103	-0.1349	0.0134	0	0	0	0	0	0	0	0	0	0	0	0	36.3864	37.5884	5358.6913	0.5298	0	1.7914	-10.0042	-107.1656	0.2061	-0.0366	-0.1315
2.0551	-10.1575	-107.6018	0.2509	-0.0242	-0.1361	1.3815	-1.1979	-1.2815	-1.2306	-0.3713	-0.5774	1.3665	-1.2011	-1.2748	-1.2311	-0.5051	-0.5624	-0.0149	-0.0033	0.0067	-0.0006	-0.1338	0.0151	0	0	0	0	0	0	0	0	0	0	0	0	36.3867	37.5888	5358.6538	0.5304	0	2.0551	-10.1575	-107.6018	0.2509	-0.0242	-0.1361
2.1855	-10.212	-106.6766	0.2371	-0.0206	-0.1459	1.3787	-1.1967	-1.2813	-1.2268	-0.3861	-0.5743	1.3616	-1.2014	-1.2748	-1.2317	-0.5186	-0.5611	-0.0171	-0.0048	0.0064	-0.0048	-0.1325	0.0132	0	0	0	0	0	0	0	0	0	0	0	0	36.3867	37.5887	5358.6946	0.5311	0	2.1855	-10.212	-106.6766	0.2371	-0.0206	-0.1459
2.0098	-10.138	-107.1279	0.2165	-0.0562	-0.133	1.3731	-1.1962	-1.2851	-1.2394	-0.4028	-0.5659	1.3566	-1.2018	-1.2749	-1.2322	-0.5321	-0.5598	-0.0164	-0.0056	0.0102	0.0073	-0.1293	0.0061	0	0	0	0	0	0	0	0	0	0	0	0	36.3869	37.5884	5358.69	0.5317	0	2.0098	-10.138	-107.1279	0.2165	-0.0562	-0.133
2.2459	-10.2393	-107.3012	0.2293	-0.0316	-0.142	1.3641	-1.1952	-1.2859	-1.2463	-0.4199	-0.5669	1.3517	-1.2021	-1.275	-1.2326	-0.5456	-0.5585	-0.0124	-0.0069	0.0109	0.0136	-0.1257	0.0083	0	0	0	0	0	0	0	0	0	0	0	0	36.387	37.5871	5358.7027	0.5324	0	2.2459	-10.2393	-107.3012	0.2293	-0.0316	-0.142
2.2748	-10.2852	-107.086	0.2271	-0.0648	-0.1344	1.3645	-1.2021	-1.2817	-1.256	-0.4349	-0.562	1.3468	-1.2025	-1.275	-1.233	-0.5591	-0.5572	-0.0178	-0.0004	0.0067	0.0229	-0.1242	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	36.3879	37.5883	5358.7587	0.5331	0	2.2748	-10.2852	-107.086	0.2271	-0.0648	-0.1344
