Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.5221	-3.6568	-218.3725	0.0132	0.0447	-2.9302	3.6039	-5.3593	-3.0405	-1.4186	3.0805	-7.2558	3.5858	-5.3466	-3.0532	-1.4198	3.0327	-7.2208	-0.0181	0.0127	-0.0127	-0.0012	-0.0478	0.035	0	0	0	0	0	0	0	0	0	0	0	0	37.5616	38.5136	5364.6909	0.8745	0	-0.5221	-3.6568	-218.3725	0.0132	0.0447	-2.9302
-1.0037	-3.429	-217.2557	-0.0433	-0.0312	-2.8958	3.6047	-5.367	-3.0446	-1.4173	3.0801	-7.2442	3.5863	-5.3473	-3.0543	-1.42	3.0324	-7.2061	-0.0184	0.0197	-0.0097	-0.0027	-0.0477	0.0381	0	0	0	0	0	0	0	0	0	0	0	0	37.5629	38.5144	5364.4645	0.8751	0	-1.0037	-3.429	-217.2557	-0.0433	-0.0312	-2.8958
-0.8028	-3.2708	-219.4017	-0.0107	0.0765	-2.9057	3.6057	-5.3641	-3.0512	-1.4175	3.0797	-7.2172	3.5868	-5.348	-3.0553	-1.4203	3.0321	-7.1912	-0.0189	0.0161	-0.0042	-0.0028	-0.0476	0.026	0	0	0	0	0	0	0	0	0	0	0	0	37.5651	38.5154	5364.5739	0.8758	0	-0.8028	-3.2708	-219.4017	-0.0107	0.0765	-2.9057
-0.9859	-3.123	-219.2704	0.024	0.0509	-2.8905	3.6022	-5.3615	-3.046	-1.425	3.0818	-7.2062	3.5873	-5.3487	-3.0564	-1.4205	3.0318	-7.176	-0.0149	0.0128	-0.0104	0.0045	-0.05	0.0301	0	0	0	0	0	0	0	0	0	0	0	0	37.5649	38.5159	5364.6762	0.8765	0	-0.9859	-3.123	-219.2704	0.024	0.0509	-2.8905
-0.7884	-2.8951	-219.0375	-0.0026	0.0087	-2.8688	3.6097	-5.3635	-3.0468	-1.4264	3.08	-7.1906	3.5879	-5.3495	-3.0575	-1.4207	3.0315	-7.1607	-0.0219	0.0141	-0.0107	0.0057	-0.0485	0.0299	0	0	0	0	0	0	0	0	0	0	0	0	37.5649	38.5154	5364.5355	0.8771	0	-0.7884	-2.8951	-219.0375	-0.0026	0.0087	-2.8688
-0.6063	-3.3055	-218.95	0.0449	0.0311	-2.8567	3.608	-5.3672	-3.0503	-1.41	3.0782	-7.1781	3.5884	-5.3502	-3.0586	-1.421	3.0312	-7.1451	-0.0196	0.0169	-0.0083	-0.011	-0.047	0.0329	0	0	0	0	0	0	0	0	0	0	0	0	37.5646	38.5147	5364.5196	0.8778	0	-0.6063	-3.3055	-218.95	0.0449	0.0311	-2.8567
-1.0048	-3.2354	-218.1889	0.0055	0.0437	-2.8402	3.5997	-5.3658	-3.049	-1.4172	3.0757	-7.1621	3.5889	-5.351	-3.0597	-1.4212	3.0309	-7.1294	-0.0108	0.0148	-0.0107	-0.004	-0.0448	0.0327	0	0	0	0	0	0	0	0	0	0	0	0	37.5657	38.5145	5364.4472	0.8784	0	-1.0048	-3.2354	-218.1889	0.0055	0.0437	-2.8402
-0.8598	-3.4106	-217.0123	-0.0207	0.048	-2.8179	3.6061	-5.3651	-3.0473	-1.4207	3.0784	-7.1407	3.5895	-5.3517	-3.0608	-1.4215	3.0306	-7.1134	-0.0166	0.0134	-0.0135	-0.0008	-0.0478	0.0272	0	0	0	0	0	0	0	0	0	0	0	0	37.5656	38.5145	5364.3678	0.8791	0	-0.8598	-3.4106	-217.0123	-0.0207	0.048	-2.8179
-0.9097	-3.2483	-218.0525	0.0169	-0.0032	-2.8047	3.605	-5.3683	-3.0547	-1.42	3.0786	-7.1281	3.59	-5.3525	-3.062	-1.4217	3.0303	-7.0972	-0.0149	0.0158	-0.0073	-0.0016	-0.0483	0.0309	0	0	0	0	0	0	0	0	0	0	0	0	37.5648	38.5137	5364.3745	0.8798	0	-0.9097	-3.2483	-218.0525	0.0169	-0.0032	-2.8047
-0.8119	-2.9905	-218.4058	-0.0175	-0.0011	-2.7981	3.6099	-5.367	-3.0528	-1.4116	3.0743	-7.1104	3.5906	-5.3533	-3.0631	-1.4219	3.0299	-7.0808	-0.0193	0.0137	-0.0103	-0.0103	-0.0444	0.0297	0	0	0	0	0	0	0	0	0	0	0	0	37.5645	38.5135	5364.5389	0.8804	0	-0.8119	-2.9905	-218.4058	-0.0175	-0.0011	-2.7981
-0.5072	-3.3795	-218.0606	-0.0013	0.0334	-2.7841	3.6084	-5.3693	-3.0549	-1.4297	3.0801	-7.0961	3.5912	-5.3541	-3.0643	-1.4221	3.0296	-7.0642	-0.0172	0.0152	-0.0094	0.0075	-0.0505	0.0319	0	0	0	0	0	0	0	0	0	0	0	0	37.5646	38.5135	5364.5618	0.8811	0	-0.5072	-3.3795	-218.0606	-0.0013	0.0334	-2.7841
