Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 19, 2024 -- 14: 6: 9: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
 6.9156	-15.4730	-103.1167	 0.0447	 0.0195	-0.3176	 3.6320	-5.4118	-3.2529	-1.3714	 2.5728	-3.0489	 3.6751	-5.4443	-3.2450	-1.3587	 2.7295	-3.0653	 0.0594	-0.0447	 0.0082	 0.0174	 0.2241	-0.0305	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5522	38.3699	5359.7474	 0.0006	 0.0000	 6.9156	-15.4730	-103.1167	 0.0447	 0.0195	-0.3176
 7.0074	-15.5112	-103.3983	 0.0408	 0.0596	-0.3261	 3.6292	-5.4146	-3.2544	-1.3620	 2.5757	-3.0480	 3.6901	-5.4555	-3.2448	-1.3544	 2.7914	-3.0783	 0.0622	-0.0420	 0.0096	 0.0080	 0.2212	-0.0313	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5518	38.3705	5359.6563	 0.0013	 0.0000	 7.0074	-15.5112	-103.3983	 0.0408	 0.0596	-0.3261
 6.8690	-15.4344	-102.5133	 0.0283	 0.0271	-0.3230	 3.6317	-5.4131	-3.2541	-1.3472	 2.5728	-3.0526	 3.6913	-5.4565	-3.2448	-1.3541	 2.7963	-3.0789	 0.0597	-0.0435	 0.0094	-0.0069	 0.2240	-0.0264	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5511	38.3703	5359.6782	 0.0020	 0.0000	 6.8690	-15.4344	-102.5133	 0.0283	 0.0271	-0.3230
 7.0886	-15.6296	-103.1749	 0.0277	 0.0785	-0.3338	 3.6344	-5.4107	-3.2558	-1.3709	 2.5799	-3.0594	 3.6914	-5.4565	-3.2447	-1.3540	 2.7968	-3.0784	 0.0570	-0.0459	 0.0110	 0.0169	 0.2169	-0.0190	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5517	38.3705	5359.7082	 0.0026	 0.0000	 7.0886	-15.6296	-103.1749	 0.0277	 0.0785	-0.3338
 6.9885	-15.6672	-103.6202	 0.0304	 0.0768	-0.3213	 3.6337	-5.4159	-3.2565	-1.3690	 2.5790	-3.0526	 3.6914	-5.4565	-3.2447	-1.3540	 2.7967	-3.0777	 0.0576	-0.0406	 0.0117	 0.0151	 0.2177	-0.0251	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5524	38.3713	5359.6973	 0.0033	 0.0000	 6.9885	-15.6672	-103.6202	 0.0304	 0.0768	-0.3213
 7.0328	-15.7333	-104.0410	 0.0481	 0.0909	-0.3300	 3.6379	-5.4136	-3.2554	-1.3653	 2.5839	-3.0558	 3.6914	-5.4565	-3.2447	-1.3539	 2.7966	-3.0768	 0.0535	-0.0430	 0.0107	 0.0113	 0.2127	-0.0210	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5521	38.3712	5359.7213	 0.0039	 0.0000	 7.0328	-15.7333	-104.0410	 0.0481	 0.0909	-0.3300
 7.0057	-15.5484	-103.6785	 0.0382	 0.1041	-0.3348	 3.6349	-5.4141	-3.2578	-1.3700	 2.5894	-3.0586	 3.6914	-5.4565	-3.2447	-1.3539	 2.7965	-3.0757	 0.0565	-0.0424	 0.0131	 0.0161	 0.2071	-0.0171	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5525	38.3705	5359.7934	 0.0046	 0.0000	 7.0057	-15.5484	-103.6785	 0.0382	 0.1041	-0.3348
 6.9890	-15.6190	-103.9267	 0.0452	 0.1105	-0.3328	 3.6384	-5.4162	-3.2564	-1.3609	 2.5898	-3.0572	 3.6914	-5.4565	-3.2447	-1.3538	 2.7964	-3.0745	 0.0529	-0.0402	 0.0116	 0.0071	 0.2066	-0.0173	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5518	38.3710	5359.7821	 0.0053	 0.0000	 6.9890	-15.6190	-103.9267	 0.0452	 0.1105	-0.3328
 7.0084	-15.4960	-103.9036	 0.0521	 0.1037	-0.3307	 3.6338	-5.4132	-3.2577	-1.3650	 2.5931	-3.0622	 3.6914	-5.4564	-3.2447	-1.3537	 2.7962	-3.0730	 0.0575	-0.0432	 0.0130	 0.0113	 0.2031	-0.0108	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	37.5524	38.3701	5359.8007	 0.0059	 0.0000	 7.0084	-15.4960	-103.9036	 0.0521	 0.1037	-0.3307
