Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
10.4603	-16.5798	-93.1042	-0.027	-0.0108	-0.8931	3.6569	-5.4357	-3.1552	-1.4327	3.0891	-5.535	3.6483	-5.4213	-3.1619	-1.4195	2.9891	-5.4702	-0.0086	0.0145	-0.0066	0.0133	-0.1	0.0649	0	0	0	0	0	0	0	0	0	0	0	0	37.5616	38.3597	5361.7501	0.9271	0	10.4603	-16.5798	-93.1042	-0.027	-0.0108	-0.8931
10.675	-16.008	-95.6137	0.0174	0.0292	-0.8865	3.6619	-5.4384	-3.1578	-1.4306	3.0877	-5.5103	3.6492	-5.4222	-3.1633	-1.4191	2.9881	-5.4435	-0.0127	0.0162	-0.0054	0.0116	-0.0996	0.0668	0	0	0	0	0	0	0	0	0	0	0	0	37.5615	38.3607	5361.7598	0.9277	0	10.675	-16.008	-95.6137	0.0174	0.0292	-0.8865
10.2753	-15.7463	-95.606	0.0489	0.0116	-0.8689	3.662	-5.4338	-3.1605	-1.4324	3.0915	-5.4769	3.6501	-5.4232	-3.1647	-1.4187	2.9871	-5.4169	-0.0118	0.0106	-0.0042	0.0137	-0.1044	0.06	0	0	0	0	0	0	0	0	0	0	0	0	37.5618	38.3614	5361.7617	0.9284	0	10.2753	-15.7463	-95.606	0.0489	0.0116	-0.8689
9.9147	-15.3608	-93.7579	-0.0052	-0.0429	-0.8481	3.6644	-5.4304	-3.1614	-1.422	3.0953	-5.4552	3.6511	-5.4241	-3.1661	-1.4183	2.9861	-5.3902	-0.0133	0.0063	-0.0046	0.0038	-0.1093	0.065	0	0	0	0	0	0	0	0	0	0	0	0	37.5626	38.3606	5361.7151	0.9291	0	9.9147	-15.3608	-93.7579	-0.0052	-0.0429	-0.8481
10.0485	-16.0362	-93.6166	-0.0237	0.045	-0.8476	3.6592	-5.4356	-3.1611	-1.43	3.0923	-5.426	3.652	-5.4251	-3.1675	-1.4178	2.985	-5.3635	-0.0072	0.0105	-0.0063	0.0121	-0.1072	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	37.5628	38.3606	5361.635	0.9297	0	10.0485	-16.0362	-93.6166	-0.0237	0.045	-0.8476
9.7445	-16.1186	-92.1869	-0.0299	-0.0218	-0.8193	3.6599	-5.4384	-3.1619	-1.4168	3.0881	-5.4008	3.6529	-5.426	-3.1688	-1.4174	2.984	-5.3368	-0.007	0.0124	-0.0069	-0.0007	-0.1041	0.064	0	0	0	0	0	0	0	0	0	0	0	0	37.5634	38.3602	5361.7201	0.9304	0	9.7445	-16.1186	-92.1869	-0.0299	-0.0218	-0.8193
9.7959	-16.0946	-92.9792	-0.0273	-0.0011	-0.8234	3.6691	-5.4397	-3.1656	-1.4225	3.0943	-5.3747	3.6539	-5.4269	-3.1702	-1.417	2.9829	-5.3102	-0.0153	0.0128	-0.0046	0.0056	-0.1114	0.0646	0	0	0	0	0	0	0	0	0	0	0	0	37.5631	38.3596	5361.669	0.931	0	9.7959	-16.0946	-92.9792	-0.0273	-0.0011	-0.8234
9.4324	-15.7089	-94.0525	0.0053	-0.0407	-0.8027	3.6699	-5.4385	-3.1672	-1.4274	3.0912	-5.3395	3.6548	-5.4278	-3.1716	-1.4165	2.9818	-5.2835	-0.0151	0.0107	-0.0044	0.0109	-0.1094	0.056	0	0	0	0	0	0	0	0	0	0	0	0	37.5619	38.3598	5361.7609	0.9317	0	9.4324	-15.7089	-94.0525	0.0053	-0.0407	-0.8027
9.4484	-15.7323	-94.1269	0.0209	0.0173	-0.8113	3.6665	-5.4367	-3.1703	-1.42	3.0925	-5.3145	3.6557	-5.4287	-3.1729	-1.4161	2.9807	-5.2569	-0.0108	0.008	-0.0026	0.0039	-0.1118	0.0576	0	0	0	0	0	0	0	0	0	0	0	0	37.5612	38.3598	5361.8145	0.9324	0	9.4484	-15.7323	-94.1269	0.0209	0.0173	-0.8113
9.2968	-15.9468	-93.2252	-0.0223	-0.0026	-0.798	3.665	-5.4434	-3.1713	-1.4162	3.0895	-5.2909	3.6566	-5.4296	-3.1743	-1.4156	2.9796	-5.2303	-0.0084	0.0138	-0.003	0.0006	-0.1099	0.0606	0	0	0	0	0	0	0	0	0	0	0	0	37.5602	38.3598	5361.805	0.933	0	9.2968	-15.9468	-93.2252	-0.0223	-0.0026	-0.798
9.1206	-16.0692	-92.3686	-0.0276	-0.0307	-0.7713	3.6692	-5.4435	-3.1679	-1.4177	3.0942	-5.2668	3.6575	-5.4305	-3.1756	-1.4152	2.9785	-5.2037	-0.0117	0.013	-0.0077	0.0026	-0.1157	0.0631	0	0	0	0	0	0	0	0	0	0	0	0	37.561	38.3599	5361.7226	0.9337	0	9.1206	-16.0692	-92.3686	-0.0276	-0.0307	-0.7713
9.0516	-15.9833	-92.6252	0.0036	-0.019	-0.7646	3.6657	-5.4435	-3.173	-1.4263	3.091	-5.2388	3.6584	-5.4314	-3.1769	-1.4147	2.9773	-5.1771	-0.0073	0.0121	-0.0039	0.0116	-0.1137	0.0617	0	0	0	0	0	0	0	0	0	0	0	0	37.5615	38.3599	5361.753	0.9343	0	9.0516	-15.9833	-92.6252	0.0036	-0.019	-0.7646
9.1788	-15.9086	-94.4124	0.0044	0.0585	-0.7721	3.6709	-5.4414	-3.1763	-1.4144	3.0898	-5.2086	3.6593	-5.4323	-3.1783	-1.4142	2.9762	-5.1506	-0.0116	0.0091	-0.0019	0.0002	-0.1136	0.058	0	0	0	0	0	0	0	0	0	0	0	0	37.5626	38.3611	5361.6746	0.935	0	9.1788	-15.9086	-94.4124	0.0044	0.0585	-0.7721
