Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
0.708	-18.5872	-74.3731	-0.0268	0.1173	0.1068	3.3692	-4.7383	-3.0776	-2.0326	2.3636	-1.8403	3.3757	-4.7428	-3.0647	-2.0432	2.3435	-1.8527	0.0065	-0.0045	0.0129	-0.0106	-0.0201	-0.0124	0	0	0	0	0	0	0	0	0	0	0	0	37.489	38.3963	5358.6023	0.9899	0	0.708	-18.5872	-74.3731	-0.0268	0.1173	0.1068
0.7177	-18.4873	-75.7575	0.0198	0.1307	0.102	3.3691	-4.7428	-3.0792	-2.0157	2.3638	-1.8494	3.3764	-4.7499	-3.0635	-2.0291	2.3443	-1.8524	0.0072	-0.0071	0.0157	-0.0134	-0.0195	-0.003	0	0	0	0	0	0	0	0	0	0	0	0	37.4894	38.3965	5358.71	0.9905	0	0.7177	-18.4873	-75.7575	0.0198	0.1307	0.102
0.7172	-18.5444	-74.541	-0.0247	0.1063	0.1068	3.3661	-4.7485	-3.0741	-1.9924	2.3657	-1.842	3.377	-4.757	-3.0622	-2.0149	2.3451	-1.8522	0.011	-0.0085	0.0119	-0.0225	-0.0206	-0.0102	0	0	0	0	0	0	0	0	0	0	0	0	37.4897	38.3963	5358.726	0.9912	0	0.7172	-18.5444	-74.541	-0.0247	0.1063	0.1068
0.7218	-18.725	-74.3125	-0.0202	0.1209	0.108	3.3675	-4.7586	-3.0711	-1.9902	2.362	-1.8368	3.3777	-4.7641	-3.0609	-2.0006	2.3459	-1.8519	0.0102	-0.0055	0.0102	-0.0104	-0.0161	-0.0151	0	0	0	0	0	0	0	0	0	0	0	0	37.49	38.3962	5358.6591	0.9919	0	0.7218	-18.725	-74.3125	-0.0202	0.1209	0.108
0.5101	-18.7987	-73.4991	-0.0297	0.0678	0.1192	3.3661	-4.7642	-3.0724	-1.981	2.3663	-1.8372	3.3784	-4.7712	-3.0595	-1.9863	2.3467	-1.8516	0.0123	-0.007	0.0129	-0.0053	-0.0197	-0.0144	0	0	0	0	0	0	0	0	0	0	0	0	37.4912	38.3955	5358.7877	0.9925	0	0.5101	-18.7987	-73.4991	-0.0297	0.0678	0.1192
0.7052	-18.8038	-73.5361	-0.0104	0.0954	0.1125	3.3669	-4.7747	-3.0666	-1.9682	2.3639	-1.848	3.379	-4.7783	-3.0582	-1.9719	2.3475	-1.8513	0.0121	-0.0037	0.0084	-0.0037	-0.0165	-0.0033	0	0	0	0	0	0	0	0	0	0	0	0	37.4921	38.3957	5358.8756	0.9932	0	0.7052	-18.8038	-73.5361	-0.0104	0.0954	0.1125
0.8271	-18.7528	-74.466	-0.0177	0.1294	0.1032	3.3716	-4.7798	-3.0719	-1.9472	2.3641	-1.8462	3.3797	-4.7855	-3.0568	-1.9573	2.3482	-1.8511	0.0081	-0.0058	0.015	-0.0101	-0.0158	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	37.492	38.3958	5358.8595	0.9938	0	0.8271	-18.7528	-74.466	-0.0177	0.1294	0.1032
0.5452	-18.4635	-74.1531	-0.0059	0.0708	0.1126	3.3768	-4.7868	-3.0666	-1.9286	2.3624	-1.8386	3.3803	-4.7928	-3.0554	-1.9427	2.349	-1.8508	0.0036	-0.006	0.0112	-0.0141	-0.0134	-0.0122	0	0	0	0	0	0	0	0	0	0	0	0	37.4908	38.3968	5358.8798	0.9945	0	0.5452	-18.4635	-74.1531	-0.0059	0.0708	0.1126
0.5339	-18.3424	-74.0041	0.0058	0.0627	0.1221	3.3679	-4.7939	-3.0704	-1.9313	2.3664	-1.8465	3.381	-4.8	-3.054	-1.928	2.3498	-1.8505	0.0131	-0.0061	0.0164	0.0033	-0.0166	-0.0039	0	0	0	0	0	0	0	0	0	0	0	0	37.4897	38.3971	5358.9045	0.9952	0	0.5339	-18.3424	-74.0041	0.0058	0.0627	0.1221
0.5938	-17.8884	-73.0847	-0.0128	0.0321	0.1346	3.3722	-4.7984	-3.071	-1.9107	2.3654	-1.8404	3.3816	-4.8074	-3.0526	-1.9131	2.3506	-1.8502	0.0094	-0.009	0.0184	-0.0024	-0.0148	-0.0098	0	0	0	0	0	0	0	0	0	0	0	0	37.4906	38.3983	5358.8171	0.9958	0	0.5938	-17.8884	-73.0847	-0.0128	0.0321	0.1346
0.6102	-18.1126	-74.1445	-0.0209	0.0398	0.1232	3.3775	-4.805	-3.0694	-1.9095	2.3621	-1.8368	3.3823	-4.8147	-3.0511	-1.8982	2.3513	-1.8499	0.0048	-0.0097	0.0183	0.0114	-0.0108	-0.0131	0	0	0	0	0	0	0	0	0	0	0	0	37.4908	38.3989	5358.8577	0.9965	0	0.6102	-18.1126	-74.1445	-0.0209	0.0398	0.1232
0.903	-18.6766	-73.8287	0.0076	0.1111	0.1141	3.3752	-4.8125	-3.0569	-1.8797	2.3641	-1.8379	3.3829	-4.8222	-3.0496	-1.8831	2.3521	-1.8495	0.0077	-0.0096	0.0073	-0.0033	-0.012	-0.0117	0	0	0	0	0	0	0	0	0	0	0	0	37.4911	38.3986	5358.7715	0.9971	0	0.903	-18.6766	-73.8287	0.0076	0.1111	0.1141
0.8084	-18.5052	-73.7704	0.0245	0.097	0.1189	3.3708	-4.8221	-3.061	-1.8716	2.3676	-1.8413	3.3836	-4.8297	-3.0481	-1.8678	2.3529	-1.8492	0.0128	-0.0076	0.0129	0.0038	-0.0147	-0.0079	0	0	0	0	0	0	0	0	0	0	0	0	37.4905	38.3984	5358.7397	0.9978	0	0.8084	-18.5052	-73.7704	0.0245	0.097	0.1189
0.7264	-18.5385	-74.2414	0.0191	0.1081	0.1094	3.3736	-4.8274	-3.0592	-1.8398	2.3619	-1.8392	3.3842	-4.8372	-3.0466	-1.8525	2.3537	-1.8489	0.0107	-0.0098	0.0126	-0.0126	-0.0083	-0.0097	0	0	0	0	0	0	0	0	0	0	0	0	37.4917	38.399	5358.7985	0.9985	0	0.7264	-18.5385	-74.2414	0.0191	0.1081	0.1094
0.6032	-18.6489	-72.6761	0.0029	0.0878	0.1177	3.3729	-4.8356	-3.0545	-1.8292	2.3657	-1.8397	3.3849	-4.8448	-3.045	-1.8369	2.3545	-1.8486	0.012	-0.0092	0.0094	-0.0077	-0.0112	-0.0088	0	0	0	0	0	0	0	0	0	0	0	0	37.4917	38.3984	5358.7597	0.9991	0	0.6032	-18.6489	-72.6761	0.0029	0.0878	0.1177
0.9407	-19.0782	-73.4248	0.0508	0.1295	0.108	3.3742	-4.8458	-3.0558	-1.8194	2.3725	-1.839	3.3856	-4.8525	-3.0435	-1.8212	2.3553	-1.8482	0.0114	-0.0067	0.0123	-0.0019	-0.0172	-0.0092	0	0	0	0	0	0	0	0	0	0	0	0	37.4916	38.3966	5358.777	0.9998	0	0.9407	-19.0782	-73.4248	0.0508	0.1295	0.108
0.736	-18.6548	-72.9851	0.0324	0.0823	0.1189	3.3737	-4.853	-3.0536	-1.7922	2.3678	-1.8374	3.3871	-4.8705	-3.0397	-1.7844	2.3571	-1.8474	0.0134	-0.0175	0.0139	0.0077	-0.0107	-0.01	0	0	0	0	0	0	0	0	0	0	0	0	37.4919	38.3971	5358.7407	0.0004	0	0.736	-18.6548	-72.9851	0.0324	0.0823	0.1189
1.1461	-18.6996	-74.2047	0.0453	0.1463	0.1026	3.3801	-4.8605	-3.0525	-1.7921	2.3656	-1.8278	3.3878	-4.8785	-3.038	-1.768	2.3579	-1.8471	0.0076	-0.018	0.0145	0.0241	-0.0077	-0.0193	0	0	0	0	0	0	0	0	0	0	0	0	37.4921	38.3974	5358.7125	0.0011	0	1.1461	-18.6996	-74.2047	0.0453	0.1463	0.1026
1.1195	-18.6549	-74.0547	0.0537	0.1068	0.1159	3.3822	-4.8745	-3.0464	-1.7671	2.368	-1.8276	3.3884	-4.8866	-3.0363	-1.7514	2.3587	-1.8467	0.0063	-0.0121	0.0101	0.0156	-0.0092	-0.0191	0	0	0	0	0	0	0	0	0	0	0	0	37.4928	38.3971	5358.7037	0.0018	0	1.1195	-18.6549	-74.0547	0.0537	0.1068	0.1159
0.7014	-18.144	-72.8746	0.052	0.0135	0.1279	3.3842	-4.8824	-3.0523	-1.7542	2.3694	-1.8342	3.3891	-4.8948	-3.0346	-1.7348	2.3595	-1.8463	0.0049	-0.0123	0.0177	0.0194	-0.0098	-0.0121	0	0	0	0	0	0	0	0	0	0	0	0	37.4928	38.3961	5358.6601	0.0024	0	0.7014	-18.144	-72.8746	0.052	0.0135	0.1279
0.9721	-18.2121	-73.6595	0.0567	0.0718	0.1121	3.3803	-4.8891	-3.0457	-1.7442	2.366	-1.8404	3.3898	-4.903	-3.0328	-1.7181	2.3604	-1.8459	0.0095	-0.0139	0.0129	0.0261	-0.0056	-0.0055	0	0	0	0	0	0	0	0	0	0	0	0	37.4919	38.3965	5358.57	0.0031	0	0.9721	-18.2121	-73.6595	0.0567	0.0718	0.1121
0.9368	-18.3815	-74.4353	0.0884	0.1034	0.111	3.3844	-4.9042	-3.045	-1.7228	2.3713	-1.8423	3.3905	-4.9113	-3.0311	-1.701	2.3612	-1.8455	0.0061	-0.0071	0.0139	0.0218	-0.0101	-0.0032	0	0	0	0	0	0	0	0	0	0	0	0	37.4916	38.3961	5358.5799	0.0037	0	0.9368	-18.3815	-74.4353	0.0884	0.1034	0.111
0.8007	-18.3416	-74.0308	0.1011	0.089	0.1078	3.3789	-4.9193	-3.0458	-1.7009	2.3665	-1.8407	3.3912	-4.9197	-3.0293	-1.6839	2.362	-1.8451	0.0123	-0.0004	0.0165	0.017	-0.0045	-0.0045	0	0	0	0	0	0	0	0	0	0	0	0	37.4904	38.3965	5358.5994	0.0044	0	0.8007	-18.3416	-74.0308	0.1011	0.089	0.1078
0.5636	-17.8593	-73.6301	0.0802	0.055	0.1308	3.3775	-4.9167	-3.0416	-1.6828	2.3652	-1.8439	3.3919	-4.9282	-3.0274	-1.6665	2.3629	-1.8447	0.0144	-0.0115	0.0141	0.0163	-0.0023	-0.0008	0	0	0	0	0	0	0	0	0	0	0	0	37.4902	38.398	5358.6086	0.0051	0	0.5636	-17.8593	-73.6301	0.0802	0.055	0.1308
0.8902	-18.1806	-73.4758	0.117	0.0881	0.1175	3.3835	-4.928	-3.0402	-1.6602	2.3655	-1.8295	3.3926	-4.9368	-3.0256	-1.6489	2.3637	-1.8443	0.0092	-0.0088	0.0146	0.0114	-0.0018	-0.0149	0	0	0	0	0	0	0	0	0	0	0	0	37.4905	38.3981	5358.592	0.0057	0	0.8902	-18.1806	-73.4758	0.117	0.0881	0.1175
0.8451	-17.9827	-74.1321	0.1183	0.0955	0.1137	3.3857	-4.9368	-3.0372	-1.6363	2.3682	-1.824	3.3933	-4.9455	-3.0237	-1.6311	2.3646	-1.8439	0.0076	-0.0087	0.0135	0.0053	-0.0036	-0.02	0	0	0	0	0	0	0	0	0	0	0	0	37.4903	38.3984	5358.627	0.0064	0	0.8451	-17.9827	-74.1321	0.1183	0.0955	0.1137
0.9116	-17.5733	-74.0517	0.1127	0.1014	0.1081	3.3846	-4.9382	-3.0354	-1.6185	2.3713	-1.8298	3.3941	-4.9544	-3.0218	-1.6131	2.3655	-1.8435	0.0094	-0.0161	0.0136	0.0054	-0.0058	-0.0137	0	0	0	0	0	0	0	0	0	0	0	0	37.4891	38.3973	5358.7235	0.007	0	0.9116	-17.5733	-74.0517	0.1127	0.1014	0.1081
1.0616	-17.6473	-73.7555	0.0829	0.0935	0.1161	3.3869	-4.9506	-3.0352	-1.5963	2.3702	-1.8321	3.3948	-4.9633	-3.0198	-1.5948	2.3664	-1.8431	0.0079	-0.0127	0.0154	0.0016	-0.0038	-0.011	0	0	0	0	0	0	0	0	0	0	0	0	37.4897	38.3968	5358.6603	0.0077	0	1.0616	-17.6473	-73.7555	0.0829	0.0935	0.1161
0.8533	-17.8874	-73.6125	0.1183	0.0498	0.124	3.3852	-4.963	-3.0349	-1.5846	2.3755	-1.8424	3.3955	-4.9724	-3.0178	-1.5763	2.3673	-1.8426	0.0103	-0.0093	0.0171	0.0083	-0.0082	-0.0002	0	0	0	0	0	0	0	0	0	0	0	0	37.4908	38.3967	5358.6641	0.0084	0	0.8533	-17.8874	-73.6125	0.1183	0.0498	0.124
