Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
-0.5252	-0.9394	-200.3923	0.1359	0.0193	-0.0142	4.2957	-5.37	-2.982	-1.1732	3.8446	-2.0219	4.2534	-5.3648	-2.9872	-1.1514	3.6182	-1.987	-0.0423	0.0051	-0.0052	0.0218	-0.2263	0.0349	0	0	0	0	0	0	0	0	0	0	0	0	37.5882	38.5436	5365.4908	0.5245	0	-0.5252	-0.9394	-200.3923	0.1359	0.0193	-0.0142
-0.5087	-1.1654	-198.5719	0.1214	-0.0377	-0.0057	4.2848	-5.3666	-2.9841	-1.1589	3.804	-2.018	4.2366	-5.3618	-2.9914	-1.1551	3.5824	-1.9843	-0.0482	0.0048	-0.0074	0.0038	-0.2216	0.0338	0	0	0	0	0	0	0	0	0	0	0	0	37.5883	38.5434	5365.579	0.5251	0	-0.5087	-1.1654	-198.5719	0.1214	-0.0377	-0.0057
-0.3709	-0.8825	-199.5295	0.118	-0.0336	-0.0057	4.2682	-5.3647	-2.9907	-1.1643	3.7658	-2.0201	4.2198	-5.3589	-2.9956	-1.1587	3.5465	-1.9815	-0.0484	0.0058	-0.0049	0.0056	-0.2194	0.0386	0	0	0	0	0	0	0	0	0	0	0	0	37.5875	38.5433	5365.4782	0.5258	0	-0.3709	-0.8825	-199.5295	0.118	-0.0336	-0.0057
-0.552	-0.8291	-200.1557	0.1184	-0.0573	-0.0041	4.2559	-5.3646	-2.9961	-1.1748	3.7317	-2.0028	4.2029	-5.3559	-2.9998	-1.1622	3.5104	-1.9788	-0.053	0.0086	-0.0037	0.0126	-0.2213	0.024	0	0	0	0	0	0	0	0	0	0	0	0	37.5869	38.5433	5365.4344	0.5265	0	-0.552	-0.8291	-200.1557	0.1184	-0.0573	-0.0041
-0.8422	-1.2202	-199.8094	0.123	-0.0462	-0.0058	4.2398	-5.3591	-2.9977	-1.2007	3.7011	-2.0037	4.1859	-5.3531	-3.0039	-1.1656	3.4743	-1.9761	-0.0539	0.0061	-0.0062	0.0351	-0.2268	0.0276	0	0	0	0	0	0	0	0	0	0	0	0	37.5872	38.5434	5365.4567	0.5271	0	-0.8422	-1.2202	-199.8094	0.123	-0.0462	-0.0058
-1.0037	-1.007	-198.8829	0.1237	-0.0719	-0.0094	4.215	-5.3513	-3.0023	-1.1816	3.6623	-2.0139	4.1688	-5.3502	-3.008	-1.1688	3.438	-1.9733	-0.0462	0.0011	-0.0057	0.0128	-0.2243	0.0405	0	0	0	0	0	0	0	0	0	0	0	0	37.5856	38.5424	5365.2821	0.5278	0	-1.0037	-1.007	-198.8829	0.1237	-0.0719	-0.0094
-0.8662	-0.8535	-199.2457	0.1199	-0.1103	-0.0038	4.1961	-5.353	-3.0083	-1.195	3.6257	-2.0058	4.1517	-5.3475	-3.012	-1.172	3.4017	-1.9706	-0.0443	0.0055	-0.0037	0.023	-0.224	0.0352	0	0	0	0	0	0	0	0	0	0	0	0	37.5858	38.5433	5365.269	0.5284	0	-0.8662	-0.8535	-199.2457	0.1199	-0.1103	-0.0038
-0.5828	-0.8291	-199.8224	0.1533	-0.1124	-0.0109	4.1851	-5.3471	-3.0085	-1.192	3.5875	-2.0031	4.1345	-5.3447	-3.016	-1.175	3.3653	-1.9678	-0.0505	0.0023	-0.0075	0.017	-0.2222	0.0353	0	0	0	0	0	0	0	0	0	0	0	0	37.5854	38.5442	5365.3619	0.5291	0	-0.5828	-0.8291	-199.8224	0.1533	-0.1124	-0.0109
-0.5348	-0.8153	-199.1448	0.1572	-0.1145	-0.0074	4.1675	-5.3423	-3.0131	-1.2014	3.5493	-1.9994	4.1172	-5.3421	-3.02	-1.1779	3.3287	-1.965	-0.0503	0.0003	-0.0069	0.0235	-0.2205	0.0344	0	0	0	0	0	0	0	0	0	0	0	0	37.5842	38.5445	5365.319	0.5298	0	-0.5348	-0.8153	-199.1448	0.1572	-0.1145	-0.0074
-0.2693	-0.9068	-199.9354	0.1904	-0.0612	-0.0252	4.1506	-5.3415	-3.0163	-1.2081	3.514	-1.9958	4.0999	-5.3394	-3.0239	-1.1806	3.2921	-1.9623	-0.0507	0.0021	-0.0076	0.0275	-0.2219	0.0336	0	0	0	0	0	0	0	0	0	0	0	0	37.5851	38.5443	5365.4095	0.5304	0	-0.2693	-0.9068	-199.9354	0.1904	-0.0612	-0.0252
