Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
1.1053	-16.4124	-83.2511	-0.0111	-0.0673	0.1171	2.1476	-5.2168	-3.1849	-1.2219	0.2412	-1.6557	2.183	-5.2254	-3.1903	-1.2229	0.4279	-1.679	0.0354	-0.0087	-0.0054	-0.001	0.1868	-0.0233	0	0	0	0	0	0	0	0	0	0	0	0	37.5293	38.3785	5360.4793	0.0064	0	1.1053	-16.4124	-83.2511	-0.0111	-0.0673	0.1171
1.347	-16.9022	-83.9761	-0.013	0.0231	0.1036	2.1627	-5.2235	-3.1847	-1.2451	0.2735	-1.6547	2.1969	-5.2253	-3.1899	-1.2253	0.4547	-1.6812	0.0342	-0.0018	-0.0052	0.0198	0.1812	-0.0265	0	0	0	0	0	0	0	0	0	0	0	0	37.5293	38.3792	5360.5402	0.007	0	1.347	-16.9022	-83.9761	-0.013	0.0231	0.1036
0.8885	-16.8513	-82.7142	-0.0006	-0.0266	0.1153	2.1792	-5.2259	-3.1861	-1.2565	0.3067	-1.6618	2.2109	-5.2252	-3.1896	-1.2275	0.4819	-1.6834	0.0317	0.0007	-0.0035	0.0289	0.1752	-0.0216	0	0	0	0	0	0	0	0	0	0	0	0	37.5298	38.3793	5360.624	0.0077	0	0.8885	-16.8513	-82.7142	-0.0006	-0.0266	0.1153
0.8836	-16.4585	-83.1374	0.0063	-0.0316	0.1193	2.1851	-5.2233	-3.1846	-1.253	0.3273	-1.6672	2.225	-5.2251	-3.1892	-1.2297	0.5092	-1.6857	0.0399	-0.0018	-0.0046	0.0233	0.1819	-0.0184	0	0	0	0	0	0	0	0	0	0	0	0	37.5305	38.3797	5360.654	0.0084	0	0.8836	-16.4585	-83.1374	0.0063	-0.0316	0.1193
0.549	-16.2159	-82.4287	-0.0101	-0.0809	0.1321	2.2017	-5.2223	-3.188	-1.2501	0.3643	-1.6607	2.2393	-5.2251	-3.1888	-1.2319	0.5368	-1.6879	0.0376	-0.0028	-0.0007	0.0182	0.1725	-0.0272	0	0	0	0	0	0	0	0	0	0	0	0	37.5304	38.3802	5360.5711	0.009	0	0.549	-16.2159	-82.4287	-0.0101	-0.0809	0.1321
0.7187	-16.153	-83.6195	0.0165	-0.0455	0.1187	2.2195	-5.2247	-3.1866	-1.2533	0.3858	-1.6633	2.2538	-5.2251	-3.1883	-1.234	0.5648	-1.6902	0.0343	-0.0004	-0.0017	0.0193	0.179	-0.0269	0	0	0	0	0	0	0	0	0	0	0	0	37.5311	38.3798	5360.5621	0.0097	0	0.7187	-16.153	-83.6195	0.0165	-0.0455	0.1187
0.6161	-15.7325	-83.9833	0.0098	-0.0474	0.1121	2.2321	-5.2187	-3.1887	-1.2567	0.4233	-1.6703	2.2683	-5.2252	-3.1878	-1.236	0.593	-1.6925	0.0362	-0.0064	0.0009	0.0207	0.1697	-0.0222	0	0	0	0	0	0	0	0	0	0	0	0	37.531	38.3799	5360.433	0.0103	0	0.6161	-15.7325	-83.9833	0.0098	-0.0474	0.1121
0.6687	-15.7484	-83.9136	0.0085	-0.0711	0.1189	2.2485	-5.2204	-3.1865	-1.2478	0.4443	-1.6657	2.283	-5.2253	-3.1873	-1.238	0.6214	-1.6948	0.0346	-0.0049	-0.0007	0.0098	0.1771	-0.0291	0	0	0	0	0	0	0	0	0	0	0	0	37.5309	38.3786	5360.451	0.011	0	0.6687	-15.7484	-83.9136	0.0085	-0.0711	0.1189
0.9771	-16.2158	-84.7154	0.0408	0.0209	0.1062	2.2608	-5.2261	-3.19	-1.2305	0.4707	-1.6678	2.298	-5.2254	-3.1867	-1.2399	0.6503	-1.6972	0.0372	0.0007	0.0033	-0.0094	0.1796	-0.0293	0	0	0	0	0	0	0	0	0	0	0	0	37.5314	38.3783	5360.3159	0.0117	0	0.9771	-16.2158	-84.7154	0.0408	0.0209	0.1062
0.7799	-15.9256	-83.7519	0.0013	0.0018	0.1216	2.2722	-5.2225	-3.1859	-1.2412	0.5003	-1.6764	2.313	-5.2256	-3.1861	-1.2418	0.6794	-1.6996	0.0408	-0.0031	-0.0002	-0.0006	0.1792	-0.0232	0	0	0	0	0	0	0	0	0	0	0	0	37.5319	38.3789	5360.2544	0.0123	0	0.7799	-15.9256	-83.7519	0.0013	0.0018	0.1216
