Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 4 Template Name: Gilbert_Neutral.wvp

Acquisition Rate: 100 Waveform Frequency:  0.040
Time Stamp: 3 12, 2020 -- 16: 9: 59: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	FxRw	FyRw	FzRw	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	deg	N-m	N-m	N	N	N	deg	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	NA	NA	N	N	N	N-m	N-m	N-m
-1.9655	 0.2331	-7.6497	 0.1815	-0.1114	 0.0391	 0.1909	-0.3627	 0.1108	-0.0661	-0.8596	-0.6982	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.9655	-0.2331	-2.3503	 0.0661	 0.1114	-0.0391	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0825	36.7932	39035.4973	 0.0004	 0.0000	-1.9655	 0.2331	-7.6497	 0.1815	-0.1114	 0.0391
-1.2773	 1.1374	-8.5878	 0.0059	 0.0927	 0.0644	 0.1917	-0.3709	 0.1152	-0.0693	-0.8581	-0.6988	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2773	-1.1374	-1.4122	 0.0693	-0.0927	-0.0644	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0828	36.7926	39035.9690	 0.0008	 0.0000	-1.2773	 1.1374	-8.5878	 0.0059	 0.0927	 0.0644
-1.0054	 0.2522	-10.6617	 0.1451	 0.1598	 0.0080	 0.2110	-0.3877	 0.1163	-0.0722	-0.8658	-0.6864	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.0054	-0.2522	 0.6617	 0.0722	-0.1598	-0.0080	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0835	36.7926	39035.9981	 0.0012	 0.0000	-1.0054	 0.2522	-10.6617	 0.1451	 0.1598	 0.0080
-0.8161	 0.4230	-9.6688	 0.0663	 0.2350	 0.0025	 0.2181	-0.3741	 0.1091	-0.0636	-0.8721	-0.7022	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.8161	-0.4230	-0.3312	 0.0636	-0.2350	-0.0025	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0832	36.7920	39036.5488	 0.0016	 0.0000	-0.8161	 0.4230	-9.6688	 0.0663	 0.2350	 0.0025
-1.6989	 0.4195	-6.5606	 0.1609	-0.0518	 0.0310	 0.2203	-0.3809	 0.1143	-0.0881	-0.8729	-0.7014	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.6989	-0.4195	-3.4394	 0.0881	 0.0518	-0.0310	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0828	36.7923	39037.5434	 0.0020	 0.0000	-1.6989	 0.4195	-6.5606	 0.1609	-0.0518	 0.0310
-2.4204	 1.1431	-2.5451	 0.0466	-0.2315	 0.0742	 0.2241	-0.3861	 0.1181	-0.0842	-0.8843	-0.7016	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 2.4204	-1.1431	-7.4549	 0.0842	 0.2315	-0.0742	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0822	36.7916	39038.2954	 0.0024	 0.0000	-2.4204	 1.1431	-2.5451	 0.0466	-0.2315	 0.0742
-1.1312	 0.5247	-9.7395	 0.0781	 0.1003	 0.0199	 0.2233	-0.3894	 0.1105	-0.1052	-0.8787	-0.7134	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1312	-0.5247	-0.2605	 0.1052	-0.1003	-0.0199	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0819	36.7914	39038.2280	 0.0028	 0.0000	-1.1312	 0.5247	-9.7395	 0.0781	 0.1003	 0.0199
-2.2611	 0.9415	-7.9594	 0.0604	-0.2357	 0.0646	 0.2300	-0.3891	 0.1109	-0.1026	-0.8721	-0.7125	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 2.2611	-0.9415	-2.0406	 0.1026	 0.2357	-0.0646	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0821	36.7915	39039.0051	 0.0032	 0.0000	-2.2611	 0.9415	-7.9594	 0.0604	-0.2357	 0.0646
-1.4064	 0.9015	-8.6957	 0.0371	 0.0693	 0.0320	 0.2355	-0.3728	 0.1148	-0.0656	-0.8855	-0.7086	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4064	-0.9015	-1.3043	 0.0656	-0.0693	-0.0320	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0830	36.7916	39039.7685	 0.0036	 0.0000	-1.4064	 0.9015	-8.6957	 0.0371	 0.0693	 0.0320
