Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 30, 2024 -- 13: 47: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg
-1.4545	-3.5400	-3.4000	 0.3472	-0.2784	-0.1188	 0.8550	 0.0424	-4.0179	-0.0025	 0.0187	-0.0270	 0.0015	 0.0424	 0.0001	-0.0025	 0.0187	-0.0270	-0.4991	-0.0424	-1.1326	 0.0025	-0.0187	 0.0270
-2.0376	-3.6522	-3.4673	 0.4150	-0.3258	-0.1552	 0.8585	 0.0423	-4.0077	-0.0314	 0.0080	-0.0172	 0.0016	 0.0000	 0.0003	 0.0000	 0.0000	 0.0000	 0.0721	-0.0423	-1.1035	 0.0314	-0.0080	 0.0172
-0.5516	-3.8592	-1.3932	 0.4230	-0.2036	-0.1457	 0.8616	 0.0515	-4.0148	-0.0370	 0.0121	-0.0083	 0.0020	 0.0000	 0.0008	 0.0000	 0.0000	 0.0000	-1.4343	-0.0515	-3.1874	 0.0370	-0.0121	 0.0083
-0.3499	-4.4090	-3.5172	 0.4339	-0.1037	-0.1677	 0.8634	 0.0554	-4.0132	-0.0441	 0.0060	-0.0171	 0.0026	 0.0000	 0.0017	 0.0000	 0.0000	 0.0000	-1.6444	-0.0554	-1.0844	 0.0441	-0.0060	 0.0171
-2.2104	-3.0640	 0.6186	 0.4064	-0.4195	-0.1274	 0.8690	 0.0418	-4.0194	-0.0713	 0.0139	-0.0250	 0.0035	 0.0000	 0.0029	 0.0000	 0.0000	 0.0000	 0.2265	-0.0418	-5.1551	 0.0713	-0.0139	 0.0250
-1.3194	-4.2807	-4.4265	 0.4894	-0.2344	-0.1615	 0.8674	 0.0381	-4.0186	-0.0910	 0.0164	-0.0121	 0.0048	 0.0000	 0.0049	 0.0000	 0.0000	 0.0000	-0.6557	-0.0381	-0.0978	 0.0910	-0.0164	 0.0121
 0.0675	-3.5562	-3.3844	 0.3305	-0.0884	-0.1619	 0.8685	 0.0375	-4.0175	-0.0574	 0.0118	-0.0223	 0.0064	 0.0000	 0.0073	 0.0000	 0.0000	 0.0000	-2.0411	-0.0375	-1.1367	 0.0574	-0.0118	 0.0223
-1.5042	-3.0588	-1.6047	 0.2539	-0.2790	-0.1357	 0.8691	 0.0377	-4.0205	-0.0699	 0.0138	-0.0058	 0.0085	 0.0000	 0.0106	 0.0000	 0.0000	 0.0000	-0.4701	-0.0377	-2.9041	 0.0699	-0.0138	 0.0058
-0.0452	-4.5952	-10.0698	 0.4056	 0.0902	-0.2072	 0.8682	 0.0399	-4.0177	-0.0872	 0.0150	-0.0065	 0.0112	 0.0000	 0.0148	 0.0000	 0.0000	 0.0000	-1.9291	-0.0399	 5.5466	 0.0872	-0.0150	 0.0065
-0.4965	-3.9697	-6.7681	 0.4099	-0.0682	-0.1748	 0.8582	 0.0306	-4.0268	-0.0954	 0.0168	-0.0086	 0.0143	 0.0000	 0.0196	 0.0000	 0.0000	 0.0000	-1.4313	-0.0306	 2.3167	 0.0954	-0.0168	 0.0086
 1.6330	-5.3058	-13.2276	 0.4995	 0.3184	-0.2445	 0.8625	 0.0363	-4.0166	-0.0806	 0.0094	-0.0058	 0.0183	 0.0000	 0.0258	 0.0000	 0.0000	 0.0000	-3.5800	-0.0363	 8.7276	 0.0806	-0.0094	 0.0058
 0.2142	-4.7416	-9.8820	 0.4375	 0.1227	-0.2061	 0.8595	 0.0334	-4.0222	-0.0702	 0.0062	-0.0001	 0.0228	 0.0000	 0.0328	 0.0000	 0.0000	 0.0000	-2.1423	-0.0334	 5.4208	 0.0702	-0.0062	 0.0001
-1.2803	-3.3764	-3.5256	 0.3712	-0.2734	-0.1232	 0.8631	 0.0319	-4.0215	-0.0730	 0.0080	-0.0059	 0.0282	 0.0000	 0.0413	 0.0000	 0.0000	 0.0000	-0.6489	-0.0319	-0.9265	 0.0730	-0.0080	 0.0059
-0.0449	-3.9279	-0.3570	 0.3959	-0.0433	-0.1538	 0.8587	 0.0401	-4.0281	-0.1051	 0.0155	-0.0121	 0.0343	 0.0000	 0.0510	 0.0000	 0.0000	 0.0000	-1.8778	-0.0401	-4.0948	 0.1051	-0.0155	 0.0121
-0.8491	-3.4866	-1.5178	 0.3709	-0.1748	-0.1379	 0.8607	 0.0285	-4.0213	-0.0717	 0.0054	-0.0039	 0.0412	 0.0000	 0.0619	 0.0000	 0.0000	 0.0000	-1.0557	-0.0285	-2.9007	 0.0717	-0.0054	 0.0039
-1.0115	-4.4680	-6.7668	 0.4394	-0.0785	-0.2114	 0.8630	 0.0372	-4.0282	-0.0898	 0.0090	 0.0009	 0.0492	 0.0000	 0.0747	 0.0000	 0.0000	 0.0000	-0.9026	-0.0372	 2.3502	 0.0898	-0.0090	-0.0009
