Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 31, 2024 -- 13: 4: 51: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-1.9685	-0.5630	-0.6924	 0.0785	-0.3282	 0.0041	-0.1262	 0.0351	-2.6470	 0.1054	-0.1030	 0.0226	 0.0015	 0.0000	 0.0001	 0.0000	 0.0000	 0.0000	 2.3781	-0.0351	-9.5457	-0.1054	 0.1030	-0.0226	-0.4081	21.4967	10.2382	-0.0666	-0.0224	-0.0446	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4695	37.1350	5347.0897	 0.0004	 0.0000	-2.3767	20.9337	 9.5457	 0.0118	-0.3506	-0.0405
-1.6724	-0.4963	-0.7694	 0.0534	-0.2931	-0.0114	-0.1229	 0.0347	-2.6480	 0.0609	-0.1019	 0.0146	 0.0016	 0.0000	 0.0003	 0.0000	 0.0000	 0.0000	 2.0736	-0.0347	-9.4705	-0.0609	 0.1019	-0.0146	-0.3995	21.4901	10.2402	-0.0666	-0.0224	-0.0445	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4687	37.1360	5347.0306	 0.0008	 0.0000	-2.0719	20.9937	 9.4708	-0.0131	-0.3155	-0.0559
 0.3430	-1.5841	-11.0989	 0.0897	 0.1348	-0.0567	-0.1293	 0.0387	-2.6547	 0.0766	-0.0970	 0.0147	 0.0020	 0.0000	 0.0008	 0.0000	 0.0000	 0.0000	 0.0770	-0.0387	 0.8786	-0.0766	 0.0970	-0.0147	-0.4180	21.5122	10.2211	-0.0668	-0.0225	-0.0446	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4680	37.1354	5346.9857	 0.0012	 0.0000	-0.0750	19.9281	-0.8778	 0.0230	 0.1123	-0.1014
-2.7294	-0.9683	-3.0195	 0.1576	-0.4268	-0.0036	-0.1243	 0.0383	-2.6745	 0.0673	-0.0885	 0.0070	 0.0026	 0.0000	 0.0017	 0.0000	 0.0000	 0.0000	 3.1320	-0.0383	-7.0905	-0.0673	 0.0885	-0.0070	-0.3999	21.4064	10.1117	-0.0667	-0.0222	-0.0444	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4682	37.1349	5346.9904	 0.0016	 0.0000	-3.1294	20.4381	 7.0922	 0.0909	-0.4489	-0.0480
-2.0917	-0.6315	-2.8678	 0.0794	-0.3152	-0.0314	-0.1193	 0.0348	-2.6776	 0.0650	-0.0855	 0.0117	 0.0035	 0.0000	 0.0029	 0.0000	 0.0000	 0.0000	 2.4770	-0.0348	-7.2042	-0.0650	 0.0855	-0.0117	-0.3818	21.3375	10.0749	-0.0665	-0.0220	-0.0442	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4688	37.1349	5346.9720	 0.0020	 0.0000	-2.4735	20.7060	 7.2072	 0.0129	-0.3372	-0.0756
-0.8423	-0.2117	-0.8562	 0.0809	-0.2121	 0.0160	-0.1238	 0.0425	-2.6803	 0.0585	-0.0911	 0.0123	 0.0048	 0.0000	 0.0049	 0.0000	 0.0000	 0.0000	 1.2454	-0.0425	-9.2416	-0.0585	 0.0911	-0.0123	-0.3983	21.4327	10.1027	-0.0668	-0.0221	-0.0444	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4697	37.1353	5347.0601	 0.0024	 0.0000	-1.2406	21.2210	 9.2465	 0.0141	-0.2342	-0.0285
-1.2470	-0.3946	-2.9543	-0.0092	-0.2020	-0.0147	-0.1301	 0.0398	-2.6902	 0.0759	-0.0914	 0.0197	 0.0064	 0.0000	 0.0073	 0.0000	 0.0000	 0.0000	 1.6677	-0.0398	-7.0697	-0.0759	 0.0914	-0.0197	-0.4144	21.3431	10.0313	-0.0667	-0.0221	-0.0443	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4698	37.1359	5347.1770	 0.0028	 0.0000	-1.6613	20.9485	 7.0770	-0.0759	-0.2240	-0.0590
-2.4156	-0.6699	-0.7986	 0.0853	-0.3604	-0.0129	-0.1326	 0.0405	-2.6970	 0.0836	-0.1010	 0.0082	 0.0085	 0.0000	 0.0106	 0.0000	 0.0000	 0.0000	 2.8508	-0.0405	-9.1907	-0.0836	 0.1010	-0.0082	-0.4267	21.3247	10.0000	-0.0667	-0.0221	-0.0443	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4701	37.1364	5347.2156	 0.0032	 0.0000	-2.8423	20.6549	 9.2014	 0.0186	-0.3825	-0.0572
-1.3621	-0.2557	 0.1579	 0.0944	-0.3202	 0.0381	-0.1326	 0.0468	-2.7135	 0.0649	-0.0921	 0.0150	 0.0112	 0.0000	 0.0148	 0.0000	 0.0000	 0.0000	 1.7958	-0.0468	-10.0870	-0.0649	 0.0921	-0.0150	-0.4225	21.3246	 9.9439	-0.0669	-0.0219	-0.0443	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4698	37.1361	5347.3912	 0.0036	 0.0000	-1.7846	21.0690	10.1018	 0.0274	-0.3421	-0.0062
