Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 29, 2024 -- 12: 49: 14: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-0.6099	 2.2736	-253.3752	 0.0633	-0.1487	 0.0352	 1.1205	-0.9838	-1.0072	-0.7985	-0.5330	-0.4740	-0.0000	 0.0000	-250.0000	 0.0000	 0.0000	-0.0000	 0.6099	-2.2736	 3.3752	-0.0633	 0.1487	-0.0352	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2558	37.4710	5360.7980	 0.0006	 0.0000	-0.6099	 2.2736	-253.3752	 0.0633	-0.1487	 0.0352
 1.1862	-1.3202	-244.9021	-0.0331	-0.1805	-0.0157	 1.1437	-1.0217	-0.9964	-0.7973	-0.5309	-0.4359	-0.0000	 0.0000	-250.0000	 0.0002	 0.0000	-0.0000	-1.1862	 1.3202	-5.0979	 0.0333	 0.1805	 0.0157	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2543	37.4725	5360.9850	 0.0013	 0.0000	 1.1862	-1.3202	-244.9021	-0.0331	-0.1805	-0.0157
-1.3341	 1.4963	-253.8574	 0.0683	-0.1145	 0.0346	 1.1145	-0.9908	-1.0064	-0.7812	-0.5282	-0.4684	-0.0000	 0.0000	-250.0000	 0.0005	 0.0000	-0.0000	 1.3341	-1.4963	 3.8574	-0.0677	 0.1145	-0.0346	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2545	37.4740	5360.8948	 0.0020	 0.0000	-1.3341	 1.4963	-253.8574	 0.0683	-0.1145	 0.0346
 0.2488	-1.7997	-245.2267	-0.0581	-0.1601	 0.0138	 1.1327	-1.0243	-0.9997	-0.7809	-0.5267	-0.4400	-0.0000	 0.0000	-250.0000	 0.0011	 0.0000	-0.0000	-0.2488	 1.7997	-4.7733	 0.0591	 0.1601	-0.0138	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2553	37.4732	5360.8749	 0.0026	 0.0000	 0.2488	-1.7997	-245.2267	-0.0581	-0.1601	 0.0138
-0.4516	 0.8515	-253.6190	 0.0131	-0.1029	-0.0043	 1.1235	-1.0103	-1.0117	-0.8020	-0.5225	-0.4563	-0.0000	 0.0000	-250.0000	 0.0017	 0.0000	-0.0000	 0.4516	-0.8515	 3.6190	-0.0114	 0.1029	 0.0043	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2555	37.4720	5360.9514	 0.0033	 0.0000	-0.4516	 0.8515	-253.6190	 0.0131	-0.1029	-0.0043
 0.2261	-0.8091	-245.7863	-0.0385	-0.1382	 0.0161	 1.1288	-1.0009	-0.9986	-0.7915	-0.5266	-0.4555	 0.0000	-0.0000	-250.0000	 0.0026	-0.0000	 0.0000	-0.2261	 0.8091	-4.2137	 0.0411	 0.1382	-0.0161	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2549	37.4716	5360.8936	 0.0039	 0.0000	 0.2261	-0.8091	-245.7863	-0.0385	-0.1382	 0.0161
 0.0109	 1.0443	-253.7637	 0.0141	-0.0951	-0.0098	 1.1337	-1.0123	-1.0077	-0.7932	-0.5323	-0.4466	 0.0000	-0.0000	-250.0000	 0.0036	-0.0000	 0.0000	-0.0109	-1.0443	 3.7637	-0.0105	 0.0951	 0.0098	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2554	37.4715	5360.8145	 0.0046	 0.0000	 0.0109	 1.0443	-253.7637	 0.0141	-0.0951	-0.0098
 0.1336	-0.4757	-247.0586	-0.0120	-0.1031	 0.0253	 1.1237	-0.9976	-0.9980	-0.7931	-0.5281	-0.4595	 0.0000	-0.0000	-250.0000	 0.0048	-0.0000	 0.0000	-0.1336	 0.4757	-2.9414	 0.0168	 0.1031	-0.0253	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2554	37.4707	5360.8667	 0.0053	 0.0000	 0.1336	-0.4757	-247.0586	-0.0120	-0.1031	 0.0253
-0.1587	 0.9120	-252.6145	 0.0042	-0.1302	 0.0041	 1.1300	-1.0165	-1.0045	-0.7958	-0.5283	-0.4348	 0.0000	-0.0000	-250.0000	 0.0061	-0.0000	 0.0000	 0.1587	-0.9120	 2.6145	 0.0019	 0.1302	-0.0041	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2550	37.4704	5360.8412	 0.0059	 0.0000	-0.1587	 0.9120	-252.6145	 0.0042	-0.1302	 0.0041
-0.1183	-0.4720	-247.4498	 0.0069	-0.1693	 0.0382	 1.1240	-0.9995	-0.9994	-0.7958	-0.5251	-0.4512	 0.0000	-0.0000	-250.0000	 0.0076	-0.0000	 0.0000	 0.1183	 0.4720	-2.5502	 0.0007	 0.1693	-0.0382	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2541	37.4708	5360.7479	 0.0066	 0.0000	-0.1183	-0.4720	-247.4498	 0.0069	-0.1693	 0.0382
 0.0123	 0.4126	-252.6357	 0.0251	-0.1525	-0.0074	 1.1430	-1.0265	-1.0060	-0.8005	-0.5217	-0.4380	 0.0000	-0.0000	-250.0000	 0.0093	-0.0000	 0.0000	-0.0123	-0.4126	 2.6357	-0.0159	 0.1525	 0.0074	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2556	37.4714	5360.9382	 0.0072	 0.0000	 0.0123	 0.4126	-252.6357	 0.0251	-0.1525	-0.0074
-0.0824	-0.0525	-247.4337	-0.0136	-0.1299	 0.0372	 1.1289	-0.9976	-0.9978	-0.8029	-0.5233	-0.4621	-0.0000	 0.0000	-250.0000	 0.0111	 0.0000	-0.0000	 0.0824	 0.0525	-2.5663	 0.0247	 0.1299	-0.0372	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2556	37.4716	5361.0858	 0.0079	 0.0000	-0.0824	-0.0525	-247.4337	-0.0136	-0.1299	 0.0372
 0.1674	 0.5355	-251.3183	-0.0403	-0.1665	 0.0010	 1.1440	-1.0274	-1.0082	-0.8049	-0.5245	-0.4305	-0.0000	 0.0000	-250.0000	 0.0131	 0.0000	-0.0000	-0.1674	-0.5355	 1.3183	 0.0534	 0.1665	-0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2567	37.4719	5361.1084	 0.0086	 0.0000	 0.1674	 0.5355	-251.3183	-0.0403	-0.1665	 0.0010
-1.1487	-0.0101	-247.2255	 0.0161	-0.0951	 0.0496	 1.1171	-1.0000	-1.0004	-0.7949	-0.5172	-0.4659	-0.0000	 0.0000	-250.0000	 0.0153	 0.0000	-0.0000	 1.1487	 0.0101	-2.7745	-0.0008	 0.0951	-0.0496	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2576	37.4712	5360.9925	 0.0092	 0.0000	-1.1487	-0.0101	-247.2255	 0.0161	-0.0951	 0.0496
-0.3266	 0.0357	-251.2706	 0.0190	-0.1827	-0.0057	 1.1390	-1.0430	-1.0089	-0.7877	-0.5205	-0.4301	-0.0000	 0.0000	-250.0000	 0.0176	 0.0000	-0.0000	 0.3266	-0.0357	 1.2706	-0.0014	 0.1827	 0.0057	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2564	37.4721	5361.0069	 0.0099	 0.0000	-0.3266	 0.0357	-251.2706	 0.0190	-0.1827	-0.0057
 0.2289	 0.6670	-250.6898	 0.0321	-0.0884	 0.0383	 1.1281	-1.0024	-1.0035	-0.7854	-0.5170	-0.4622	-0.0000	 0.0000	-250.0000	 0.0201	 0.0000	-0.0000	-0.2289	-0.6670	 0.6898	-0.0120	 0.0884	-0.0383	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2563	37.4703	5361.0579	 0.0105	 0.0000	 0.2289	 0.6670	-250.6898	 0.0321	-0.0884	 0.0383
 0.7117	-0.5782	-248.1967	 0.0093	-0.1673	-0.0228	 1.1617	-1.0436	-1.0018	-0.7731	-0.5198	-0.4341	-0.0000	 0.0000	-250.0000	 0.0228	 0.0000	-0.0000	-0.7117	 0.5782	-1.8033	 0.0135	 0.1673	 0.0228	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2562	37.4709	5361.0015	 0.0112	 0.0000	 0.7117	-0.5782	-248.1967	 0.0093	-0.1673	-0.0228
-2.1512	 1.0260	-249.9910	 0.0460	-0.1267	 0.0633	 1.1026	-0.9960	-1.0041	-0.7877	-0.5200	-0.4699	-0.0000	 0.0000	-250.0000	 0.0256	 0.0000	-0.0000	 2.1512	-1.0260	-0.0090	-0.0204	 0.1267	-0.0633	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2564	37.4706	5360.9490	 0.0119	 0.0000	-2.1512	 1.0260	-249.9910	 0.0460	-0.1267	 0.0633
