Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 29, 2024 -- 12: 51: 52: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
 4.1549	 0.3884	-252.7294	-0.0011	-0.1554	-0.0437	 1.3712	-1.1570	-1.2357	-1.2874	-0.4153	-0.5575	 0.0000	-0.0000	-250.0000	-0.0000	 0.0000	-0.0000	-4.1549	-0.3884	 2.7294	 0.0011	 0.1554	 0.0437	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2743	37.4997	5361.0505	 0.0006	 0.0000	 4.1549	 0.3884	-252.7294	-0.0011	-0.1554	-0.0437
-0.8445	 1.5811	-250.0450	 0.0356	-0.0540	 0.0448	 1.3192	-1.1049	-1.2261	-1.2726	-0.4123	-0.5686	 0.0000	-0.0000	-250.0000	-0.0000	 0.0002	-0.0000	 0.8445	-1.5811	 0.0450	-0.0356	 0.0542	-0.0448	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2744	37.5003	5360.9323	 0.0013	 0.0000	-0.8445	 1.5811	-250.0450	 0.0356	-0.0540	 0.0448
-2.4480	-2.4540	-248.0408	-0.0709	 0.0151	 0.0156	 1.2869	-1.1888	-1.2315	-1.2816	-0.4078	-0.5294	 0.0000	-0.0000	-250.0000	-0.0000	 0.0005	-0.0000	 2.4480	 2.4540	-1.9592	 0.0709	-0.0146	-0.0156	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2741	37.4999	5360.9360	 0.0020	 0.0000	-2.4480	-2.4540	-248.0408	-0.0709	 0.0151	 0.0156
 2.3823	 2.7943	-255.4815	 0.0824	-0.0987	 0.0152	 1.3400	-1.1144	-1.2386	-1.2860	-0.4110	-0.5563	 0.0000	-0.0000	-250.0000	-0.0000	 0.0011	-0.0000	-2.3823	-2.7943	 5.4815	-0.0824	 0.0997	-0.0152	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2740	37.4993	5361.0880	 0.0026	 0.0000	 2.3823	 2.7943	-255.4815	 0.0824	-0.0987	 0.0152
 2.1762	-2.3818	-241.8723	-0.0501	-0.0830	-0.0039	 1.3514	-1.1617	-1.2200	-1.2882	-0.4086	-0.5469	 0.0000	-0.0000	-250.0000	-0.0000	 0.0017	-0.0000	-2.1762	 2.3818	-8.1277	 0.0501	 0.0847	 0.0039	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2747	37.5003	5361.0951	 0.0033	 0.0000	 2.1762	-2.3818	-241.8723	-0.0501	-0.0830	-0.0039
-6.0520	 1.1082	-256.1102	 0.0402	 0.0547	 0.0208	 1.2439	-1.1522	-1.2433	-1.2730	-0.4025	-0.5468	-0.0000	 0.0000	-250.0000	 0.0000	 0.0026	 0.0000	 6.0520	-1.1082	 6.1102	-0.0402	-0.0521	-0.0208	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2759	37.5017	5361.0925	 0.0039	 0.0000	-6.0520	 1.1082	-256.1102	 0.0402	 0.0547	 0.0208
 1.1652	-1.1564	-246.2701	-0.0395	-0.0762	-0.0226	 1.3083	-1.1526	-1.2317	-1.2787	-0.4063	-0.5472	-0.0000	 0.0000	-250.0000	 0.0000	 0.0036	 0.0000	-1.1652	 1.1564	-3.7299	 0.0395	 0.0798	 0.0226	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2757	37.5013	5361.0746	 0.0046	 0.0000	 1.1652	-1.1564	-246.2701	-0.0395	-0.0762	-0.0226
 4.3498	 1.0063	-252.9380	 0.0267	-0.1188	-0.0403	 1.3742	-1.1440	-1.2368	-1.2820	-0.4052	-0.5564	-0.0000	 0.0000	-250.0000	 0.0000	 0.0048	 0.0000	-4.3498	-1.0063	 2.9380	-0.0267	 0.1235	 0.0403	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2745	37.5014	5361.0541	 0.0053	 0.0000	 4.3498	 1.0063	-252.9380	 0.0267	-0.1188	-0.0403
-3.1275	 0.2786	-247.3311	 0.0171	-0.0364	 0.0269	 1.2922	-1.1170	-1.2251	-1.2717	-0.3999	-0.5670	-0.0000	 0.0000	-250.0000	 0.0000	 0.0061	 0.0000	 3.1275	-0.2786	-2.6689	-0.0171	 0.0425	-0.0269	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2738	37.5031	5361.1527	 0.0059	 0.0000	-3.1275	 0.2786	-247.3311	 0.0171	-0.0364	 0.0269
-3.7498	-0.9892	-250.9519	-0.0645	-0.0430	 0.0312	 1.2684	-1.1773	-1.2378	-1.2781	-0.4014	-0.5431	-0.0000	 0.0000	-250.0000	 0.0000	 0.0076	 0.0000	 3.7498	 0.9892	 0.9519	 0.0645	 0.0506	-0.0312	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2751	37.5022	5361.1880	 0.0066	 0.0000	-3.7498	-0.9892	-250.9519	-0.0645	-0.0430	 0.0312
 4.3827	 2.0343	-250.6004	 0.0347	-0.1644	 0.0247	 1.3550	-1.1080	-1.2306	-1.2717	-0.4120	-0.5645	-0.0000	 0.0000	-250.0000	 0.0000	 0.0093	 0.0000	-4.3827	-2.0343	 0.6004	-0.0347	 0.1736	-0.0247	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2760	37.5023	5361.1308	 0.0072	 0.0000	 4.3827	 2.0343	-250.6004	 0.0347	-0.1644	 0.0247
 2.3748	-2.4076	-246.0929	-0.0582	-0.0884	-0.0206	 1.3585	-1.1735	-1.2300	-1.2682	-0.4092	-0.5442	-0.0000	 0.0000	-250.0000	 0.0000	 0.0111	 0.0000	-2.3748	 2.4076	-3.9071	 0.0582	 0.0995	 0.0206	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2756	37.5021	5361.2197	 0.0079	 0.0000	 2.3748	-2.4076	-246.0929	-0.0582	-0.0884	-0.0206
-7.3427	 1.9157	-254.4992	 0.0306	 0.1014	 0.0550	 1.2205	-1.1217	-1.2380	-1.2771	-0.4031	-0.5566	 0.0000	-0.0000	-250.0000	-0.0000	 0.0131	-0.0000	 7.3427	-1.9157	 4.4992	-0.0306	-0.0883	-0.0550	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2749	37.5028	5361.2157	 0.0086	 0.0000	-7.3427	 1.9157	-254.4992	 0.0306	 0.1014	 0.0550
 1.4561	-3.2177	-245.2144	-0.0695	-0.0290	-0.0370	 1.3180	-1.1784	-1.2305	-1.2889	-0.4041	-0.5378	 0.0000	-0.0000	-250.0000	-0.0000	 0.0153	-0.0000	-1.4561	 3.2177	-4.7856	 0.0695	 0.0443	 0.0370	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2754	37.5034	5361.1973	 0.0092	 0.0000	 1.4561	-3.2177	-245.2144	-0.0695	-0.0290	-0.0370
 4.1649	 2.1185	-254.3805	 0.0632	-0.1392	-0.0206	 1.3730	-1.1242	-1.2405	-1.2825	-0.4025	-0.5683	 0.0000	-0.0000	-250.0000	-0.0000	 0.0176	-0.0000	-4.1649	-2.1185	 4.3805	-0.0632	 0.1568	 0.0206	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2759	37.5039	5361.2899	 0.0099	 0.0000	 4.1649	 2.1185	-254.3805	 0.0632	-0.1392	-0.0206
-2.1138	-0.0888	-247.2169	-0.0051	-0.0478	 0.0380	 1.3018	-1.1229	-1.2211	-1.2762	-0.4032	-0.5596	 0.0000	-0.0000	-250.0000	-0.0000	 0.0201	-0.0000	 2.1138	 0.0888	-2.7831	 0.0051	 0.0679	-0.0380	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2752	37.5024	5361.2811	 0.0105	 0.0000	-2.1138	-0.0888	-247.2169	-0.0051	-0.0478	 0.0380
-2.2049	-0.6362	-252.3794	-0.0294	-0.0591	 0.0283	 1.2941	-1.1721	-1.2399	-1.2776	-0.3981	-0.5405	 0.0000	-0.0000	-250.0000	-0.0000	 0.0228	-0.0000	 2.2049	 0.6362	 2.3794	 0.0294	 0.0819	-0.0283	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2754	37.5011	5361.2985	 0.0112	 0.0000	-2.2049	-0.6362	-252.3794	-0.0294	-0.0591	 0.0283
