Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 8 Template Name: Gilbert_Neutral.wvp

Acquisition Rate: 100 Waveform Frequency:  0.040
Time Stamp: 3 12, 2020 -- 17: 50: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	FxRw	FyRw	FzRw	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	deg	N-m	N-m	N	N	N	deg	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	NA	NA	N	N	N	N-m	N-m	N-m
-1.0667	 0.2866	-8.6561	 0.1000	 0.2363	-0.0069	 0.1006	-0.2757	 0.0973	-0.0244	-1.0019	 0.0132	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.0667	-0.2866	-1.3439	 0.0244	-0.2363	 0.0069	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1940	36.7623	38846.1312	 0.0004	 0.0000	-1.0667	 0.2866	-8.6561	 0.1000	 0.2363	-0.0069
-1.2697	 0.0443	-7.6189	 0.1985	 0.1936	 0.0158	 0.1139	-0.2802	 0.0932	-0.0108	-1.0030	 0.0156	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2697	-0.0443	-2.3811	 0.0108	-0.1936	-0.0158	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1939	36.7626	38845.3179	 0.0008	 0.0000	-1.2697	 0.0443	-7.6189	 0.1985	 0.1936	 0.0158
-1.5137	 0.5028	-8.5833	 0.0251	 0.0860	 0.0289	 0.1163	-0.2735	 0.0925	-0.0183	-1.0017	 0.0103	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.5137	-0.5028	-1.4167	 0.0183	-0.0860	-0.0289	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1936	36.7620	38845.0796	 0.0012	 0.0000	-1.5137	 0.5028	-8.5833	 0.0251	 0.0860	 0.0289
-3.9473	 0.7463	 0.7929	 0.1506	-0.6749	 0.0903	 0.1244	-0.2698	 0.0923	-0.0309	-1.0038	 0.0215	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 3.9473	-0.7463	-10.7929	 0.0309	 0.6749	-0.0903	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1933	36.7615	38844.9724	 0.0016	 0.0000	-3.9473	 0.7463	 0.7929	 0.1506	-0.6749	 0.0903
-1.3618	 0.1917	-7.6534	 0.0989	 0.1816	 0.0184	 0.1345	-0.2737	 0.0917	-0.0129	-1.0107	 0.0160	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.3618	-0.1917	-2.3466	 0.0129	-0.1816	-0.0184	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1933	36.7608	38845.6080	 0.0020	 0.0000	-1.3618	 0.1917	-7.6534	 0.0989	 0.1816	 0.0184
-1.4197	-0.0259	-7.6201	 0.1469	 0.1164	 0.0172	 0.1394	-0.2715	 0.1017	 0.0279	-1.0227	 0.0141	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4197	 0.0259	-2.3799	-0.0279	-0.1164	-0.0172	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1934	36.7618	38844.9937	 0.0024	 0.0000	-1.4197	-0.0259	-7.6201	 0.1469	 0.1164	 0.0172
-1.2555	-0.0884	-9.4895	 0.2419	 0.1391	 0.0277	 0.1368	-0.2621	 0.0891	 0.0055	-1.0253	 0.0086	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2555	 0.0884	-0.5105	-0.0055	-0.1391	-0.0277	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1942	36.7616	38845.4570	 0.0028	 0.0000	-1.2555	-0.0884	-9.4895	 0.2419	 0.1391	 0.0277
-1.3595	 0.2346	-6.4189	 0.1499	 0.1316	 0.0327	 0.1309	-0.2491	 0.0866	 0.0268	-1.0197	 0.0068	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.3595	-0.2346	-3.5811	-0.0268	-0.1316	-0.0327	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1943	36.7625	38845.6138	 0.0032	 0.0000	-1.3595	 0.2346	-6.4189	 0.1499	 0.1316	 0.0327
-1.3551	-0.0941	-10.4109	 0.1891	 0.1165	 0.0170	 0.1409	-0.2438	 0.0842	 0.0292	-1.0244	 0.0103	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.3551	 0.0941	 0.4109	-0.0292	-0.1165	-0.0170	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1949	36.7630	38845.9501	 0.0036	 0.0000	-1.3551	-0.0941	-10.4109	 0.1891	 0.1165	 0.0170
