Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 8 Template Name: Gilbert_Neutral.wvp

Acquisition Rate: 100 Waveform Frequency:  0.040
Time Stamp: 3 12, 2020 -- 19: 59: 33: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	FxRw	FyRw	FzRw	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	deg	N-m	N-m	N	N	N	deg	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	NA	NA	N	N	N	N-m	N-m	N-m
-1.0110	 0.3492	-11.4634	-0.5027	 0.0990	-0.0076	-0.1256	 0.3870	 0.4538	-0.0297	-2.4401	 1.3144	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.0110	-0.3492	 1.4634	 0.0297	-0.0990	 0.0076	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9387	36.5750	38790.6593	 0.0004	 0.0000	-1.0110	 0.3492	-11.4634	-0.5027	 0.0990	-0.0076
-0.7962	 0.0700	-10.5060	-0.4209	 0.1269	 0.0022	-0.1215	 0.3796	 0.4532	-0.0290	-2.4340	 1.3144	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.7962	-0.0700	 0.5060	 0.0290	-0.1269	-0.0022	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9387	36.5752	38787.4977	 0.0008	 0.0000	-0.7962	 0.0700	-10.5060	-0.4209	 0.1269	 0.0022
-0.5375	 0.0932	-11.6548	-0.4389	 0.2539	-0.0063	-0.1092	 0.3704	 0.4489	-0.0464	-2.4315	 1.3028	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.5375	-0.0932	 1.6548	 0.0464	-0.2539	 0.0063	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9385	36.5756	38784.4755	 0.0012	 0.0000	-0.5375	 0.0932	-11.6548	-0.4389	 0.2539	-0.0063
-1.3389	 0.1297	-9.6609	-0.3415	-0.0268	 0.0154	-0.1094	 0.3569	 0.4513	-0.0187	-2.4378	 1.3090	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.3389	-0.1297	-0.3391	 0.0187	 0.0268	-0.0154	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9375	36.5754	38780.6167	 0.0016	 0.0000	-1.3389	 0.1297	-9.6609	-0.3415	-0.0268	 0.0154
-1.2842	 0.4671	-6.6813	-0.4846	-0.0060	 0.0021	-0.1052	 0.3685	 0.4488	-0.0294	-2.4342	 1.3175	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2842	-0.4671	-3.3187	 0.0294	 0.0060	-0.0021	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9386	36.5759	38776.5306	 0.0020	 0.0000	-1.2842	 0.4671	-6.6813	-0.4846	-0.0060	 0.0021
-0.8615	 0.3084	-9.8153	-0.4656	 0.0854	 0.0036	-0.0999	 0.3643	 0.4446	-0.0342	-2.4402	 1.3278	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.8615	-0.3084	-0.1847	 0.0342	-0.0854	-0.0036	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9381	36.5755	38771.8883	 0.0024	 0.0000	-0.8615	 0.3084	-9.8153	-0.4656	 0.0854	 0.0036
-1.4092	 0.5205	-9.8598	-0.5282	-0.0142	 0.0048	-0.1017	 0.3766	 0.4421	-0.0233	-2.4376	 1.3247	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4092	-0.5205	-0.1402	 0.0233	 0.0142	-0.0048	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9387	36.5768	38766.3938	 0.0028	 0.0000	-1.4092	 0.5205	-9.8598	-0.5282	-0.0142	 0.0048
-1.4763	 0.4765	-9.8251	-0.5138	-0.0295	 0.0174	-0.0984	 0.3753	 0.4567	-0.0107	-2.4433	 1.3213	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4763	-0.4765	-0.1749	 0.0107	 0.0295	-0.0174	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9383	36.5766	38760.8819	 0.0032	 0.0000	-1.4763	 0.4765	-9.8251	-0.5138	-0.0295	 0.0174
-1.4520	 0.5273	-8.7814	-0.4936	-0.0822	 0.0181	-0.1095	 0.3850	 0.4458	-0.0236	-2.4368	 1.2895	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4520	-0.5273	-1.2186	 0.0236	 0.0822	-0.0181	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9388	36.5763	38755.7475	 0.0036	 0.0000	-1.4520	 0.5273	-8.7814	-0.4936	-0.0822	 0.0181
-0.5515	 0.4346	-8.7092	-0.5218	 0.1971	-0.0080	-0.1053	 0.3909	 0.4453	-0.0252	-2.4329	 1.3021	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.5515	-0.4346	-1.2908	 0.0252	-0.1971	 0.0080	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9397	36.5756	38750.3408	 0.0040	 0.0000	-0.5515	 0.4346	-8.7092	-0.5218	 0.1971	-0.0080
-0.9478	 0.1153	-10.0334	-0.3772	 0.0770	 0.0385	-0.1031	 0.3991	 0.4472	-0.0296	-2.4315	 1.3041	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9478	-0.1153	 0.0334	 0.0296	-0.0770	-0.0385	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9396	36.5759	38744.9542	 0.0044	 0.0000	-0.9478	 0.1153	-10.0334	-0.3772	 0.0770	 0.0385
-1.4018	 0.2254	-9.0028	-0.4324	-0.0672	 0.0033	-0.0992	 0.3958	 0.4493	-0.0227	-2.4304	 1.3129	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.4018	-0.2254	-0.9972	 0.0227	 0.0672	-0.0033	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9403	36.5763	38738.7852	 0.0048	 0.0000	-1.4018	 0.2254	-9.0028	-0.4324	-0.0672	 0.0033
-1.5195	 0.0693	-9.7863	-0.3761	-0.0850	-0.0055	-0.0936	 0.3923	 0.4486	-0.0039	-2.4378	 1.3251	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.5195	-0.0693	-0.2137	 0.0039	 0.0850	 0.0055	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9401	36.5756	38734.2338	 0.0052	 0.0000	-1.5195	 0.0693	-9.7863	-0.3761	-0.0850	-0.0055
-0.7254	 0.1355	-11.6520	-0.4154	 0.1095	-0.0105	-0.0971	 0.3978	 0.4451	-0.0164	-2.4333	 1.3253	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.7254	-0.1355	 1.6520	 0.0164	-0.1095	 0.0105	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9399	36.5750	38729.1083	 0.0056	 0.0000	-0.7254	 0.1355	-11.6520	-0.4154	 0.1095	-0.0105
-0.8281	 0.4833	-12.7590	-0.5575	 0.0318	 0.0018	-0.0856	 0.3942	 0.4428	-0.0006	-2.4332	 1.3089	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.8281	-0.4833	 2.7590	 0.0006	-0.0318	-0.0018	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9405	36.5746	38725.2131	 0.0060	 0.0000	-0.8281	 0.4833	-12.7590	-0.5575	 0.0318	 0.0018
-0.3110	 0.1962	-11.7741	-0.4567	 0.2241	-0.0223	-0.0906	 0.4050	 0.4371	-0.0257	-2.4295	 1.3162	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.3110	-0.1962	 1.7741	 0.0257	-0.2241	 0.0223	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9399	36.5740	38721.9796	 0.0064	 0.0000	-0.3110	 0.1962	-11.7741	-0.4567	 0.2241	-0.0223
-1.1835	 0.0886	-11.7683	-0.4462	-0.0304	 0.0026	-0.0918	 0.4004	 0.4494	-0.0094	-2.4334	 1.3160	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1835	-0.0886	 1.7683	 0.0094	 0.0304	-0.0026	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9398	36.5739	38719.5881	 0.0068	 0.0000	-1.1835	 0.0886	-11.7683	-0.4462	-0.0304	 0.0026
-0.9655	 0.2612	-9.6386	-0.4264	 0.0723	-0.0201	-0.0871	 0.4105	 0.4481	-0.0212	-2.4375	 1.3329	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9655	-0.2612	-0.3614	 0.0212	-0.0723	 0.0201	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9396	36.5747	38716.9716	 0.0072	 0.0000	-0.9655	 0.2612	-9.6386	-0.4264	 0.0723	-0.0201
-0.2053	-0.0488	-11.4956	-0.3632	 0.2800	 0.0010	-0.0936	 0.4127	 0.4464	-0.0180	-2.4312	 1.3211	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.2053	 0.0488	 1.4956	 0.0180	-0.2800	-0.0010	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9398	36.5758	38715.4819	 0.0076	 0.0000	-0.2053	-0.0488	-11.4956	-0.3632	 0.2800	 0.0010
-0.6549	 0.3171	-10.6222	-0.4871	 0.1190	 0.0172	-0.0833	 0.4133	 0.4455	-0.0274	-2.4373	 1.3302	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.6549	-0.3171	 0.6222	 0.0274	-0.1190	-0.0172	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9402	36.5757	38715.3071	 0.0080	 0.0000	-0.6549	 0.3171	-10.6222	-0.4871	 0.1190	 0.0172
-0.8222	 0.0919	-10.8352	-0.4532	 0.0657	 0.0031	-0.0924	 0.4205	 0.4466	-0.0061	-2.4398	 1.3165	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.8222	-0.0919	 0.8352	 0.0061	-0.0657	-0.0031	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9408	36.5760	38715.2691	 0.0084	 0.0000	-0.8222	 0.0919	-10.8352	-0.4532	 0.0657	 0.0031
-1.0618	 0.5017	-11.8230	-0.5414	-0.0212	 0.0024	-0.0933	 0.4468	 0.4373	-0.0151	-2.4424	 1.3072	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.0618	-0.5017	 1.8230	 0.0151	 0.0212	-0.0024	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9406	36.5751	38716.0178	 0.0088	 0.0000	-1.0618	 0.5017	-11.8230	-0.5414	-0.0212	 0.0024
-0.1359	 0.4867	-12.9189	-0.5753	 0.3257	 0.0140	-0.0845	 0.4424	 0.4489	-0.0036	-2.4428	 1.3062	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.1359	-0.4867	 2.9189	 0.0036	-0.3257	-0.0140	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9408	36.5747	38716.6658	 0.0092	 0.0000	-0.1359	 0.4867	-12.9189	-0.5753	 0.3257	 0.0140
-0.4700	-0.0271	-12.7127	-0.3911	 0.1865	-0.0308	-0.0990	 0.4482	 0.4481	-0.0007	-2.4434	 1.3163	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.4700	 0.0271	 2.7127	 0.0007	-0.1865	 0.0308	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9400	36.5749	38716.6629	 0.0096	 0.0000	-0.4700	-0.0271	-12.7127	-0.3911	 0.1865	-0.0308
-1.2627	 0.0205	-11.7942	-0.3463	-0.0949	 0.0256	-0.0909	 0.4504	 0.4515	-0.0007	-2.4449	 1.3245	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2627	-0.0205	 1.7942	 0.0007	 0.0949	-0.0256	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9400	36.5749	38717.2111	 0.0100	 0.0000	-1.2627	 0.0205	-11.7942	-0.3463	-0.0949	 0.0256
-1.1178	-0.0033	-6.8084	-0.3715	-0.0004	 0.0353	-0.0852	 0.4474	 0.4421	-0.0358	-2.4401	 1.3234	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1178	 0.0033	-3.1916	 0.0358	 0.0004	-0.0353	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9395	36.5758	38718.1215	 0.0104	 0.0000	-1.1178	-0.0033	-6.8084	-0.3715	-0.0004	 0.0353
-0.4050	 0.8191	-11.7262	-0.6248	 0.1669	-0.0065	-0.0864	 0.4439	 0.4504	-0.0139	-2.4477	 1.3388	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.4050	-0.8191	 1.7262	 0.0139	-0.1669	 0.0065	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9385	36.5763	38719.2422	 0.0108	 0.0000	-0.4050	 0.8191	-11.7262	-0.6248	 0.1669	-0.0065
-1.1060	-0.1937	-10.9039	-0.3733	 0.0304	-0.0126	-0.0829	 0.4532	 0.4427	-0.0027	-2.4431	 1.3359	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1060	 0.1937	 0.9039	 0.0027	-0.0304	 0.0126	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9381	36.5762	38719.8529	 0.0112	 0.0000	-1.1060	-0.1937	-10.9039	-0.3733	 0.0304	-0.0126
-0.2160	 0.1147	-10.8005	-0.4403	 0.2855	 0.0106	-0.0851	 0.4591	 0.4450	-0.0129	-2.4402	 1.3397	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.2160	-0.1147	 0.8005	 0.0129	-0.2855	-0.0106	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9376	36.5761	38720.8676	 0.0116	 0.0000	-0.2160	 0.1147	-10.8005	-0.4403	 0.2855	 0.0106
-0.9011	 0.2730	-10.7998	-0.4973	 0.0346	 0.0016	-0.0770	 0.4651	 0.4411	-0.0399	-2.4439	 1.3379	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9011	-0.2730	 0.7998	 0.0399	-0.0346	-0.0016	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9374	36.5757	38721.3603	 0.0120	 0.0000	-0.9011	 0.2730	-10.7998	-0.4973	 0.0346	 0.0016
-4.9169	 0.8848	 3.6149	-0.4071	-0.9794	 0.1243	-0.0686	 0.4629	 0.4407	-0.0214	-2.4371	 1.3262	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 4.9169	-0.8848	-13.6149	 0.0214	 0.9794	-0.1243	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9378	36.5764	38721.4237	 0.0124	 0.0000	-4.9169	 0.8848	 3.6149	-0.4071	-0.9794	 0.1243
-0.9048	 0.2781	-10.8707	-0.4497	 0.0418	-0.0082	-0.0700	 0.4521	 0.4400	-0.0118	-2.4487	 1.3118	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9048	-0.2781	 0.8707	 0.0118	-0.0418	 0.0082	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9372	36.5768	38721.3215	 0.0128	 0.0000	-0.9048	 0.2781	-10.8707	-0.4497	 0.0418	-0.0082
-1.2639	 0.2099	-11.8482	-0.4032	-0.0802	 0.0288	-0.0609	 0.4451	 0.4459	 0.0190	-2.4505	 1.3202	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2639	-0.2099	 1.8482	-0.0190	 0.0802	-0.0288	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9375	36.5750	38720.7799	 0.0132	 0.0000	-1.2639	 0.2099	-11.8482	-0.4032	-0.0802	 0.0288
-1.2642	 0.7462	-8.7695	-0.5266	-0.0722	 0.0195	-0.0712	 0.4471	 0.4494	 0.0101	-2.4497	 1.3086	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2642	-0.7462	-1.2305	-0.0101	 0.0722	-0.0195	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9379	36.5748	38719.8879	 0.0136	 0.0000	-1.2642	 0.7462	-8.7695	-0.5266	-0.0722	 0.0195
-1.1346	 0.2950	-9.7903	-0.4557	 0.0152	-0.0063	-0.0660	 0.4460	 0.4449	 0.0084	-2.4426	 1.3030	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1346	-0.2950	-0.2097	-0.0084	-0.0152	 0.0063	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9377	36.5737	38718.4933	 0.0140	 0.0000	-1.1346	 0.2950	-9.7903	-0.4557	 0.0152	-0.0063
-1.8914	 0.3935	-8.8472	-0.4769	-0.2114	 0.0508	-0.0692	 0.4542	 0.4379	 0.0065	-2.4489	 1.2896	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.8914	-0.3935	-1.1528	-0.0065	 0.2114	-0.0508	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9387	36.5731	38716.5378	 0.0144	 0.0000	-1.8914	 0.3935	-8.8472	-0.4769	-0.2114	 0.0508
-1.1385	-0.0322	-8.7950	-0.3749	-0.0262	 0.0450	-0.0724	 0.4523	 0.4503	 0.0059	-2.4492	 1.3104	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1385	 0.0322	-1.2050	-0.0059	 0.0262	-0.0450	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9394	36.5734	38715.0060	 0.0148	 0.0000	-1.1385	-0.0322	-8.7950	-0.3749	-0.0262	 0.0450
-1.1348	 0.8878	-12.8924	-0.6430	-0.0591	-0.0066	-0.0676	 0.4501	 0.4434	 0.0152	-2.4540	 1.2929	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1348	-0.8878	 2.8924	-0.0152	 0.0591	 0.0066	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9388	36.5741	38713.4116	 0.0152	 0.0000	-1.1348	 0.8878	-12.8924	-0.6430	-0.0591	-0.0066
-1.2110	 0.6896	-9.9072	-0.5687	-0.0084	 0.0491	-0.0618	 0.4470	 0.4508	 0.0079	-2.4528	 1.2986	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.2110	-0.6896	-0.0928	-0.0079	 0.0084	-0.0491	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9387	36.5745	38712.1966	 0.0156	 0.0000	-1.2110	 0.6896	-9.9072	-0.5687	-0.0084	 0.0491
-1.6894	 0.2799	-7.9520	-0.4756	-0.1134	 0.0155	-0.0602	 0.4346	 0.4503	 0.0231	-2.4450	 1.3021	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.6894	-0.2799	-2.0480	-0.0231	 0.1134	-0.0155	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9393	36.5738	38710.6620	 0.0160	 0.0000	-1.6894	 0.2799	-7.9520	-0.4756	-0.1134	 0.0155
-1.7056	 0.2120	-7.8045	-0.4775	-0.1732	 0.0052	-0.0572	 0.4339	 0.4503	 0.0273	-2.4467	 1.2831	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.7056	-0.2120	-2.1955	-0.0273	 0.1732	-0.0052	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	34.9395	36.5732	38709.7477	 0.0164	 0.0000	-1.7056	 0.2120	-7.8045	-0.4775	-0.1732	 0.0052
