Fx	Fy	Fz	Mx	My	Mz	XMm	YMm	ZMm	Xdeg	Ydeg	Zdeg	XWf	YWf	ZWf	XaWf	YaWf	ZaWf	XEr	YEr	ZEr	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
0.2681	-3.812	-2.7177	0.0956	0.3886	-0.0397	0.5652	-1.4554	0.8797	1.4737	1.6656	0.092	0.556	-1.4438	0.8764	1.4776	1.5324	0.0744	-0.0092	0.0115	-0.0033	0.0039	-0.1332	-0.0175	0	0	0	0	0	0	0	0	0	0	0	0	36.3597	37.443	5369.3802	0.8	0	0.2681	-3.812	-2.7177	0.0956	0.3886	-0.0397
0.2346	-3.5985	-2.7475	0.0833	0.3697	-0.041	0.5663	-1.4476	0.879	1.481	1.6627	0.0867	0.556	-1.443	0.8752	1.4759	1.5318	0.0746	-0.0103	0.0046	-0.0038	-0.0051	-0.1308	-0.0121	0	0	0	0	0	0	0	0	0	0	0	0	36.3609	37.4424	5369.4169	0.8004	0	0.2346	-3.5985	-2.7475	0.0833	0.3697	-0.041
0.2187	-3.6949	-2.7073	0.0917	0.3751	-0.0422	0.5715	-1.4465	0.8798	1.4734	1.6683	0.0911	0.556	-1.4423	0.8741	1.4741	1.5313	0.0747	-0.0155	0.0043	-0.0058	0.0007	-0.137	-0.0164	0	0	0	0	0	0	0	0	0	0	0	0	36.36	37.4424	5369.4558	0.8008	0	0.2187	-3.6949	-2.7073	0.0917	0.3751	-0.0422
0.3153	-3.7441	-3.7908	0.084	0.4425	-0.0551	0.5725	-1.4457	0.8762	1.4818	1.6647	0.0923	0.556	-1.4415	0.8729	1.4723	1.5307	0.0749	-0.0165	0.0042	-0.0034	-0.0095	-0.1339	-0.0174	0	0	0	0	0	0	0	0	0	0	0	0	36.3594	37.4437	5369.48	0.8012	0	0.3153	-3.7441	-3.7908	0.084	0.4425	-0.0551
0.2686	-3.7868	-2.701	0.089	0.3927	-0.0391	0.5684	-1.4465	0.8775	1.4804	1.6613	0.0923	0.556	-1.4407	0.8717	1.4706	1.5302	0.075	-0.0123	0.0058	-0.0058	-0.0098	-0.1311	-0.0172	0	0	0	0	0	0	0	0	0	0	0	0	36.3598	37.4446	5369.4497	0.8016	0	0.2686	-3.7868	-2.701	0.089	0.3927	-0.0391
0.4277	-4.0162	-3.2663	0.1124	0.43	-0.0447	0.568	-1.4443	0.8744	1.4787	1.6637	0.098	0.5561	-1.4399	0.8705	1.4688	1.5296	0.0752	-0.0119	0.0045	-0.0039	-0.0099	-0.1341	-0.0228	0	0	0	0	0	0	0	0	0	0	0	0	36.359	37.4454	5369.4293	0.802	0	0.4277	-4.0162	-3.2663	0.1124	0.43	-0.0447
0.3218	-3.7452	-2.8725	0.0877	0.3759	-0.0346	0.5711	-1.4424	0.8718	1.4767	1.6649	0.1035	0.5561	-1.4391	0.8693	1.467	1.5291	0.0753	-0.015	0.0033	-0.0025	-0.0097	-0.1358	-0.0281	0	0	0	0	0	0	0	0	0	0	0	0	36.3593	37.4451	5369.4111	0.8024	0	0.3218	-3.7452	-2.8725	0.0877	0.3759	-0.0346
0.1656	-3.7835	-2.914	0.0993	0.3748	-0.0401	0.568	-1.4457	0.8661	1.4535	1.6679	0.0902	0.5561	-1.4383	0.8681	1.4653	1.5285	0.0755	-0.0119	0.0074	0.002	0.0117	-0.1395	-0.0147	0	0	0	0	0	0	0	0	0	0	0	0	36.3601	37.4432	5369.3767	0.8028	0	0.1656	-3.7835	-2.914	0.0993	0.3748	-0.0401
0.2865	-3.7101	-2.9078	0.0659	0.3987	-0.0498	0.5688	-1.4404	0.8679	1.4641	1.6656	0.0906	0.5561	-1.4375	0.8669	1.4635	1.5279	0.0756	-0.0127	0.0029	-0.001	-0.0006	-0.1377	-0.015	0	0	0	0	0	0	0	0	0	0	0	0	36.3617	37.4422	5369.4128	0.8032	0	0.2865	-3.7101	-2.9078	0.0659	0.3987	-0.0498
0.2083	-3.633	-3.1842	0.0773	0.4061	-0.0449	0.5703	-1.4408	0.8686	1.4725	1.6609	0.0933	0.5561	-1.4367	0.8657	1.4617	1.5273	0.0758	-0.0142	0.0041	-0.0028	-0.0107	-0.1336	-0.0176	0	0	0	0	0	0	0	0	0	0	0	0	36.3604	37.4432	5369.308	0.8036	0	0.2083	-3.633	-3.1842	0.0773	0.4061	-0.0449
