Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: Gilbert_Neutral.wvp

Acquisition Rate: 100 Waveform Frequency:  0.040
Time Stamp: 3 12, 2020 -- 16: 1: 19: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	FxRw	FyRw	FzRw	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	deg	N-m	N-m	N	N	N	deg	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	NA	NA	N	N	N	N-m	N-m	N-m
-0.6722	 0.2831	-8.7331	 0.1014	 0.1645	 0.0162	 0.6201	-0.1961	-0.0604	-0.0080	-1.2572	-0.4992	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.6722	-0.2831	-1.2669	 0.0080	-0.1645	-0.0162	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0993	36.8030	38892.2903	 0.0004	 0.0000	-0.6722	 0.2831	-8.7331	 0.1014	 0.1645	 0.0162
-0.8857	 0.0358	-9.6323	 0.2063	 0.0534	-0.0033	 0.6132	-0.1959	-0.0727	-0.0258	-1.2652	-0.4953	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.8857	-0.0358	-0.3677	 0.0258	-0.0534	 0.0033	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0998	36.8031	38891.1637	 0.0008	 0.0000	-0.8857	 0.0358	-9.6323	 0.2063	 0.0534	-0.0033
-0.1786	 0.2908	-11.7664	 0.1734	 0.2128	 0.0148	 0.6251	-0.2052	-0.0627	-0.0056	-1.2643	-0.4981	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.1786	-0.2908	 1.7664	 0.0056	-0.2128	-0.0148	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1002	36.8032	38889.7260	 0.0012	 0.0000	-0.1786	 0.2908	-11.7664	 0.1734	 0.2128	 0.0148
-0.6794	 0.2809	-10.7664	 0.1423	 0.0978	 0.0184	 0.6183	-0.2086	-0.0551	 0.0119	-1.2708	-0.4823	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.6794	-0.2809	 0.7664	-0.0119	-0.0978	-0.0184	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1007	36.8027	38887.8294	 0.0016	 0.0000	-0.6794	 0.2809	-10.7664	 0.1423	 0.0978	 0.0184
-1.5531	 0.4873	-8.8223	 0.0881	-0.0711	 0.0153	 0.6356	-0.2136	-0.0583	 0.0158	-1.2682	-0.4966	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.5531	-0.4873	-1.1777	-0.0158	 0.0711	-0.0153	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1008	36.8028	38886.5113	 0.0020	 0.0000	-1.5531	 0.4873	-8.8223	 0.0881	-0.0711	 0.0153
-0.9583	 0.7138	-11.6944	 0.0862	 0.0497	 0.0387	 0.6324	-0.2143	-0.0608	 0.0162	-1.2712	-0.5109	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9583	-0.7138	 1.6944	-0.0162	-0.0497	-0.0387	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1007	36.8033	38884.7410	 0.0024	 0.0000	-0.9583	 0.7138	-11.6944	 0.0862	 0.0497	 0.0387
-1.1285	 0.7169	-10.6629	 0.0726	-0.0383	 0.0166	 0.6271	-0.2167	-0.0572	-0.0185	-1.2637	-0.4944	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.1285	-0.7169	 0.6629	 0.0185	 0.0383	-0.0166	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1015	36.8045	38883.0227	 0.0028	 0.0000	-1.1285	 0.7169	-10.6629	 0.0726	-0.0383	 0.0166
-0.5119	 0.0627	-11.5229	 0.1949	 0.1687	 0.0251	 0.6480	-0.2104	-0.0648	-0.0112	-1.2682	-0.4949	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.5119	-0.0627	 1.5229	 0.0112	-0.1687	-0.0251	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1015	36.8050	38881.4080	 0.0032	 0.0000	-0.5119	 0.0627	-11.5229	 0.1949	 0.1687	 0.0251
-2.1222	 0.6748	-5.5791	 0.0822	-0.3062	 0.0532	 0.6475	-0.2215	-0.0555	 0.0116	-1.2607	-0.5028	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 2.1222	-0.6748	-4.4209	-0.0116	 0.3062	-0.0532	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1013	36.8054	38880.7395	 0.0036	 0.0000	-2.1222	 0.6748	-5.5791	 0.0822	-0.3062	 0.0532
-0.3018	 0.3709	-9.6857	 0.1230	 0.1934	 0.0060	 0.6559	-0.2213	-0.0538	-0.0011	-1.2697	-0.5117	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.3018	-0.3709	-0.3143	 0.0011	-0.1934	-0.0060	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1023	36.8062	38879.5095	 0.0040	 0.0000	-0.3018	 0.3709	-9.6857	 0.1230	 0.1934	 0.0060
-0.7011	 0.0383	-9.8209	 0.2043	 0.1515	 0.0361	 0.6589	-0.2367	-0.0613	 0.0000	-1.2750	-0.5197	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.7011	-0.0383	-0.1791	-0.0000	-0.1515	-0.0361	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1029	36.8065	38878.7547	 0.0044	 0.0000	-0.7011	 0.0383	-9.8209	 0.2043	 0.1515	 0.0361
-1.3543	 0.2876	-8.8579	 0.1671	-0.1143	 0.0049	 0.6555	-0.2256	-0.0556	-0.0268	-1.2741	-0.5269	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.3543	-0.2876	-1.1421	 0.0268	 0.1143	-0.0049	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1026	36.8070	38878.1459	 0.0048	 0.0000	-1.3543	 0.2876	-8.8579	 0.1671	-0.1143	 0.0049
-1.0561	 0.2715	-9.6237	 0.1744	-0.0153	-0.0059	 0.6685	-0.2392	-0.0492	 0.0026	-1.2856	-0.5313	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.0561	-0.2715	-0.3763	-0.0026	 0.0153	 0.0059	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1020	36.8069	38877.0889	 0.0052	 0.0000	-1.0561	 0.2715	-9.6237	 0.1744	-0.0153	-0.0059
-0.9479	 0.3373	-6.6272	 0.1613	 0.0195	 0.0506	 0.6675	-0.2419	-0.0507	-0.0084	-1.2867	-0.5322	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.9479	-0.3373	-3.3728	 0.0084	-0.0195	-0.0506	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1020	36.8070	38876.0278	 0.0056	 0.0000	-0.9479	 0.3373	-6.6272	 0.1613	 0.0195	 0.0506
-1.9171	 0.5409	-6.6000	 0.1103	-0.1984	 0.0448	 0.6736	-0.2493	-0.0503	 0.0124	-1.2815	-0.5276	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.9171	-0.5409	-3.4000	-0.0124	 0.1984	-0.0448	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1017	36.8074	38875.8620	 0.0060	 0.0000	-1.9171	 0.5409	-6.6000	 0.1103	-0.1984	 0.0448
-1.3009	 0.5556	-8.8279	 0.0936	-0.0799	 0.0213	 0.6822	-0.2473	-0.0542	-0.0296	-1.2825	-0.5250	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.3009	-0.5556	-1.1721	 0.0296	 0.0799	-0.0213	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1018	36.8059	38875.0116	 0.0064	 0.0000	-1.3009	 0.5556	-8.8279	 0.0936	-0.0799	 0.0213
 0.0741	 0.2805	-16.8993	 0.0814	 0.3765	-0.0264	 0.6877	-0.2591	-0.0417	-0.0215	-1.2863	-0.5125	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	-0.0741	-0.2805	 6.8993	 0.0215	-0.3765	 0.0264	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1011	36.8064	38873.7780	 0.0068	 0.0000	 0.0741	 0.2805	-16.8993	 0.0814	 0.3765	-0.0264
-1.5646	 0.8215	-5.4807	-0.0001	-0.2006	 0.0536	 0.6842	-0.2585	-0.0498	-0.0001	-1.2829	-0.5163	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 1.5646	-0.8215	-4.5193	 0.0001	 0.2006	-0.0536	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.1005	36.8066	38872.6639	 0.0072	 0.0000	-1.5646	 0.8215	-5.4807	-0.0001	-0.2006	 0.0536
-0.3771	 0.1117	-11.7037	 0.1546	 0.2223	-0.0055	 0.6921	-0.2653	-0.0473	-0.0365	-1.2813	-0.5282	 0.0000	 0.0000	-10.0000	 0.0000	 0.0000	 0.0000	 0.3771	-0.1117	 1.7037	 0.0365	-0.2223	 0.0055	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.0993	36.8057	38871.7858	 0.0076	 0.0000	-0.3771	 0.1117	-11.7037	 0.1546	 0.2223	-0.0055
